artifact_path,artifact_type,risk_source,risk_level,namespace_id,evidence_status,header_needed,header_added,header_type,editable_safely,edit_action,safe_use,unsafe_use,current_state_pointer_added,notes
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,matlab_script,high_risk_list,HIGH,PHI2_KAPPA2_HYBRID / OLD_RESIDUAL_DECOMP,HISTORICAL_OR_HYBRID_DIAGNOSTIC,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,diagnostic mode-2 on legacy stack; explicit labeling,manuscript phi2/kappa2 authority; conflation with corrected-old authoritative CSVs,YES,Expanded SWITCHING NAMESPACE block + CURRENT_STATE_ENTRYPOINT
Switching/analysis/run_switching_canonical_collapse_hierarchy.m,matlab_script,high_risk_list,HIGH,CANON_COLLAPSE_FAMILY + CANON_GEN_SOURCE + EXPERIMENTAL_PTCDF_DIAGNOSTIC,DIAGNOSTIC_ONLY for PTCDF columns,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,dual-namespace hierarchy figures,S_model_pt_percent as CORRECTED backbone alone,YES,Merged template + column-namespace pointer in UNSAFE_USE
Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m,matlab_script,verification_audit,MEDIUM,CANON_GEN_SOURCE + EXPERIMENTAL_PTCDF_DIAGNOSTIC,DIAGNOSTIC_ONLY,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,experimental replay on frozen S_long,substituting for authoritative corrected-old phi/kappa tables,YES,
scripts/run_switching_canonical_map_spine.ps1,powershell_script,verification_audit,HIGH,CANON_GEN_SOURCE + EXPERIMENTAL_PTCDF_DIAGNOSTIC,DIAGNOSTIC_ONLY for PT/CDF cols,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,spine diagnostics with declared column classes,treating output as authoritative corrected-old evidence,YES,
Switching/diagnostics/run_switching_corrected_old_task002_visual_QA_refinement.m,matlab_script,task002a,PARTIAL,CORRECTED_CANONICAL_OLD_ANALYSIS,TASK_002A_visual_QA_refinement diagnostic QA,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,refined QA PNGs from source_view + authoritative CSVs,publication without gate; PTCDF mixing,YES,
Switching/diagnostics/run_switching_corrected_old_task002_quality_QA_and_closure.m,matlab_script,task002a,PARTIAL,CORRECTED_CANONICAL_OLD_ANALYSIS,TASK_002A_quality_metrics_closure,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,closure + QA from authoritative tables only,conflation with TASK_002B parity bridge,YES,
scripts/run_sw_corr_old_replay_auth.m,matlab_script,quarantine_index,HIGH,QUARANTINED_MISLEADING / attempted replay,NOT_AUTHORITATIVE without review,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,forensics vs builder record,fALSE authority claims,YES,
scripts/run_sw_old_inv_phi1_viz.m,matlab_script,quarantine_index,HIGH,EXPERIMENTAL_PTCDF_DIAGNOSTIC / QUARANTINED_MISLEADING,DIAGNOSTIC_ONLY,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,isolated hazard demo with QUARANTINE label,manuscript evidence,YES,Replaced short WARNING with full template
scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,matlab_script,quarantine_index,HIGH,EXPERIMENTAL_PTCDF_DIAGNOSTIC / QUARANTINED_MISLEADING,DIAGNOSTIC_ONLY,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,inventory under explicit QUARANTINED caption,authoritative corrected-old figures,YES,
Switching/analysis/switching_residual_decomposition_analysis.m,matlab_function,audit_low_as_core,LOW,OLD_RESIDUAL_DECOMP,HISTORICAL_TEMPLATE,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,legacy reproduction labeled OLD_RESIDUAL_DECOMP,bare canonical Phi/kappa claims,YES,Comments immediately under function line
Switching/analysis/run_switching_canonical_collapse_visualization.m,matlab_script,glob_collapse,MEDIUM,CANON_COLLAPSE_FAMILY / CANON_FIGURE_REPLAY,FIGURE_AND_DIAGNOSTIC,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,read/plot with namespace captions,new backbone physics from plots alone,YES,
Switching/analysis/run_switching_mode_hierarchy_synthesis_audit.m,matlab_script,glob_synthesis,MEDIUM,DIAGNOSTIC_FORENSIC,AUDIT_AGGREGATION,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,certified-matrix aggregation,rank promotion without charter,YES,
