T_K,rmse_A_rank1,rmse_B_rank2_phi2,rmse_C_deform3,rmse_D_constrained,rmse_SVD_rank2_row,corr_A,corr_B,corr_C,corr_D,corr_SVD2,delta_rmse_B_vs_A,delta_rmse_C_vs_A,delta_rmse_D_vs_A,kappa1,kappa2_fit,a1_free,b1_deform,b2_deform,beta1_fixedKappa,beta2_fixedKappa,I_peak_mA,S_peak,median_I_q50,q90_minus_q50,q75_minus_q25
4,0.0148289196427622,0.0141535433210123,0.0121391095265214,0.012145214579769,0.0141535433210123,0.985122034662017,0.979559410270348,0.991561161287601,0.991341504775619,0.979559410270348,0.000675376321749859,0.00268981011624077,0.00268370506299321,0.179546725888347,-0.0656223683737462,0.181312041769052,-0.00849175068032623,0.037672469964456,-0.00845623491724259,0.040113928469855,35,0.349600045040287,37.2262483488648,9.41261149726623,11.1758348186465
6,0.00918044595686389,0.00818771034763409,0.00807625614996139,0.00811300177462623,0.00818771034763409,0.995512322041117,0.993198825049446,0.996496652501921,0.996709438541998,0.993198825049446,0.000992735609229793,0.00110418980690249,0.00106744418223766,0.190781377067108,-0.0615892619750529,0.187245224631171,-0.00413066243980511,0.0277327186678157,-0.004201805034462,0.0228421664808262,35,0.341950817738385,36.8653320846295,9.55394319821225,11.2542899538542
8,0.00441257779882741,0.00286377325421418,0.00244073337914861,0.00314936177067187,0.00286377325421418,0.997862425209535,0.999090126447935,0.999501738891421,0.999327819875232,0.999090126447935,0.00154880454461323,0.0019718444196788,0.00126321602815554,0.19690765457114,-0.0497927909180983,0.187782640051995,0.00303518787731736,0.00471710649962978,0.00285160495182572,-0.00790292629629261,35,0.311011499245369,36.2609004279063,9.64705644636592,11.1690685480321
10,0.0061028935909626,0.00586069928381126,0.00343507029492984,0.00382679278523577,0.00586069928381126,0.99400981485007,0.995318105477,0.998217198997917,0.997782955054156,0.995318105477,0.00024219430715134,0.00266782329603276,0.00227610080572682,0.17710703759542,-0.0252478335549061,0.169374394397363,0.00480902919876908,-0.00692215393351851,0.00465345889725297,-0.017616516178521,35,0.265625424732821,35.865414277785,9.61983501064014,11.0750007402217
12,0.00469980514748773,0.00339681325412139,0.00416597195178894,0.00441788549696614,0.00339681325412139,0.998081810469067,0.997523350628787,0.998244699339886,0.998339921822902,0.997523350628788,0.00130299189336635,0.000533833195698797,0.000281919650521593,0.15269503326033,0.0481763654815828,0.159436923814825,0.0010624589831734,-0.0196178961652152,0.00119809668421398,-0.0102937597788303,35,0.232986037937288,36.0583926110249,9.38050091795958,10.925941037422
14,0.00468269834389776,0.00238133156439104,0.00366626105542269,0.00439469445441387,0.00238133156439104,0.996350839139655,0.99792075951274,0.997875711123676,0.997406069111639,0.99792075951274,0.00230136677950672,0.00101643728847508,0.000288003889483888,0.12447122604336,0.0598040402254154,0.135580939993434,-0.000302323560407464,-0.0223056377651469,-7.88111721202032e-05,-0.00694073570289825,35,0.192544819951381,36.1422935282918,9.31888246089417,10.864230196351
16,0.00555236635583109,0.00218849425483536,0.0044177656033378,0.00519119929816889,0.00218849425483536,0.993590407041169,0.997514299032862,0.996709443932479,0.996081183164254,0.997514299032863,0.00336387210099573,0.00113460075249329,0.000361167057662204,0.107134927362003,0.0756877685633675,0.119633618539496,-0.00111393242658729,-0.0213171189019758,-0.000862475698889313,-0.00403124037157676,35,0.162443432649134,36.0120688077688,9.08532415479673,10.7164786604965
18,0.00594856615042066,0.00182673379280236,0.00484983177308095,0.00561494310963914,0.00182673379280236,0.993728646777356,0.997988648807066,0.99707722922234,0.996528087714356,0.997988648807066,0.00412183235761829,0.0010987343773397,0.000333623040781518,0.0980185873442758,0.0839682454095365,0.110991633206022,-0.000914981972420085,-0.0233036685842137,-0.000653981871341896,-0.00536175036646686,35,0.142095227831458,35.6019424259269,9.17433512174388,10.6651366986577
20,0.00478807040605187,0.00367162761572218,0.00451549284483108,0.00454110154485716,0.00367162761572218,0.997541557588684,0.992778733752779,0.997427416435951,0.997879006423593,0.992778733752779,0.00111644279032969,0.000272577561220796,0.000246968861194716,0.0898318457622685,0.0455834306546876,0.0920398043074157,0.00140814651666892,-0.0116000135183653,0.00145256765027172,-0.00854637352761973,35,0.118297407736058,34.822836498331,9.61135965802332,10.6688614201723
22,0.00946675903524895,0.00635671381445163,0.00468858787320154,0.00642477420469465,0.00635671381445163,0.746879927103532,0.922004024289541,0.955783063679909,0.935370359835238,0.922004024289542,0.00311004522079732,0.00477817116204741,0.0030419848305543,0.0382966167716672,0.10405084115363,0.0584355094837034,-0.00684307465212281,-0.00970568168408105,-0.00643790742389746,0.0181467108755403,30,0.0848252860423066,33.391621386928,10.5978611343626,11.3701170686553
24,0.0118020640013735,0.00439861417330835,0.00986061401014443,0.011199742968628,0.00439861417330835,0.961966999817491,0.975994566616936,0.988431364103952,0.978299894125311,0.975994566616935,0.0074034498280652,0.00194144999122911,0.000602321032745587,0.0699734936967039,0.162440757725133,0.0943212392677561,0.000423692449117781,-0.0541868357103457,0.000913536092838239,-0.0205135361261322,30,0.0930645821294685,31.3830442865084,11.5142479606903,10.3500218816395
26,0.0100681313975675,0.010024556627222,0.00722980582317154,0.00748993340681025,0.010024556627222,0.895008411161466,0.884532978076474,0.96708820211943,0.956399371283742,0.884532978076474,4.35747703455107e-05,0.00283832557439593,0.00257819799075723,0.0640590044738315,0.013878672075776,0.0550876513519179,0.00681147349598655,-0.0140452309024445,0.0066309820295583,-0.026452747666918,30,0.0732255508855988,28.5664179012997,10.8091029831589,8.72072029407308
28,0.00802235536825094,0.00695523958483073,0.00742256694473009,0.00742787993516726,0.00695523958483073,0.967203479002211,0.932313370951512,0.979059490305931,0.977593450163944,0.932313370951512,0.00106711578342021,0.000599788423520851,0.000594475433083674,0.0611692729252666,0.059297741557869,0.0598814564753768,0.00303953303283822,-0.0120803636176876,0.0030136239111737,-0.0138614332037842,25,0.0809671274875996,25.570592391494,8.84016468731544,7.92639477302185
30,0.0252295246542699,0.00708036313757909,0.0148951339610893,0.0218167621076723,0.00708036313757909,0.799666547123175,0.977442663359017,0.944304341046129,0.940350633836428,0.977442663359017,0.0181491615166908,0.0103343906931806,0.00341276254659764,0.0481472826690587,-0.359176031865287,-0.0249367039309111,0.00896084365657996,0.112702043053363,0.00749049289292199,0.0116257865922569,20,0.0879097809338481,21.5432366897493,7.82972574375568,6.57731379303807
