candidate_id,stage,description,deterministic_same_inputs,raw_data_only,code_hash_dependent,env_dependent,candidate_cache_key,key_robustness,reuse_safety,value_class,classification,notes
C01,wrapper_guard,tools_run_matlab_safe_bat_and_pre_execution_guard,YES_for_path_check_only,N/A,N/A,PARTIAL_PowerShell_path_resolution,script_path_literal,STRONG,YES,LOW_VALUE,SAFE_CACHEABLE,Trivial_no_cross_run_reuse_value
C02,createRunContext,manifest_json_fingerprint_git_script_sha256_config_snapshot,YES_given_same_repo_state,PARTIAL_includes_git_MATLAB_host_user,YES_entry_script_hash_only_in_manifest,PARTIAL,repo_root_git_commit_plus_entry_script_sha256_plus_matlab_version_host_user,PARTIAL,PARTIAL,LOW_VALUE,CONDITIONALLY_CACHEABLE,Each_run_needs_new_run_dir_skipping_fingerprint_recompute_rarely_worth_it
C03,folder_discovery,dir_parentDir_Temp_Dep_filter,YES,PARTIAL_depends_on_filesystem_listing,N/A,PARTIAL,parentDir_path_plus_mtime_or_listing_hash,WEAK,PARTIAL,LOW_VALUE,CONDITIONALLY_CACHEABLE,Listing_can_change_without_raw_edit
C04,S1_raw_parsing,processFilesSwitching_per_file_dat_importdata_and_filters,YES_if_helpers_fixed,PARTIAL_also_pulse_params_in_call,YES_legacy_helpers_NOT_in_entry_script_hash,PARTIAL_MATLAB_version_float,concat_raw_hashes_plus_legacy_m_hashes_plus_call_args_plus_release,STRONG_if_extended,PARTIAL,HIGH_VALUE,CONDITIONALLY_CACHEABLE,Manifest_script_hash_does_NOT_cover_Switching_ver12
C05,S1_stability,analyzeSwitchingStability_outputs_given_stored_data,YES_if_inputs_fixed,PARTIAL,PARTIAL_same_helper_gap_as_C04,PARTIAL,stored_data_fingerprint_plus_analyze_m_hash_plus_opts_struct,STRONG_if_extended,PARTIAL,HIGH_VALUE,CONDITIONALLY_CACHEABLE,Coupled_to_C04_skip_layers_need_consistent_keys
C06,aggregation,rawTbl_rows_after_all_folders_sortrows,YES_given_same_row_inputs,YES_from_prior_stages,PARTIAL,PARTIAL,hash_of_concatenated_folder_results_or_rawTbl,STRONG_if_upstream_key_sound,PARTIAL,MEDIUM_VALUE,CONDITIONALLY_CACHEABLE,Downstream_of_C04_C05
C07,S2_algebra,peaks_PT_CDF_Smap_SVD_phi_kappa_validation_flags,YES_deterministic_given_Smap_and_grid,PARTIAL_derived,PARTIAL,LOW,hash_of_Smap_temps_currents_plus_code_version,STRONG_if_inputs_hashed,PARTIAL,MEDIUM_VALUE,CONDITIONALLY_CACHEABLE,S2_small_fraction_vs_total_performance_audit
C08,exports,writetable_CSVs_fprintf_MD,YES_given_same_numeric_tables,PARTIAL,PARTIAL,PARTIAL,content_hash_of_tables_plus_template_version,STRONG,PARTIAL,LOW_VALUE,CONDITIONALLY_CACHEABLE,Fast_stage_cache_saves_little_vs_S1
C09,optional_helpers,resolve_preset_select_preset_resolveNegP2P,PATH_PARTIAL,NO,PARTIAL_if_present,PARTIAL,exist_on_path_plus_file_hashes,WEAK,NO,UNKNOWN,NOT_CACHEABLE,system_reality_R5_changes_numeric_without_raw_change
C10,execution_signaling,execution_status_probe_markers,NOT_pure_physics,PARTIAL,PARTIAL,PARTIAL,run_id_timestamp,WEAK,NO,LOW_VALUE,NOT_CACHEABLE,Must_reflect_actual_execution_contract
C11,whole_S1_pipeline,per_folder_chain_getFileList_processFiles_analyze,YES_under_strong_key,PARTIAL,PARTIAL,PARTIAL,composite_C04_C05_key_per_folder,STRONG_if_extended,PARTIAL,HIGH_VALUE,CONDITIONALLY_CACHEABLE,Dominates_runtime_best_roi_if_provenance_solved
C12,post_S1_downstream,S2_S3_full_run_outputs,YES_given_C06,DERIVED,PARTIAL,PARTIAL,depends_on_C06_C07,STRONG_if_upstream_sound,PARTIAL,MEDIUM_VALUE,CONDITIONALLY_CACHEABLE,Export_only_cache_low_value_alone
