SURFACE,ROLE,WHY_REQUIRED,CHANGE_TYPE,IS_MANDATORY
"tables/module_canonical_status.csv","Authoritative registry of MODULE and canonical STATUS used by the participation gate","Phase 4.5 closes REGISTRY_RELIABLE; cross-module law requires a single SSOT for which modules are CANONICAL","REGISTRY",YES
"Switching/utils/assertModulesCanonical.m","Mechanical enforcement: every listed module must exist in registry with STATUS=CANONICAL","Only implemented gate for the cross-module law; must remain the single enforcement primitive (no duplicate logic)","ENFORCEMENT",YES
"Switching/analysis/run_switching_canonical.m","Registry-listed canonical Switching entrypoint (tables/switching_canonical_entrypoint.csv)","Audits: primary runner does not consult module_canonical_status; REGISTRY_RELIABLE=NO until SSOT execution path touches registry or an explicit documented exclusion is recorded without false safety","REGISTRY",YES
"Switching/utils/createSwitchingRunContext.m","Mandatory Switching run allocation hook (before manifest write)","Optional extension point for declaring experiment modules_used in manifest or cfg when cross-module runs are classified; avoids ad-hoc parallel factories","SIGNALING",NO
"Switching/utils/allocateSwitchingFailureRunContext.m","Failure-path allocation via createSwitchingRunContext","Same run identity stack as happy path; must follow same module-participation policy if it can trigger cross-module work","ENFORCEMENT",NO
"Switching/utils/writeSwitchingExecutionStatus.m","Authoritative writer for run_dir/execution_status.csv (five-column schema)","FALSE_SAFETY: success today does not prove module gate ran; minimal signaling must record whether participation assert executed (or companion artifact)","SIGNALING",YES
"run_dir/execution_status.csv contract (see docs/execution_status_schema.md)","Operator-facing execution outcome","May require a companion artifact or extended summary convention if schema columns stay frozen; must not imply cross-module enforcement without evidence","SIGNALING",YES
"tables/module_enforcement_status.csv","Publishes CROSS_MODULE_PROTECTION_ACTIVE","FALSE_SAFETY: YES overstates mechanical coverage vs audits; must align with measured enforcement or be corrected before claiming protection","GOVERNANCE_ALIGNMENT",YES
"Cross-module Switching analysis scripts (inventory-driven; e.g. Switching/analysis/analyze_phi_kappa_canonical_space.m)","Chokepoints that combine repo-level or multi-pipeline inputs","Isolation audits: only declared call sites can enforce full participating module list; coverage-complete means every such script calls assertModulesCanonical with complete list before data access","ENFORCEMENT",YES
"tools/load_observables.m (if inventory classifies as cross-module consumer)","Loads observables for analyses","Cited in isolation_feasibility_audit as outside single assert callsite; must be gated or excluded explicitly in inventory to avoid bypass","ENFORCEMENT",NO
"docs/system_master_plan.md; docs/infrastructure_laws.md PART 7","Normative cross-module law and phase boundaries","Prevents narrative false safety; must stay consistent with operational flags and Phase 4 vs 4.5 scope","GOVERNANCE_ALIGNMENT",YES
