zone,path,enforcement_level,enforcement_types,bypass_possible,false_enforcement,notes
tools_infrastructure,tools/run_matlab_safe.bat; tools/pre_execution_guard.ps1,STRONG,wrapper_pre_execution_guard,YES,NO,"Pre-MATLAB filesystem gate: invalid or missing .m path exits 2; MATLAB not launched. Bypass: invoke matlab.exe directly or any non-wrapper launch (docs/repo_execution_rules.md; tools/run_matlab_safe.bat)."
tools_infrastructure,tools/validate_matlab_runnable.ps1,WEAK,validator_governance,YES,YES,"Not invoked by wrapper; optional manual/CI; advisory; exit 0 on FailValidation per overblocking_audit (false confidence if treated as launch gate)."
Switching_canonical_entrypoint,Switching/analysis/run_switching_canonical.m,PARTIAL,"assertModulesCanonical_conditional; createSwitchingRunContext_assertSwitchingRunDirCanonical; writeSwitchingExecutionStatus; writeRunValidityClassification",YES,YES,"assertModulesCanonical runs only when length(modules_used)>1; default single-module path skips it (phase45_final_validation.md). run_validity is detection-only. Registry read is in-script."
Switching_analysis_noncanonical,Switching/analysis/*.m (not registry canonical),WEAK,"execution_status_some_scripts; assertModulesCanonical_sparse_callsites",YES,YES,"Many run_*.m are functions (line 1 function); substring hooks vary (runtime_execution_map). analyze_phi_kappa_canonical_space.m calls assertModulesCanonical({'Switching'}); most paths lack module assert."
Switching_experimental,Switching/analysis/experimental/*.m,PARTIAL,writeSwitchingExecutionStatus,YES,NO,"Observed writeSwitchingExecutionStatus; no universal run_validity or module assert on all experimental scripts."
Switching_utils,Switching/utils/assertModulesCanonical.m; assertSwitchingRunDirCanonical.m; createSwitchingRunContext.m,NONE,"implementation_only",YES,NO,"Helpers enforce only when callers invoke them; no standalone execution enforcement."
Aging_module,Aging/**,PARTIAL,createRun_context_patterns,YES,NO,"Widespread createRunContext; no assertModulesCanonical across bulk Aging scripts per grep scope."
Relaxation_v3,Relaxation ver3/**,PARTIAL,"createRunContext_execution_status_substrings",YES,NO,"Parallel entry scripts (run_relaxation_canonical vs run_relaxation_canonical_script.m) per runtime_execution.md; no module assert."
cross_experiment_analysis,analysis/**,WEAK,"createRun_context_partial; execution_status_partial",YES,NO,"Agent-style scripts; hooks partial per runtime_execution_map; no Switching-specific enforcement."
results_store,results/**,NONE,artifact_store,YES,NO,"Outputs only; enforcement is upstream in runners."
docs_policies,docs/**,NONE,policy_documentation,YES,NO,"Registry CSV paths are policy for agents; not machine enforcement at MATLAB runtime."
claims_snapshot,claims/; snapshot_scientific_v3/,NONE,navigation_metadata,YES,NO,"No execution enforcement."
supporting_scripts,surveys/; scripts/,WEAK,variable,YES,NO,"Automation/support; no unified wrapper contract in path scans."
runs_shims,runs/**,NONE,path_shims,YES,NO,"Supporting entry helpers; not canonical execution enforcement layer per repo_map.md."
root_legacy_outputs,figures/; tables/ (repo root),NONE,legacy_global_outputs,YES,NO,"Policy discourages new writes; no runtime enforcement."
reports_global,reports/**,NONE,human_narratives,YES,NO,"No MATLAB enforcement."
legacy_Switching,Switching ver12/**,NONE,legacy_pipeline,YES,NO,"Backend Switching_main.m etc.; no assertModulesCanonical; *_main.m hooks NO in runtime map."
legacy_Aging,Aging old/**,NONE,legacy,YES,NO,"Legacy zone per repository_structure.md."
deprecated_viz,General ver2/**,NONE,deprecated_stack,YES,NO,"No current enforcement mechanisms."
historical_packages,* verX/ (FieldSweep zfAMR etc.),NONE,independent_historical,YES,NO,"Outside standard module enforcement model."
GUIs_support,GUIs/; github_repo/,NONE,apps_third_party,YES,NO,"No repo execution contract enforcement."
shadow_junk_tmp,junk/; tmp/; results_old/,NONE,shadow_execution,YES,NO,"Phase 5C SHADOW_EXECUTION: weak or no signaling; no enforcement or detection artifacts required."
ENTRYPOINT_CLASS_CANONICAL,tables/switching_canonical_entrypoint.csv -> run_switching_canonical.m,PARTIAL,same_as_Switching_canonical_entrypoint,YES,YES,"Policy registry is documentation; only that script gets full Switching stack; enforcement conditional as above."
ENTRYPOINT_CLASS_NON_CANONICAL,tables/switching_noncanonical_scripts.csv listed paths,WEAK,"partial_status_writes; no_registry_gate",YES,YES,"Listed as misleading/non-canonical; no hard block at filesystem wrapper."
ENTRYPOINT_CLASS_UNKNOWN,run_*.m / *_main.m not in registry (majority of map),NONE to WEAK,variable_hooks,YES,NO,"158 UNKNOWN rows in Phase 5C; most lack assertModulesCanonical; hooks vary (runtime_execution_map)."
ENTRYPOINT_CLASS_BACKEND,*_main.m backends,WEAK to NONE,no_run_context_hooks_in_map,YES,NO,"All 11 *_main.m mapped with NO for uses_run_context writes_execution_status produces_run_dir substring scan (runtime_execution.md)."
