"RUN_ID","PARENT_RUN_ID","INPUT_SOURCE","TIMESTAMP","HAS_EXECUTION_STATUS"
"run_2026_04_02_213133_minimal_canonical","","","","YES"
"run_2026_04_02_213408_phi_kappa_canonical_space_analysis","","","2026-04-02 21:34:08","NO"
"run_2026_04_02_234844_switching_canonical","","","2026-04-02 23:48:44","YES"
"run_2026_04_03_000008_switching_canonical","","","2026-04-03 00:00:08","YES"
"run_2026_04_03_000147_switching_canonical","","","2026-04-03 00:01:47","YES"
"run_2026_04_03_091018_switching_canonical","","","2026-04-03 09:10:18","YES"
"run_2026_04_04_092331_post_entry_runtime_fail","","","2026-04-04 09:23:31","YES"
"run_2026_04_04_092734_post_entry_runtime_fail","","","2026-04-04 09:27:34","YES"
"run_2026_04_04_095928_switching_canonical","","","2026-04-04 09:59:28","YES"
"run_2026_04_04_100107_switching_canonical","","","2026-04-04 10:01:07","YES"
"run_2026_04_04_150000_canonicalization_l2_trust_rebind_091018","run_2026_04_03_091018_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_boundary_definition","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_collapse_verification","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_core_analysis_coverage","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_definition_audit","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_entrypoint_audit","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_phase1_execution_audit","run_2026_04_03_000147_switching_canonical","","","YES"
"run_2026_04_04_150000_canonicalization_l3_scaling_canonical_test","run_2026_04_03_000147_switching_canonical","","","YES"
