component,claim,status,evidence_type,file_path,line_reference,exact_snippet
SHIFT,"SHIFT = NONE (no I-axis shift in canonical collapse)",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"246; 266; 378; 482-484","rowsCurrent = [rowsCurrent; repmat(meta.Current_mA, nAdd, 1)]; currents = unique(rawTbl.current_mA(...)); Sfull = Scdf + kappa1 * phi1'; S_long columns include current_mA"
SCALE_I,"SCALE_I = NONE (no I-axis normalization/alignment formula)",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"246; 266-268; 291; 321","rowsCurrent uses meta.Current_mA directly; currents sorted directly; Ivalid = currents(valid); no expression of form (I-I0)/Is"
WIDTH_USED,"WIDTH_USED = NO",PARTIAL,code,Switching/analysis/run_switching_canonical.m,"148-149","isTempDep = startsWith(subNames, ""Temp Dep"", 'IgnoreCase', true); subDirs = subDirs(isSub & isTempDep);"
WIDTH_USED,"WIDTH_USED = NO",PARTIAL,code,Switching ver12/getFileListSwitching.m,"14; 23-24; 41-42","meta has PulseWidth_ms parse and case 'Width' exists: tok ... ms ...; meta.PulseWidth_ms = ...; case 'Width' findStr = '_([\d\.E\-]+)sec\.dat'"
SCALE_S,"SCALE_S = change_pct from upstream pipeline",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"227; 260-263","Svec = metricTbl(:, 4); rawTbl variable names include S_percent"
SCALE_S,"SCALE_S = change_pct from upstream pipeline",CONFIRMED,code,Switching ver12/main/processFilesSwitching.m,"552-557; 495; 498","rowTemplate column 4 is change_pct(k); change_pct(k) = (blockJumpMetric(k) / refBase) * 100 OR (avg_p2p(k) / refBase) * 100"
SCALE_S,"No S-division beyond change_pct",REFUTED,code,Switching/analysis/run_switching_canonical.m,"323; 331","cdfRaw = svalid ./ Speak(it); cdfRaw = cdfRaw ./ cdfRaw(end);"
Sfull_definition,"Sfull(T,I) = Scdf(T,I) + kappa1(T)*Phi1(I)",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"378","Sfull = Scdf + kappa1 * phi1';"
Sfull_definition,"Sfull(T,I) = Scdf(T,I) + kappa1(T)*Phi1(I)",CONFIRMED,artifact,results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_S_long.csv,"1","T_K,current_mA,S_percent,S_model_pt_percent,S_model_full_percent,residual_percent,PT_pdf,CDF_pt"
DeltaS_definition,"DeltaS = Smap - Scdf",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"355","residual = Smap - Scdf;"
DeltaS_definition,"DeltaS = Smap - Scdf",CONFIRMED,artifact,results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_S_long.csv,"2","4,15,0.00102482798526069,0,0.00107259841418343,0.00102482798526069,..."
SVD_used,"DeltaS reduced via rank-1 SVD",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"359-361","[U, Sigma, V] = svd(Rfill, 'econ'); phi1 = V(:, 1); kappa1 = U(:, 1) * Sigma(1, 1);"
Phi1_definition,"Phi1 derived from dominant SVD mode",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"360; 367; 369; 372-375","phi1 = V(:, 1); phiScale = max(abs(phi1),...); phi1 = phi1 ./ phiScale; signCorr = corr(Speak, kappa1,...); if signCorr < 0 then phi1 = -phi1"
Phi1_definition,"Phi1 also defined as mean over T of normalized residuals",REFUTED,code,Switching/analysis/run_switching_canonical.m + directly called files,"scan result","Pattern scan over direct-called files found no assignment of phi1 via mean(...residual...) or mean over T"
kappa1_definition,"kappa1 is coefficient associated with Phi1",CONFIRMED,code,Switching/analysis/run_switching_canonical.m,"361; 370; 372-375","kappa1 = U(:, 1) * Sigma(1, 1); kappa1 = kappa1 .* phiScale; signCorr-based sign flip"
collapse_mechanism,"No coordinate collapse; collapse achieved via decomposition",PARTIAL,code,Switching/analysis/run_switching_canonical.m,"323; 331; 378; 486-487","Decomposition present (Sfull = Scdf + kappa1*phi1'); I_peak exists in observables; additional S division exists in cdfRaw normalization"
collapse_mechanism,"Canonical run artifacts consistent across latest trusted runs",CONFIRMED,artifact,results/switching/runs/run_*_switching_canonical/tables/*.csv,"hash check","All four run_*_switching_canonical runs have WRITE_SUCCESS=YES and identical SHA256 for S_long/phi1/observables/validation"
