family_name,representative_paths,folder_where_it_lives,true_classification,uses_switching_input,uses_relaxation_input,uses_X_eff_nonunique_or_X_variant,uses_A_obs_A_proj_SVD_m0,claim_type,current_claim_safety_if_documented,index_as_cross_module,file_move_recommended_now,organization_priority,notes
RLX_SW_SCALING_01,"run_relaxation_switching_scaling_01.m; tables/relaxation/relaxation_switching_scaling_01_matched_observables.csv; tables/relaxation/relaxation_switching_scaling_01_claim_safety.csv; reports/relaxation/*scaling_01* (when run)",repo_root_and_relaxation_promoted_dirs,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,YES,YES,bridge_and_models,"relaxation_switching_scaling_01_claim_safety.csv referenced in script",YES,NO,P0,Consumes Switching X_eff maps to X_eff_nonunique column;pairs Relaxation RCON scalars
RLX_SW_SCALING_02_02A,run_relaxation_switching_scaling_02.m; tables/relaxation/relaxation_switching_scaling_02A_*.csv; consumes scaling_01 matched table,repo_root; tables/relaxation,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,YES,YES,scalarization_robustness_temperature_depth,"audit CSVs per script",YES,NO,P0,02A tables embedded in 02 runner path as written
RLX_SW_SCALING_03,run_relaxation_switching_scaling_03.m; writes tables/relaxation and reports/relaxation per header,repo_root; tables/relaxation; reports/relaxation,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,YES,YES,power_law_and_explicit_fits,"claim rows in script pattern",YES,NO,P0,Depends on scaling_01 matched CSV; fractional power-law audit export
RLX_ACTIVITY_SCALARIZATION_01,run_relaxation_activity_scalarization_01.m; figures/relaxation/canonical; references tables/switching_P0_effective_observables_values.csv,repo_root; figures/relaxation; tables paths referenced,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,YES,PARTIAL,scalarization,"machine stamp; deep_audit md referenced",YES,NO,P0,Explicit X_eff_nonunique and get_canonical_X commentary
RLX_ACTIVITY_REPRESENTATION_01,run_relaxation_activity_representation_01.m; outputs tables/reports/relaxation,repo_root; tables/relaxation; reports/relaxation,RELAXATION_ONLY,NO,YES,NO,YES,representation,"header Relaxation-only amplitude ranking",NO,NO,P1,Uses RCON Relaxation tables only per header; verify no Switching join before reclassifying
RLX_ACTIVITY_REPRESENTATION_02,run_relaxation_activity_representation_02.m,repo_root; tables/relaxation; reports/relaxation,RELAXATION_ONLY,NO,YES,NO,YES,representation,"Relaxation-only header",NO,NO,P1,Same family as 01 scope split
RLX_SVD_XSCALING_01,run_relaxation_svd_xscaling_01.m; tables/relaxation/relaxation_svd_xscaling_01_claim_safety.csv; reports/relaxation,repo_root; tables/relaxation; reports/relaxation,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,YES,YES,bridge_scalarization_SVD,"relaxation_svd_xscaling_01_claim_safety.csv",YES,NO,P0,Uses matched observables from scaling_01 family
RLX_SW_NONSVD_BRIDGE_REPLAY,scripts/run_relaxation_switching_nonSVD_bridge_replay_01.m,scripts,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,UNKNOWN,PARTIAL,bridge_replay,script_header_scope,YES,NO,P1,Replay/audit class; confirm outputs paths when run
RLX_SW_ANALYSIS_HELPERS,"analysis/relaxation_switching_bridge_visualization.m; analysis/relaxation_switching_knee_comparison.m; analysis/relaxation_switching_motion_test.m",analysis,CROSS_MODULE_SWITCHING_RELAXATION,YES,YES,UNKNOWN,UNKNOWN,visualization_bridge,not_audited_here,PARTIAL,NO,P2,Name-hit cross-module intent
RLX_SW_FIT_UTILS,"tools/rlx_sw_scaling_01_fit_utils.m; tools/rlx_sw_scaling_02_utils.m",tools,SUPPORTING_CROSS_MODULE_TOOLING,PARTIAL,PARTIAL,PARTIAL,PARTIAL,governance_support,no_claim_rows,NO,NO,P1,Support libraries for scaling runners
RELAXATION_OLD_MAP_INVENTORY,reports/relaxation/relaxation_old_map_inventory.md; tables/relaxation/relaxation_old_map_inventory.csv,reports/relaxation; tables/relaxation,RELAXATION_ONLY,NO,YES,NO,NO,governance_inventory,"Relaxation-only scope banner",NO,NO,P2,Explicitly Relaxation map discovery per report header
RLX_ACTIVITY_REPRESENTATION_00,N/A — script not found in repo snapshot,N/A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,unknown,N/A,NO,NO,P2,Placeholder; create row if script appears
