"RUN_ID","HAS_PARENT","HAS_INPUT_SOURCE","HAS_MANIFEST","HAS_EXECUTION_STATUS","HAS_CANONICAL_LABEL"
"run_2026_04_02_213133_minimal_canonical","NO","NO","YES","YES","NO"
"run_2026_04_02_213408_phi_kappa_canonical_space_analysis","NO","NO","YES","NO","NO"
"run_2026_04_02_234844_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_03_000008_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_03_000147_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_03_091018_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_04_092331_post_entry_runtime_fail","NO","NO","YES","YES","NO"
"run_2026_04_04_092734_post_entry_runtime_fail","NO","NO","YES","YES","NO"
"run_2026_04_04_095928_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_04_100107_switching_canonical","NO","NO","YES","YES","YES"
"run_2026_04_04_150000_canonicalization_l2_trust_rebind_091018","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_boundary_definition","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_collapse_verification","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_core_analysis_coverage","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_definition_audit","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_entrypoint_audit","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_phase1_execution_audit","YES","NO","NO","YES","NO"
"run_2026_04_04_150000_canonicalization_l3_scaling_canonical_test","YES","NO","NO","YES","NO"
