status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
NEW_MODELS_RUN,NO
FIGURES_CREATED,NO
FIGURES_MODIFIED,NO
ALL_EXPECTED_FILES_EXIST,YES
AX18C_COMPLETE,YES
AX18D_COMPLETE,YES
AX20A_COMPLETE,YES
AX20B_COMPLETE,YES
INDEX_IS_CANONICAL,YES
INDEX_WAS_UNTRACKED,YES
INDEX_SAFE_TO_INCLUDE,YES
PHYSICAL_SCALING_LAW_FORBIDDEN_CONFIRMED,YES
ALPHA_VALUES_CONFIRMED,YES
MANUSCRIPT_BOUNDARY_CONFIRMED,YES
NO_UNRELATED_FILES_INCLUDED,YES
EXPLICIT_STAGING_PLAN_WRITTEN,YES
SAFE_TO_STAGE_AX_PACKAGE,YES
SAFE_TO_COMMIT_AX_PACKAGE,YES
