rule_id,category,rule_text,include_by_default,source_doc,notes
PR001,authority,"Declare documentation precedence at the top for non-trivial tasks (AGENT_RULES -> infra/system plan specializations -> results/run/structure/artifacts -> prompt exclusions).",YES,docs/AGENT_RULES.md,"Prevents contradictory interpretation."
PR002,scope,"State exact scope paths and forbid blind repo-wide scans unless explicitly requested.",YES,docs/AGENT_RULES.md,"Improves relevance and reduces accidental drift."
PR003,task_mode,"Specify task mode explicitly: analysis, infrastructure, or docs-only.",YES,docs/AGENT_RULES.md,"Aligns allowed actions with agent type constraints."
PR004,execution,"If MATLAB execution is requested, require wrapper-only invocation: tools/run_matlab_safe.bat <ABSOLUTE_PATH_TO_SCRIPT.m>.",CONDITIONAL,docs/repo_execution_rules.md,"Only include for run/execution tasks."
PR005,run_outputs,"Require run-scoped outputs under results/<experiment>/runs/run_<timestamp>_<label>/.",CONDITIONAL,docs/results_system.md,"Include whenever outputs are generated."
PR006,artifact_layout,"Require canonical artifact folders (figures, tables, reports, review) and forbid invented alternatives.",CONDITIONAL,docs/output_artifacts.md,"Include when artifact-producing tasks are expected."
PR007,observables_exception,"If observables are exported, keep observables.csv at run root and do not place it in tables/.",CONDITIONAL,docs/output_artifacts.md,"Frequent source of mistakes."
PR008,status_schema,"Require execution_status.csv at run root with exact canonical 5-column schema/order.",CONDITIONAL,docs/run_system.md,"Use for run validation/reporting prompts."
PR009,manifest_identity,"Require one run_manifest.json at run root; no secondary manifest system.",CONDITIONAL,docs/run_system.md,"Use when run identity/reproducibility matters."
PR010,infra_serial,"For infrastructure changes, enforce serial-only ownership and no parallel infra modifications.",CONDITIONAL,docs/infrastructure_laws.md,"Critical for wrapper/manifest/path edits."
PR011,no_parallel_systems,"Do not introduce parallel run roots, manifest systems, or fingerprint schemes.",CONDITIONAL,docs/infrastructure_laws.md,"Core architecture safety rule."
PR012,cross_module_gate,"For cross-module science tasks, require canonical status for all participating modules; do not claim full closure unless phase gates allow it.",CONDITIONAL,docs/system_master_plan.md,"Normative rule with operational gate nuance."
PR013,canonical_boundaries,"Name canonical entrypoint(s) and explicitly exclude deprecated/non-canonical alternatives.",YES,docs/repo_context_minimal.md,"Especially important for Switching tasks."
PR014,minimal_context,"Load minimal required docs first; expand only by explicit references required by the task.",YES,docs/repo_context_minimal.md,"Token-efficient and less drift-prone."
PR015,prompt_exclusions,"Do not bulk-load docs listed in docs/agent_prompt_exclude.md unless explicitly named.",YES,docs/agent_prompt_exclude.md,"Prevents unnecessary context injection."
PR016,contracts_vs_reports,"Treat contracts as normative and reports as evidence/history unless a report is explicitly requested.",YES,docs/system_entrypoint.md,"Avoids report-driven policy errors."
PR017,current_vs_target_structure,"Distinguish current repository layout from target model; avoid structural migration unless requested.",YES,docs/repository_structure.md,"Protects against unintended repo reshaping."
PR018,registry_alignment,"When module classification matters, align names/scope with docs/system_registry.json.",CONDITIONAL,docs/system_registry.json,"Authoritative registry source."
PR019,io_layering,"When relevant to data loading, preserve VALIDATION -> IO -> PIPELINE contract and avoid IO-layer enforcement logic.",CONDITIONAL,docs/io_validation_contract.md,"Use for loader/refactor/data-ingestion tasks."
PR020,deliverables,"List exact deliverable file paths and required sections/tables in the prompt.",YES,docs/templates/plan_template.md,"Raises completion clarity."
PR021,verification,"Define concrete done checks (scope honored, required files produced, no forbidden actions).",YES,docs/templates/plan_template.md,"Reduces ambiguous completion."
PR022,deprecated_doc_guard,"Do not use docs/switching_canonical_definition.md as primary canonical authority because it is marked deprecated.",CONDITIONAL,docs/switching_canonical_definition.md,"Use for Switching-domain prompts."
