"date","producer","artifact_type","path","status","alert_level","notes"
"2026_04_25","repository_drift_guard","normalized_findings_csv","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\repository_drift_guard_findings.csv","MISSING","OK","Not expected for this date by schedule (optional on non-required days)."
"2026_04_25","repository_drift_guard","agent_report_md","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\repository_drift_guard_report.md","MISSING","OK","Not expected for this date by schedule (optional on non-required days)."
"2026_04_25","run_output_audit","agent_report_md","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\run_output_audit_report.md","MISSING","OK","Not expected for this date by schedule (optional on non-required days)."
"2026_04_25","switching_canonical_boundary_guard","normalized_findings_csv","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\switching_canonical_boundary_guard_findings.csv","MISSING","ACTION","Expected agent findings CSV not found (report also missing)."
"2026_04_25","switching_canonical_boundary_guard","agent_report_md","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\switching_canonical_boundary_guard_report.md","MISSING","ACTION","Expected agent report markdown not found (findings also missing)."
"2026_04_25","helper_duplication_guard","normalized_findings_csv","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\helper_duplication_guard_findings.csv","MISSING","OK","Not expected for this date by schedule (optional on non-required days)."
"2026_04_25","helper_duplication_guard","agent_report_md","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\helper_duplication_guard_report.md","MISSING","OK","Not expected for this date by schedule (optional on non-required days)."
"2026_04_25","canonicalization_progress_guard","normalized_findings_csv","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\canonicalization_progress_guard_findings.csv","MISSING","ACTION","Expected agent findings CSV not found (report also missing)."
"2026_04_25","canonicalization_progress_guard","agent_report_md","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\canonicalization_progress_guard_report.md","MISSING","ACTION","Expected agent report markdown not found (findings also missing)."
"2026_04_25","switching_analysis_steward","module_steward_findings_csv","C:\Dev\matlab-functions\reports\maintenance\module_stewards\2026_04_25\switching_analysis_steward_findings.csv","MISSING","WATCH","Switching Analysis Steward findings CSV missing (stabilization policy: WATCH)."
"2026_04_25","switching_analysis_steward","module_steward_report_md","C:\Dev\matlab-functions\reports\maintenance\module_stewards\2026_04_25\switching_analysis_steward_report.md","MISSING","WATCH","Switching Analysis Steward report missing (stabilization policy: WATCH)."
"2026_04_25","run_output_audit","simplified_findings_csv","C:\Dev\matlab-functions\reports\maintenance\agent_outputs\2026_04_25\run_output_audit_findings.csv","PRESENT","OK","Requires exact columns: finding_id,module,severity,description."
"2026_04_25","local_daily_maintenance","daily_log","C:\Dev\matlab-functions\reports\maintenance\logs\daily_maintenance_2026_04_25.log","PRESENT","OK","Log contains FINAL_VERDICT=OK."
"2026_04_25","governor_minimal","governor_latest_csv","C:\Dev\matlab-functions\tables\maintenance_findings_latest.csv","PRESENT","OK","CSV schema validation for this artifact type."
"2026_04_25","governor_minimal","governor_summary_md","C:\Dev\matlab-functions\reports\maintenance\governor_summary_latest.md","PRESENT","OK","Markdown artifact exists."
"2026_04_25","guard_run_snapshot_coverage","snapshot_coverage_csv","C:\Dev\matlab-functions\tables\run_snapshot_coverage_latest.csv","PRESENT","OK","CSV schema validation for this artifact type."
"2026_04_25","guard_run_snapshot_coverage","snapshot_coverage_md","C:\Dev\matlab-functions\reports\maintenance\run_snapshot_coverage_latest.md","PRESENT","OK","Markdown artifact exists."
