FILE,CALLED_BY,DEPTH,IS_DIRECT
Switching/analysis/run_switching_canonical.m,ENTRYPOINT_INVOCATION,0,YES
tools/write_execution_marker.m,Switching/analysis/run_switching_canonical.m,1,YES
Aging/utils/createRunContext.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/parsing/extract_dep_type_from_folder.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/getFileListSwitching.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/parsing/extractPulseSchemeFromFolder.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/parsing/extract_delay_between_pulses_from_name.m,Switching/analysis/run_switching_canonical.m,1,YES
General ver2/resolve_preset.m,Switching/analysis/run_switching_canonical.m,1,YES
General ver2/select_preset.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/main/processFilesSwitching.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/main/analyzeSwitchingStability.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/resolveNegP2P.m,Switching/analysis/run_switching_canonical.m,1,YES
Switching ver12/parsing/extract_num_of_pulses_from_name.m,Switching ver12/parsing/extractPulseSchemeFromFolder.m,2,NO
