model_name,n_basis,coeff_1,coeff_2,coeff_3,coeff_4,cosine_similarity,rmse,rel_rmse,r_squared,notes
dPhi1_dx + d2Phi1_dx2 + x_times_Phi1 + x2_times_Phi1,4,-0.00487286352099117,0.000343150150376071,-0.425003285806396,0.632867987902694,0.666907287939108,0.049874516867076,0.0507004031183159,0.0254798291253049,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0507004
d2Phi1_dx2 + x_times_Phi1 + x2_times_Phi1,3,NaN,0.000331580324406412,-0.457763294273004,0.650675656708426,0.663059404670717,0.0501038345313491,0.0509335181187436,0.0164977493083968,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0509335
dPhi1_dx + x_times_Phi1 + x2_times_Phi1,3,-0.00460011405903863,NaN,-0.423135093460716,0.627829714402047,0.660507093672058,0.0502546362011594,0.0510868169561173,0.0105685832393403,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0510868
x_times_Phi1 + x2_times_Phi1,2,NaN,NaN,-0.454179472235343,0.644833085871256,0.657039039199988,0.0504578948609727,0.0512934414336493,0.00254873781738507,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0512934
dPhi1_dx + d2Phi1_dx2 + x2_times_Phi1,3,-0.0239518940987857,0.000296997482465777,NaN,0.116907296315471,0.429906290677145,0.0604320499611124,0.0614327613931679,-0.430764257445587,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0614328
dPhi1_dx + x2_times_Phi1,2,-0.0236430598171918,NaN,NaN,0.114508210900271,0.422435269038451,0.0606676262114458,0.061672238617355,-0.441940811320395,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0616722
dPhi1_dx + d2Phi1_dx2 + x_times_Phi1,3,-0.0123137981252304,0.00025384734933514,-0.0548132411493858,NaN,0.408708042871823,0.0610874359455438,0.0620990000997468,-0.461965831403206,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.062099
dPhi1_dx + x_times_Phi1,2,-0.0120676990031888,NaN,-0.0556130187790139,NaN,0.402968274227109,0.0612580324787028,0.062272421589218,-0.470142784724725,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0622724
dPhi1_dx + d2Phi1_dx2,2,-0.0181034218778529,0.000265706143661207,NaN,NaN,0.390033273514705,0.0616319749114038,0.0626525562405774,-0.488146193756318,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0626526
dPhi1_dx,1,-0.0179341330943715,NaN,NaN,NaN,0.383429504086079,0.061817338090743,0.0628409889013055,-0.497111096377353,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.062841
d2Phi1_dx2 + x_times_Phi1,2,NaN,0.000216662604499068,-0.11381076686027,NaN,0.364548151975644,0.062326992343941,0.0633590826636364,-0.521898781609711,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0633591
x_times_Phi1,1,NaN,NaN,-0.113486056015132,NaN,0.359849250581632,0.0624492067189994,0.0634833208211474,-0.527873087740288,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0634833
d2Phi1_dx2 + x2_times_Phi1,2,NaN,0.000190499654869834,NaN,-0.0377175366648504,0.0879125617024672,0.0666738673490294,0.0677779388031412,-0.74158518861685,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0677779
x2_times_Phi1,1,NaN,NaN,NaN,-0.037978751127161,0.0713904670292869,0.066762235672723,0.0678677704429363,-0.746204778227333,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0678678
d2Phi1_dx2,1,NaN,0.000193019099974745,NaN,NaN,0.0519841028003368,0.0668425196244481,0.0679493838393576,-0.750407049519106,mask_points=216; edgeExclude=2; LSQ_unit_L2_design; rmse_unit=0.0679494
