key,value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
SWITCHING_SCOPE_ONLY,YES
SCRIPT_EXISTS,YES
SCRIPT_RAN,NO
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
STAGED,NO
COMMITTED,NO
PUSHED,NO
SOURCE_MODIFIED,NO
LOADS_LEGACY_OLD,YES
LOADS_CANONICAL,YES
LOADS_CROSS_MODULE,NO
WRITES_FIGURES,YES
WRITES_TABLES,YES
WRITES_REPORTS,YES
USES_OLD_PHI_TERMS,YES
USES_CANONICAL_TERMS,YES
DEPENDS_ON_MISSING_FILES,YES
REFERENCED_BY_TRACKED_FILES,YES
PRIMARY_CLASSIFICATION,QUARANTINE_CANDIDATE
SAFE_TO_RUN_NOW,NO
SAFE_TO_STAGE_NOW,NO
SAFE_TO_DELETE_NOW,NO
CANONICAL_EVIDENCE_ALLOWED,NO
NEEDS_OWNER_DECISION,YES
