T_K,rmse_backbone_only,rmse_after_mode1,mean_abs_DeltaS,mean_abs_DeltaS_after_mode1
4,0.0557460532212479,0.0134036494355143,0.0454029444625183,0.0119501864185255
6,0.0593305329297577,0.0092629716619568,0.0471073222267402,0.00884434839098815
8,0.0669001423958795,0.00668225060781536,0.0506308609005908,0.00560734150490175
10,0.0648799561709217,0.00626274307627085,0.0485389188072782,0.00570289486932586
12,0.0611446166003513,0.00305958493075543,0.0480051776549758,0.00299552952488024
14,0.0531061505644156,0.0044347715520365,0.0422854842487089,0.00364696815352896
16,0.0482198726218139,0.00669347507620284,0.038133254967193,0.00570085231738829
18,0.0460249532466623,0.00688613550369857,0.0359981066515153,0.00652518532572651
20,0.0394147601450001,0.00459447421475483,0.0296306796024136,0.00408180658757093
22,0.0277729499511448,0.0120923052927523,0.0191846101918273,0.00990287122481368
24,0.0412991253072862,0.00969083236847892,0.0319063595458333,0.0090518591686124
26,0.0342346013569605,0.0113593167716919,0.0243271666666667,0.0113532380450606
28,0.0455716461180497,0.0082009507850222,0.0360590916666667,0.00695268799749467
30,0.0627528301382363,0.0223800127856059,0.0582633166666667,0.0223800127856059
