"verdict_key","verdict_value"
"ABOVE_31P5_DIAGNOSTIC_EXCLUDED_FROM_XEFF_AXIS_LIMITS","YES"
"ABOVE_31P5_DIAGNOSTIC_ONLY","YES"
"CANONICAL_PAPER_FIGURES_GENERATED","YES"
"CANONICAL_S_USED","YES"
"CROSS_MODULE_SYNTHESIS_PERFORMED","NO"
"MAIN_CANDIDATE_FIGURE_WRITTEN","YES"
"P0_COLLAPSE_USED","YES"
"P0_EFFECTIVE_OBSERVABLES_USED","YES"
"P1_ASYMMETRY_USED","YES"
"P2_T22_USED","YES"
"SAFE_TO_WRITE_SCALING_CLAIM","NO"
"SUPPLEMENT_CANDIDATE_FIGURE_WRITTEN","YES"
"T22_INCLUDED_IN_PRIMARY_DOMAIN","YES"
"UNIQUE_W_CLAIMED","NO"
"X_CANON_CLAIMED","NO"
"X_EFF_LABEL_USED","YES"
"X_EFF_PRIMARY_DOMAIN_AXIS_SCALING","YES"
