FINDING_ID,TYPE,LOCATION,OBSERVED_BEHAVIOR,EXPECTED_BEHAVIOR,RISK_LEVEL,BREAKS_CANONICAL_RULE
BS-01,PATH,Aging/utils/createRunContext.m / writeManifest (normalizeAbsolutePath),"run_manifest.json stores repo_root and run_dir via java.io.File.getCanonicalPath(), which can normalize segment casing (e.g. results\switching\runs vs results\Switching\runs) compared to MATLAB fullfile() strings.","String identity between manifest paths and MATLAB fullfile paths for the same run (case-preserved).",LOW,NO
BS-02,STATE,Switching/analysis/run_switching_canonical.m + execution_status.csv,"execution_status.csv is overwritten multiple times during a single run (PARTIAL then PARTIAL then SUCCESS or FAILED). Readers who copy the file mid-run see non-final EXECUTION_STATUS.","A single immutable final row or append-only log for status (contract often interpreted as file-at-end).",MEDIUM,NO
BS-03,PATH,Switching/analysis/run_switching_canonical.m (disp(pwd)),"After restoredefaultpath and addpath, script displays pwd; under run() the current folder is typically the script directory (e.g. .../Switching/analysis), not the repository root.","Documentation or operators may assume cwd equals repo root for relative resolution.",LOW,NO
BS-04,IO,Switching/analysis/run_switching_canonical.m (parentDir from Switching_main.m),"Raw data directory is parsed from legacy Switching_main.m and may point outside the repo (e.g. cloud-synced user paths). Science and reproducibility depend on that external tree.","Canonical contract in-repo only; raw paths are environment-specific.",MEDIUM,NO
BS-05,STATE,Switching/analysis/run_switching_canonical.m (catch block),"If run_dir is unset, catch tries createRunContext(..., switching_canonical_failure), then on failure creates results/Switching/runs/run_failure_<timestamp> without manifest path.","Single deterministic failure output path aligned with normal createRunContext manifest lifecycle.",MEDIUM,YES
BS-06,IO,tools/write_execution_marker.m,"If run_dir is unknown or missing, markers append to tables/runtime_execution_markers_fallback.txt (repo tables/, not run_dir).","All execution observability confined to the active run_dir (Phase 3.7 reduced pre-run use; fallback still exists).",LOW,NO
BS-07,SIGNAL,Switching/analysis/run_switching_canonical.m,"run_switching_canonical_implementation_status.csv and reports carry verdict columns (e.g. CANONICAL_PIPELINE_CONFIRMED) that can be read as pass/fail alongside execution_status.csv SUCCESS.","execution_status.csv is the only authoritative final outcome; other files are diagnostic (partially documented in script).",LOW,NO
BS-08,IDENTITY,Aging/utils/createRunContext.m (computeRunFingerprint),"run_manifest.json embeds git_commit, host, user, matlab_version — identity and environment, not a pure deterministic build fingerprint.","Strict reproducibility fingerprint vs run identity record (docs: infrastructure_laws).",LOW,NO
BS-09,PATH,repo root load.m vs MATLAB builtin,"addpath(repoRoot) before tools can shadow builtin load with repo load.m; MATLAB may warn: Function load has the same name as a MATLAB built-in.","No name collision with builtins on the path for canonical runs.",MEDIUM,NO
BS-10,IO,tools/pre_execution_guard.ps1,"On guard failure, appends to tables/pre_execution_failure_log.csv under repo (not under any run_dir).","Failure artifacts only in run-scoped locations (guard is infra-wide by design).",LOW,NO
BS-11,IDENTITY,tables/switching_canonical_entrypoint.csv,"Registry lists canonical path; runtime does not re-validate this file. A moved or renamed script could diverge from the table.","Registry automatically enforced at execution time.",MEDIUM,NO
BS-12,STATE,Switching/analysis/run_switching_canonical.m (loop over subDirs),"If fileList is empty for a Temp Dep folder, the code continues to the next folder without surfacing a per-folder warning in execution outputs.","Explicit visibility when a folder under parentDir produces no processable files.",MEDIUM,NO
BS-13,STATE,Switching/analysis/run_switching_canonical.m (after processFilesSwitching),"If Tvec is empty after filters, continue skips contributing rows without logging that folder as skipped.","Explicit audit trail for skipped raw segments.",MEDIUM,NO
BS-14,SIGNAL,docs/repo_execution_rules.md vs runtime,"Rules list execution_probe_top.txt, execution_status.csv, run_dir as validity; wrapper exit code is explicitly not a validity indicator. Operators may still use MATLAB exit code from habit.","Operators rely only on signaling contract artifacts.",LOW,NO
BS-15,DETERMINISM,Aging/utils/createRunContext.m (makeUniqueRunId),"run_id embeds local clock (yyyy_MM_dd_HHmmss); collisions resolved with suffix; not derivable from inputs alone.","Time-independent run identity (optional; usually acceptable).",LOW,NO
BS-16,PATH,tools/run_matlab_safe.bat,"If SCRIPT_ARG is omitted, PowerShell resolves SCRIPT_PATH_RESOLVED to current directory (.), not an .m file; guard exits 2 (correct), but echo lines can look like a valid path intent.","Explicit error when no script argument (optional UX).",LOW,NO
