domain_name,model_label,n_points,rmse_global,mean_row_rmse,residual_energy,residual_energy_fraction_vs_backbone,incremental_rmse_gain_vs_prev,incremental_rmse_gain_vs_prev_fraction,variance_explained_vs_backbone,detail
full,backbone,108,0.0641732191916249,0.0583283528914858,0.444765822632964,1,NaN,NaN,0,Full canonical current domain.
low_1_3,backbone,48,0.0168523212524905,0.0121156581858357,0.0136320351166629,1,NaN,NaN,0,D4 low-rank window.
mid_3_5,backbone,48,0.0247705988926155,0.0186259064919298,0.0294519633359445,1,NaN,NaN,0,D4 mid-rank window.
high_5_7,backbone,44,0.0981511627907422,0.0854565686008345,0.42388063331569,1,NaN,NaN,0,D4 high-rank window.
win_1_3,backbone,48,0.0168523212524905,0.0121156581858357,0.0136320351166629,1,NaN,NaN,0,D4 sliding window 1:3.
win_2_4,backbone,48,0.0172894638001166,0.0126258598116343,0.014348426807786,1,NaN,NaN,0,D4 sliding window 2:4.
win_3_5,backbone,48,0.0247705988926155,0.0186259064919298,0.0294519633359445,1,NaN,NaN,0,D4 sliding window 3:5.
win_4_6,backbone,48,0.0559328332742048,0.0514695701810001,0.15016712822784,1,NaN,NaN,0,D4 sliding window 4:6.
win_5_7,backbone,44,0.0981511627907422,0.0854565686008345,0.42388063331569,1,NaN,NaN,0,D4 sliding window 5:7.
tail_cdf_ge_0p80,backbone,44,0.0981511627907422,0.0854565686008345,0.42388063331569,1,NaN,NaN,0,Canonical tail region from mean CDF_pt >= 0.80.
full,backbone_phi1,108,0.0211205984158375,0.0157090247015322,0.0481766051638524,0.108319036023614,0.0430526207757874,0.670881425587047,0.891680963976386,Full canonical current domain.
low_1_3,backbone_phi1,48,0.0150348526689114,0.00838826079866393,0.0108502461492419,0.795937367853403,0.00181746858357915,0.107846780057706,0.204062632146597,D4 low-rank window.
mid_3_5,backbone_phi1,48,0.0237557598896553,0.0147400811072068,0.0270881341408779,0.919739503675749,0.00101483900296016,0.0409694980472473,0.0802604963242515,D4 mid-rank window.
high_5_7,backbone_phi1,44,0.0261833251041045,0.019678079838405,0.0301649265943181,0.0711637291809281,0.0719678376866377,0.73323469269613,0.928836270819072,D4 high-rank window.
win_1_3,backbone_phi1,48,0.0150348526689114,0.00838826079866393,0.0108502461492419,0.795937367853403,0.00181746858357915,0.107846780057706,0.204062632146597,D4 sliding window 1:3.
win_2_4,backbone_phi1,48,0.0154676608700077,0.00899591176644603,0.0114839295738992,0.800361581638177,0.00182180293010888,0.105370701553891,0.199638418361823,D4 sliding window 2:4.
win_3_5,backbone_phi1,48,0.0237557598896553,0.0147400811072068,0.0270881341408779,0.919739503675749,0.00101483900296016,0.0409694980472473,0.0802604963242515,D4 sliding window 3:5.
win_4_6,backbone_phi1,48,0.0274175825745793,0.0187357220662582,0.036082744043226,0.24028390546618,0.0285152506996255,0.509812377281739,0.75971609453382,D4 sliding window 4:6.
win_5_7,backbone_phi1,44,0.0261833251041045,0.019678079838405,0.0301649265943181,0.0711637291809281,0.0719678376866377,0.73323469269613,0.928836270819072,D4 sliding window 5:7.
tail_cdf_ge_0p80,backbone_phi1,44,0.0261833251041045,0.019678079838405,0.0301649265943181,0.0711637291809281,0.0719678376866377,0.73323469269613,0.928836270819072,Canonical tail region from mean CDF_pt >= 0.80.
full,backbone_phi1_phi2,108,0.0108758859057408,0.0090667187706389,0.0127747685773467,0.0287224600616152,0.0102447125100967,0.485057871391304,0.971277539938385,Full canonical current domain.
low_1_3,backbone_phi1_phi2,48,0.012307361103583,0.0076405781277393,0.00727061459203142,0.533347701191312,0.00272749156532839,0.181411259916648,0.466652298808688,D4 low-rank window.
mid_3_5,backbone_phi1_phi2,48,0.0106355253840128,0.00887382762330699,0.00542949120931103,0.184350739113023,0.0131202345056426,0.55229698256699,0.815649260886977,D4 mid-rank window.
high_5_7,backbone_phi1_phi2,44,0.0094922813439369,0.00832376721745179,0.00396454982494791,0.00935298646209973,0.0166910437601676,0.637468453445247,0.9906470135379,D4 high-rank window.
win_1_3,backbone_phi1_phi2,48,0.012307361103583,0.0076405781277393,0.00727061459203142,0.533347701191312,0.00272749156532839,0.181411259916648,0.466652298808688,D4 sliding window 1:3.
win_2_4,backbone_phi1_phi2,48,0.00923967955642509,0.00714718837252946,0.00409784055866015,0.285595111823445,0.00622798131358259,0.402645323421776,0.714404888176555,D4 sliding window 2:4.
win_3_5,backbone_phi1_phi2,48,0.0106355253840128,0.00887382762330699,0.00542949120931103,0.184350739113023,0.0131202345056426,0.55229698256699,0.815649260886977,D4 sliding window 3:5.
win_4_6,backbone_phi1_phi2,48,0.00971142961828026,0.00848017490313988,0.00452696953107893,0.0301462083247036,0.0177061529562991,0.645795555028824,0.969853791675296,D4 sliding window 4:6.
win_5_7,backbone_phi1_phi2,44,0.0094922813439369,0.00832376721745179,0.00396454982494791,0.00935298646209973,0.0166910437601676,0.637468453445247,0.9906470135379,D4 sliding window 5:7.
tail_cdf_ge_0p80,backbone_phi1_phi2,44,0.0094922813439369,0.00832376721745179,0.00396454982494791,0.00935298646209973,0.0166910437601676,0.637468453445247,0.9906470135379,Canonical tail region from mean CDF_pt >= 0.80.
full,backbone_phi1_phi2_phi3_diag,108,0.00812470046596734,0.00732586298393033,0.00712916182746251,0.016029023510077,0.00275118543977349,0.252961962236224,0.983970976489923,Full canonical current domain.
low_1_3,backbone_phi1_phi2_phi3_diag,48,0.00709392235320315,0.0051282460614952,0.00241553924895722,0.177195791258241,0.00521343875037985,0.423603297774539,0.822804208741759,D4 low-rank window.
