claim,supported,evidence,caveat,allowed_wording,forbidden_wording,manuscript_safe,notes
"The empirical invD_power template (log-log OLS; predictions back-transformed to A for LOOCV) achieves lower LOOCV_RMSE than the best simple T baseline (T_linear) for both A_obs_canon and A_svd_full_oriented_candidate.",YES,"AX-18C scaling_law_comparison: invD_power beats_best_T_baseline=YES for both targets; judgement CSV lists invD_power as best_empirical_scaling_family.",n=15 diagnostic LOOCV only; not confirmatory.,"Within the AX-18C tested templates on n=15, invD_power improved LOOCV relative to T_linear (see scaling table).","The data establish a power-law scaling law in invD.","YES_WITH_SMALL_N_CAVEATS",Closure does not run new fits.
"The T_power and Xeff_power templates improve LOOCV relative to T_linear for these targets in AX-18C.",NO,"scaling_law_comparison: T_power and Xeff_power have beats_best_T_baseline=NO for both targets (relative LOOCV > 1 vs T_linear).",Does not mean T or Xeff are irrelevant in other model classes (e.g. linear coordinate models in T_function table).,"T_power and Xeff_power (as single log-log monomials with LOOCV in A space) did not beat T_linear in this audit.","T_power and Xeff_power are disproven as predictors in any form.","YES_WITH_SMALL_N_CAVEATS",
"invD_power is the best LOOCV scaling candidate among the families listed in scaling_law_comparison for each target.",YES,"For each target, invD_power row has the minimum LOOCV_RMSE across all rows in that target's block; matches judgement best_empirical_scaling_family=invD_power.",Only within the fixed AX-18C candidate set.,"Best among the tested scaling templates in AX-18C (not a search over all possible forms).","Optimal model among all possible scaling laws.","YES_WITH_SMALL_N_CAVEATS",
"A universal physical scaling law (mechanism-based) is established for A vs invD or T.",NO,"AX-18C status: empirical_fit_only; physical_scaling_law_claim=NO_NOT_FROM_THIS_AUDIT in judgement; EMPIRICAL forms only in source.",,,"We have established a physical scaling law; the exponent is universal.","NO",Task boundary: claim-closure only.
"All simple scaling laws are ruled out (as descriptive fits).",NO,"Several candidates are useful or competitive; invD_power beats T_linear. Ruled-out phrasing is too broad.",,,"All simple scaling forms fail.","NO",Prefer narrower statements.
"All tested single-term log-log scaling templates are ruled out as physical laws.",YES,"No row in scaling_law_comparison is marked as physical law; all carry empirical-only flag in source column.",Tested set is limited.,"No tested template in AX-18C supports a physical scaling-law claim.","We have disproven every possible scaling story.","YES",Narrow physical-law scope.
"invD_power exponents (alpha) are numerically ~0.5625 (A_obs) and ~0.5583 (A_svd) as reported in AX-18C.",YES,"Source alpha fields: 5.62460847e-1 and 5.58279495e-1 (equals 0.562460847 and 0.558279495).",Exponents are log-log OLS on n=15; not stable without resampling study.,"Reported exponents are descriptive log-log slopes from AX-18C; interpret cautiously.","The exponent is a material constant.","YES_WITH_SMALL_N_CAVEATS",
"Endpoint or exponent stability (leave-one-out endpoint sensitivity) is established for invD_power.",NO,"No endpoint_stable or resampling column in AX-18C scaling artifacts; inventory marks NOT_RECORDED.",,,"Our scaling exponent is stable to endpoint removal.","NO",Next work if stronger claims are needed.
"Fixed-Tc log| T - Tc | forms at 23 K, 25 K, 31.5 K are strong empirical predictors of A in this domain.",NO,"LOOCV_RMSE vastly larger than T_linear for 23/25 K; 31.5 K still loses to T_linear in table.",Domain may be far from putative criticality.,"The fixed-Tc single-term forms tested in AX-18C perform poorly vs T_linear here.","Critical slowing down at 23/25 K is confirmed.","YES_WITH_SMALL_N_CAVEATS",
"The empirical templates absT_minus_* and shifted_T_minus_* (except degenerate overlap with T_power at T0=0) beat T_linear.",NO,"beats_best_T_baseline=NO for all such rows in scaling table for both targets.",,,"Shifted-T scaling explains the data better than linear T.","NO",
"Linear-in-coordinate models (separate T_function table) can beat T_linear even when Xeff_power log-log does not.",YES,"T_function_model_comparison: coord linear predictors have LOOCV_RMSE_relative_to_best_T_baseline < 1 for Xeff and invD vs T_linear; distinct model class from Xeff_power.",,,"Log-log Xeff and linear Xeff must agree on rankings.","YES_WITH_SMALL_N_CAVEATS",Cross-check across AX-18C tables.
