artifact_path,artifact_type,robustness_dimension,cites_run_id,cited_run_id,expected_run_path,found_run_path,run_link_status,supports_layer1_substantively,supports_map_level_explicitly,notes
reports/switching_measurement_robustness_report.md,report,measurement,YES,run_2026_03_29_014529_switching_physics_output_robustness_fast,C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014529_switching_physics_output_robustness_fast\,MISSING,MISSING,NO,PARTIAL,"Cites variant tables under run; run folder absent in current repo tree."
reports/switching_intra_measurement_robustness_report.md,report,measurement,YES,run_2026_03_29_014529_switching_physics_output_robustness_fast,same as row above,MISSING,MISSING,NO,PARTIAL,"Same run dependency as measurement report; intra-definition comparison not Layer1 ver12 resim."
reports/switching_raw_baseline_correction_report.md,report,measurement,YES,run_2026_03_29_014323_switching_physics_output_robustness; run_2026_03_29_014529_switching_physics_output_robustness_fast,C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_014323_switching_physics_output_robustness\,MISSING; MISSING,MISSING,NO,PARTIAL,"Explicit CSV paths; both runs missing from workspace."
reports/processing_impact_summary.md,report,multi_run measurement,YES,run_2026_03_28_214509_switching_physics_output_robustness_fast,C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_214509_switching_physics_output_robustness_fast\,MISSING,MISSING,NO,NO,"Processing variants on observables; cited run not present."
reports/parameter_robustness_stage1_canonical_report.md,report,parameter,YES,run_2026_03_10_112659_alignment_audit,C:\Dev\matlab-functions\results\switching\runs\run_2026_03_10_112659_alignment_audit\,MISSING,MISSING,PARTIAL,NO,"Locks alignment samples; variant sweep is post-sample extraction not ver12 knob sweep."
reports/parameter_robustness_stage1b_width_kappa_report.md,report,map_scalarization,YES,run_2026_03_10_112659_alignment_audit,same alignment path,MISSING,MISSING,PARTIAL,PARTIAL,"MAP_STABLE_BUT_SCALARIZATION_FRAGILE refers to collapse/width correlation context not paired raw Smap_A vs Smap_B."
reports/parameter_robustness_report.md,report,parameter,NO,N/A,N/A,N/A,N/A,PARTIAL,NO,"144 variant sets; min corr metrics; figures path figures/switching_parameter_robustness/ missing in workspace."
reports/switching_pipeline_stability.md,report,consolidated,YES,multiple including run_2026_03_29_014529...,mixed,MISSING,MISSING,PARTIAL,PARTIAL,"Aggregates docs; MAP_STABLE is pipeline verdict not Layer1-only."
reports/switching_pipeline_stability_post_enforcement.md,report,consolidated,YES,run_2026_03_29_014529... (robustness_verdicts.csv path),MISSING,MISSING,MISSING,PARTIAL,PARTIAL,"References missing run artifacts for MAP_STABLE."
reports/ver12_canonical_audit.md,report,code_audit_layer1_definition,YES,NO (code paths only),N/A,N/A,N/A,YES,NO,"Static trace of processFilesSwitching analyzeSwitchingStability; not empirical robustness suite."
Switching/analysis/run_parameter_robustness_switching_canonical.m,script,parameter,NO,N/A,implicit run_2026_03_10_112659_alignment_audit in code,N/A,MISSING,PARTIAL,NO,"Reads switching_alignment_samples.csv from hardcoded run id; run dir absent."
tables_old/parameter_robustness_stage1_canonical_summary.csv,data_table,parameter,YES,run_2026_03_10_112659_alignment_audit (via stage1 report),MISSING,MISSING,MISSING,PARTIAL,NO,"Numeric corr_vs_canonical; survives without run folder; not ver12 Layer1 matrix."
tables_old/parameter_robustness_stage1_canonical_methods.csv,data_table,parameter,YES,same alignment audit,same,MISSING,MISSING,PARTIAL,NO,"Method inclusion flags for stage1."
tables_old/parameter_robustness_stage1b_verdicts.csv,data_table,parameter_width_kappa,YES,implied alignment lock,same,MISSING,MISSING,PARTIAL,PARTIAL,"Width/kappa forensic verdicts."
tables_old/map_pair_metrics.csv,data_table,map,YES,NO explicit run in CSV,unknown,N/A,N/A,PARTIAL,YES,"map_corr normalized_rmse between variant_pairs raw_xy_delta|xy_over_xx etc.; map-level but variant definitions not two ver12 ingests."
tables_old/map_rmse_closure_summary.csv,data_table,map_closure,YES,NO,N/A,N/A,N/A,PARTIAL,PARTIAL,"Derived from map_pair_metrics; structural/scale flags."
reports/map_rmse_closure_summary.md,report,map_closure,YES,tables/map_pair_metrics.csv (file relocated),N/A,tables/map_pair_metrics.csv MISSING (now tables_old),EVIDENCE_EXISTS_BUT_PATH_MOVED,PARTIAL,PARTIAL,"Input path in report stale; content in tables_old."
reports/phi_kappa_canonical_verdict.md,report,structure_canonical_space,NO,N/A,N/A,N/A,N/A,NO,PARTIAL,"Phi/kappa stability in canonical space; no run_id; downstream of Layer1."
results/Switching/runs/run_2026_04_03_000147_switching_canonical,run_dir,canonical_repeat,YES,run_2026_04_03_000147_switching_canonical,C:\Dev\matlab-functions\results\Switching\runs\run_2026_04_03_000147_switching_canonical,same (case-insensitive),FOUND,NO,YES,"switching_canonical_S_long.csv contains S_percent grid; single config not sensitivity matrix."
reports/switching_layer1_robustness_audit.md,report,meta_audit,NO,N/A,N/A,N/A,N/A,N/A,N/A,"Prior negative verdict; did not search tables_old or lowercase path equivalence explicitly."
