"family","candidate_id","diagnostic_only","description"
"I0","I_peak_old","NO",""
"I0","I_quadratic_peak","NO",""
"I0","I_half_midpoint","NO",""
"I0","I_centroid_positive","NO",""
"I0","I_median_area","NO",""
"I0","I_peak_smoothed_across_T","YES",""
"W","W_FWHM_crossing","NO",""
"W","W_sigma_positive","NO",""
"W","W_area_20_80","NO",""
"W","W_area_10_90","NO",""
"W","W_half_left_right_sum","NO",""
"W","W_smoothed_across_T","YES",""
"S0","S_peak_old","NO",""
"S0","S_peak_quadratic","NO",""
"S0","S_top2_mean","NO",""
"S0","S_top3_mean","NO",""
"S0","S_percentile_95","NO",""
"S0","S_area_positive","NO",""
"S0","S_area_core","NO",""
"S0","S_smoothed_peak_across_T","YES",""
