check_id,check_type,target,status,evidence,notes
identity_table_present,identity_contract,tables/switching_canonical_identity.csv,PASS,tables/switching_canonical_identity.csv,Identity table exists and is readable.
identity_columns_valid,identity_contract,tables/switching_canonical_identity.csv,PASS,tables/switching_canonical_identity.csv,"Header row is field,value."
canonical_run_id_row_present,identity_contract,tables/switching_canonical_identity.csv,PASS,tables/switching_canonical_identity.csv,CANONICAL_RUN_ID parsed as run_2026_04_03_000147_switching_canonical.
canonical_run_status_locked,identity_contract,tables/switching_canonical_identity.csv,PASS,tables/switching_canonical_identity.csv,STATUS row is LOCKED.
canonical_run_dir_present,anchor_file,results/switching/runs/run_2026_04_03_000147_switching_canonical/,PASS,results/switching/runs/run_2026_04_03_000147_switching_canonical/,Anchor run directory exists.
S_long_anchor_file_present,anchor_file,results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv,PASS,results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv,Anchor S_long artifact exists.
phi1_anchor_file_present,anchor_file,results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_phi1.csv,PASS,results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_phi1.csv,Anchor phi1 artifact exists.
results_tree_available,resolver_behavior,results/switching/runs,PASS,results/switching/runs,Results tree exists and contains many run_* directories.
current_resolver_path_S_long,resolver_behavior,switching_canonical_S_long.csv,PASS,results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_S_long.csv,Static emulation of current mtime logic selects newest candidate; differs from identity anchor.
current_resolver_path_phi1,resolver_behavior,switching_canonical_phi1.csv,PASS,results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_phi1.csv,Static emulation of current mtime logic selects newest candidate; differs from identity anchor.
resolver_vs_anchor_same_path_S_long,resolver_behavior,comparison current vs identity S_long,FAIL,"current=results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_S_long.csv; anchor=results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv",same_path=NO.
resolver_vs_anchor_same_path_phi1,resolver_behavior,comparison current vs identity phi1,FAIL,"current=results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_phi1.csv; anchor=results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_phi1.csv",same_path=NO.
fallback_candidate_available_if_identity_missing,fallback_behavior,mtime candidate availability,PASS,results/switching/runs/run_*_switching_canonical/tables/,31 candidate files exist for each requested artifact so fallback candidates are available.
fallback_candidate_available_if_anchor_artifact_missing,fallback_behavior,mtime candidate availability excluding anchor,PASS,results/switching/runs/run_*_switching_canonical/tables/,Newer candidates than anchor exist so fallback path would remain available.
fallback_empty_return_preserved_by_design,fallback_behavior,Switching/utils/switchingResolveLatestCanonicalTable.m,PASS,Switching/utils/switchingResolveLatestCanonicalTable.m,Current resolver returns empty string when no candidates and design preserves this behavior.
