phase,check_id,requirement,result,evidence_paths_or_notes,gap_if_any
0,P0-FREEZE-01,No unintended code drift after freeze,NO,"Git working tree shows extensive modified tracked files (e.g. Aging/utils/createRunContext.m, many Switching/analysis/*.m, docs); initial snapshot also listed mass tables/ deletions.","Declared FREEZE_ACTIVE=YES in tables/system_freeze_status.csv and reports/system_freeze_status.md forbids unauthorized edits; observable tree state does not match a clean frozen baseline."
0,P0-FREEZE-02,System state narrative matches boundary work,NO,"canonical_state_freeze.md Section D: canonical core established but cleanup and consolidation not complete; open items listed.","Freeze documentation and machine flags claim closure posture while other canonical_state_freeze sections list incomplete migration and unresolved root-vs-run tension."
0,P0-BOUND-01,Switching / Aging / Relaxation boundary documented and real at policy level,YES,"docs/switching_dependency_boundary.md (Aging/utils only; no genpath(Aging)); repo_context_minimal separates modules; Relaxation not on canonical Switching path in run_switching_canonical.m head.","Runtime enforcement is path setup + helper assertions, not a compiler-level barrier; humans can still addpath elsewhere in custom scripts."
0,P0-BOUND-02,Canonical vs non-canonical separation enforceable,PARTIAL,"tables/switching_canonical_entrypoint.csv; tables/switching_noncanonical_scripts.csv; tables/switching_canonical_scope.csv referenced in docs/switching_backend_definition.md.","Enforcement is registry + policy (docs/repo_execution_rules.md); wrapper accepts any .m path—no technical block on invoking non-canonical Switching/analysis scripts."
1,P1-DEF-01,Canonical Switching definition unique and stable in SSOT,YES,"Single row CANONICAL_ENTRYPOINT in tables/switching_canonical_entrypoint.csv; docs/switching_canonical_definition.md Section 0; tables/switching_entrypoint_lock_status.csv ENTRYPOINT_LOCKED=YES.",""
1,P1-DEF-02,Entrypoint unambiguous for agents,YES,"docs/repo_execution_rules.md mandates tables/switching_canonical_entrypoint.csv as sole SSOT; same path as canonical definition doc.","Ambiguity arises only if an operator ignores SSOT and picks scripts by filename."
1,P1-DEF-03,Backend well-defined,YES,"docs/switching_backend_definition.md: Switching ver12; access only via registered entrypoint; Sections 7-10 SSOT rules.",""
1,P1-DEF-04,No alternative hidden paths,NO,"Dozens of Switching/analysis/*.m remain executable via tools/run_matlab_safe.bat with absolute path; tables/switching_canonical_scope.csv marks non-canonical files explicitly—paths are not hidden but are alternate entrypoints.","Strict reading of no alternative paths fails: policy forbids; filesystem and wrapper do not."
2,P2-EX-01,Wrapper to MATLAB chain correct,YES,"tools/run_matlab_safe.bat: pre_execution_guard.ps1 then matlab -batch run(...); docs/repo_execution_rules.md matches.",""
2,P2-EX-02,Preflight guard before MATLAB,YES,"tools/pre_execution_guard.ps1; exit 2 logs tables/pre_execution_failure_log.csv; MATLAB not launched on invalid path.",""
2,P2-EX-03,Validator in automated chain,NO,"docs/repo_execution_rules.md and AGENT_RULES.md: tools/validate_matlab_runnable.ps1 optional; batch file does not invoke it.","If Phase 2 requires validator in the automated chain, it is missing—validator is governance-only."
2,P2-EX-04,Manifest reflects execution identity,PARTIAL,"createRunContext in Aging/utils/createRunContext.m writes run_manifest.json; createSwitchingRunContext.m wraps with Switching checks.","Not re-executed in this audit; legacy runs may lack fields per infrastructure_laws LEGACY row."
2,P2-EX-05,Fingerprint matches execution identity,PARTIAL,"docs/switching_backend_definition.md Section 7: fingerprint material from run_manifest.json after wrapped run; forbids recomputing in tools.","Identity proof requires successful run and manifest writer; no batch-file-stored hash."
2,P2-EX-07,Phase 2 overall closure,NO,"P2-EX-03 and unverified manifest/fingerprint in read-only pass.","Aggregate Phase 2 verdict NO per required YES/NO column."
2,P2-EX-06,Failure modes explicit (no silent failure),YES,"run_switching_canonical.m catch: writeSwitchingExecutionStatus FAILED; write failure artifacts; rethrow(ME); pre_exec logs when script missing.","MATLAB exit code explicitly excluded as validity indicator per docs—by design, not silent if signaling read."
3,P3-SR-01,Execution graph correctly understood,PARTIAL,"docs/switching_backend_definition.md 10.2: canonical_call_graph.csv is sample; fuller closure inside legacy functions.","Full transitive closure not enumerated row-by-row—stated limitation."
3,P3-SR-02,IO and runtime stages mapped,PARTIAL,"docs/output_artifacts.md; docs/run_system.md; run_switching_canonical.m run_dir tables/reports; writeSwitchingExecutionStatus.","Legacy Switching ver12 internal IO not fully mapped in this audit."
3,P3-SR-03,Artifacts produced deterministically,PARTIAL,"Run-scoped outputs under results/switching/runs/; atomic final execution_status write in writeSwitchingExecutionStatus.","Scientific outputs depend on data and MATLAB state—not bit-identical across environments."
3,P3-SR-04,No hidden dependencies,NO,"run_switching_canonical.m adds Switching ver12 paths General ver2 Aging/utils Switching/utils; large legacy callees.","Transitive dependencies in Switching ver12 not fully exposed in machine tables; cross-module law in docs/infrastructure_laws.md PART 7 normative but not operationally closed."
X,X-CON-01,Cross-phase consistency,NO,"system_master_plan.md: SYSTEM_CLOSED=NO; FALSE_CLOSURE_PRESENT=YES; Phase 4.5 ACTIVE. tables/system_freeze_status.csv claims FREEZE_ACTIVE. Git shows drift.","Phase 0 freeze narrative contradicts observed working tree; system plan denies system-wide closure while phase tables can imply stronger posture."
