PHASE,CLAIMED_FAILURE,SOURCE_AUDIT,CLASSIFICATION,IS_BLOCKING_NOW,WHY
0,Working tree drift vs declared active freeze (FREEZE_ACTIVE),phase_0_3_revalidation,AUDIT_OVERREACH,NO,"Authoritative phase model treats Phase 0 as freeze+boundary process control; strict ""no git diff"" was not the sole closure criterion in system_master_plan. Drift is a process/compliance signal for humans, not a mechanical blocker to bottom-layer recovery if freeze scope is explicitly redefined (repo vs audit snapshot)."
0,canonical_state_freeze.md lists incomplete consolidation,DOC_DRIFT,NO,"Documents open items; does not assert repo-wide closure. Align narrative labels with canonical_state_freeze; not a runtime defect."
0,Cross-phase tension: freeze tables vs SYSTEM_CLOSED=NO,phase_0_3_revalidation,DOC_DRIFT,NO,"system_master_plan already denies system-wide closure; reconcile freeze wording with master plan—documentation alignment, not a new technical failure."
1,Many alternate Switching/analysis scripts remain invokable via wrapper,phase_0_3_revalidation,DEFINITION_MISMATCH,NO,"Phase 1 intent is SSOT registry + policy (docs/repo_execution_rules); not filesystem exclusion. Non-canonical scripts are catalogued; misuse is policy violation, not Phase 1 failure if SSOT is unique."
1,Entry B depends on repo tables/phi_kappa_stability_* outside narrow graph,canonical_switching_isolation,DEFINITION_MISMATCH,NO,"Strict ""data isolation"" for union of Entry A+B is an audit criterion; master plan assigns cross-boundary aggregate inputs to Phase 4.5 / isolation narrative, not Phase 1 primary definition failure."
1,Primary runner does not call assertModulesCanonical,canonical_switching_isolation;isolation_feasibility,LATER_PHASE_ITEM,NO,"Phase 4.5 owns module-registry alignment with canonical subsystem; not required for ""canonical definition"" of Switching entrypoint in Phase 1 sense (SSOT + backend doc)."
2,validate_matlab_runnable.ps1 not in automated wrapper chain,phase_0_3_revalidation,DEFINITION_MISMATCH,NO,"docs/repo_execution_rules explicitly: optional preflight; batch preserves single MATLAB call. Auditing Phase 2 as ""wrapper+validator mandatory"" over-reads repo policy."
2,Manifest/fingerprint population not empirically re-executed in revalidation,phase_0_3_revalidation,AUDIT_OVERREACH,NO,"Read-only pass cannot prove fresh run; gap is evidence absence, not proof of failure. Separate execution evidence (execution_chain_audit) addresses manifest."
2,Manifest script_path/script_hash identify createRunContext.m not registered entry script,execution_chain_audit (cited in system_closure),REAL_DEFECT,YES,"Fingerprint story requires entry script identity for ""what ran""; infrastructure_laws + Phase 4 execution-trust scope include manifest fields; mismatch blocks full execution-trust closure and misleads trust chain."
2,Validator CHECK_DRIFT=FAIL on fopen-based probe output,execution_chain_audit,AUDIT_OVERREACH,NO,"Validator is non-blocking by design; rule clash with signaling contract is tooling/contract alignment—not a runtime execution failure."
