claim_boundary_key,value,rationale_source
SAFE_TO_CLAIM_BRIDGE_MAIN_TEXT,PARTIAL,scaling_01_report_language_diagnostic_linkage_shared_T_trends;_not_unique_universal_without_extra_validation
SAFE_TO_CLAIM_POWERLAW_MAIN_TEXT,NO,claim_safety_and_conservative_defaults;_alpha_diagnostic
SAFE_TO_MENTION_POWERLAW_SUPPLEMENT,PARTIAL,svd_xscaling_and_scaling_03_explicit_powerlaw_audit_rows_diagnostic_class
SAFE_TO_CLAIM_UNIVERSAL_EXPONENT,NO,default_conservative;_needs_cross_validation
SAFE_TO_USE_AOBS_AS_PRIMARY_CURRENT_SCALAR,PARTIAL,allowed_as_track_with_namespace;_not_sole_closure_without_sidecar
SAFE_TO_USE_SVD_AS_PRIMARY_CURRENT_SCALAR,PARTIAL,m0_svd_diagnostic_track;_mode_claims_need_RF5A_traceability
NEED_FINAL_CANONICAL_AX_SUMMARY,YES,organization_plan_prerequisite
NEED_OLD_AX_ARCHAEOLOGY,YES,user_expectation;_legacy_AX_strings_in_scalarization_01
NEED_GET_CANONICAL_X_AUDIT,YES,explicit_script_references_legacy_canonical_X
NEED_CROSS_MODULE_INDEX,YES,this_plan_deliverable
