combo_id,I0_candidate,W_candidate,S0_candidate,is_baseline,primary_metric_mean_std,low_primary_metric_mean_std,high_primary_metric_mean_std,T22_specific_defect,leave22k_out_delta,primary_common_x_min,primary_common_x_max,primary_valid_curves,low_primary_valid_curves,high_primary_valid_curves,diag_32_34_metric_mean_std,I0_roughness_mean_abs_step,W_roughness_mean_abs_step,S0_roughness_mean_abs_step,delta_low_vs_baseline,delta_high_vs_baseline,high_improvement_with_low_cost
G254,I_peak_smoothed_across_T,W_sigma_positive,S_area_positive,NO,0.0238037865165766,0.0150886899477928,0.02204131352717,0.0176589776516532,0.000413100775885987,-0.869139184243007,1.8071648327254,14,8,6,0.298400439590187,1.16666666666667,0.478225275639016,0.0753710901836272,-0.115524800439096,-0.0930693842897721,YES
G158,I_centroid_positive,W_sigma_positive,S_area_positive,NO,0.025479972350051,0.00956836432648808,0.0263651821048709,0.0153765861864123,0.000609978133744214,-1.15261155363472,1.56948811638229,14,8,6,0.332821806541379,2.03992566893205,0.478225275639016,0.0753710901836272,-0.121045126060401,-0.0887455157120712,YES
G110,I_half_midpoint,W_sigma_positive,S_area_positive,NO,0.0367984849953805,0.0371574946315073,0.0270487780964797,0.0088920357397368,0.00142366564636982,-0.486220850394096,1.67767021418453,14,8,6,NaN,2.06306205646803,0.454164922922247,0.0807547394824577,-0.0934559957553815,-0.0880619197204624,YES
G126,I_half_midpoint,W_area_10_90,S_area_positive,NO,0.0408459357238044,0.0371865872570064,0.0298928047034565,0.0103663516137408,0.00156705614740759,-0.186476021029006,0.557006262119793,14,8,6,NaN,2.06306205646803,2.14285714285714,0.0807547394824577,-0.0934269031298825,-0.0852178931134856,YES
G270,I_peak_smoothed_across_T,W_area_10_90,S_area_positive,NO,0.0284593750085329,0.0209569148601907,0.0350719360231623,0.0178118529882317,0.000750589652976544,-0.333333333333333,0.6,14,8,6,0.424207083044875,1.16666666666667,2,0.0753710901836272,-0.109656575526698,-0.0800387617937798,YES
G286,I_peak_smoothed_across_T,W_smoothed_across_T,S_area_positive,NO,0.0544563789469674,0.0570069949461845,0.0375149133961295,0.016795437510171,0.0019527397099958,-1.01652129467796,0.819074705915204,14,8,6,0.42550901548344,1.16666666666667,1.32950980725086,0.0753710901836272,-0.0736064954407043,-0.0775957844208126,YES
G174,I_centroid_positive,W_area_10_90,S_area_positive,NO,0.0306310543688962,0.0170925774350087,0.0375513249712624,0.0153005070794616,0.000963098932850581,-0.442051006532635,0.521088532034568,14,8,6,0.386528806426009,2.03992566893205,2,0.0753710901836272,-0.11352091295188,-0.0775593728456797,YES
G014,I_peak_old,W_sigma_positive,S_area_positive,NO,0.0309687712751601,0.0150886899477928,0.0379265317176824,0.0492011324422373,-0.00215076936325391,-0.869139184243007,1.8071648327254,14,8,6,0.424666993126091,2.33333333333333,0.478225275639016,0.0753710901836272,-0.115524800439096,-0.0771841660992597,YES
G206,I_median_area,W_sigma_positive,S_area_positive,NO,0.0309687712751601,0.0150886899477928,0.0379265317176824,0.0492011324422373,-0.00215076936325391,-0.869139184243007,1.8071648327254,14,8,6,0.424666993126091,2.33333333333333,0.478225275639016,0.0753710901836272,-0.115524800439096,-0.0771841660992597,YES
G190,I_centroid_positive,W_smoothed_across_T,S_area_positive,NO,0.0561311612125821,0.0554608835052209,0.0395190411154649,0.0125671317614723,0.00210266778081704,-1.14015287313916,0.724723258793481,14,8,6,0.386940012155709,2.03992566893205,1.32950980725086,0.0753710901836272,-0.0751526068816679,-0.0755916567014772,YES
G142,I_half_midpoint,W_smoothed_across_T,S_area_positive,NO,0.0477404069654379,0.0460383499667601,0.0442787538154649,0.00816036156884686,0.00186994814273434,-0.568670538968401,0.774677177936921,14,8,6,NaN,2.06306205646803,1.39165033267898,0.0807547394824577,-0.0845751404201287,-0.0708319440014772,YES
G030,I_peak_old,W_area_10_90,S_area_positive,NO,0.0344750552671244,0.0209569148601907,0.0460494405890275,0.0511807514859015,-0.00186753537761509,-0.333333333333333,0.6,14,8,6,0.518076704126367,2.33333333333333,2,0.0753710901836272,-0.109656575526698,-0.0690612572279146,YES
G222,I_median_area,W_area_10_90,S_area_positive,NO,0.0344750552671244,0.0209569148601907,0.0460494405890275,0.0511807514859015,-0.00186753537761509,-0.333333333333333,0.6,14,8,6,0.518076704126367,2.33333333333333,2,0.0753710901836272,-0.109656575526698,-0.0690612572279146,YES
G046,I_peak_old,W_smoothed_across_T,S_area_positive,NO,0.058590028786625,0.0570069949461845,0.0479892350709643,0.0505418678515478,0.000462623589341613,-1.01652129467796,0.819074705915204,14,8,6,0.526068611131592,2.33333333333333,1.32950980725086,0.0753710901836272,-0.0736064954407043,-0.0671214627459778,YES
G238,I_median_area,W_smoothed_across_T,S_area_positive,NO,0.058590028786625,0.0570069949461845,0.0479892350709643,0.0505418678515478,0.000462623589341613,-1.01652129467796,0.819074705915204,14,8,6,0.526068611131592,2.33333333333333,1.32950980725086,0.0753710901836272,-0.0736064954407043,-0.0671214627459778,YES
