FILE,TYPE,SEVERITY,STATUS,NOTES
Switching/analysis/run_parameter_robustness_switching_canonical.m,DIRECT,FIXED,PASS,Trust CSV via load_run(run-scoped); duplicate repo-root table writes removed; outputs only under run_dir.
Switching/analysis/analyze_phi_kappa_canonical_space.m,DIRECT,FIXED,PASS,Inputs via load_run; repoRoot from script path; SWITCHING_PHI_KAPPA_INPUT_RUN_ID.
Switching/analysis/run_phi1_observable_phi2_driver_test.m,DIRECT,FIXED,PASS,load_run for inputs; outputs under createRunContext run_dir.
Switching/analysis/run_phi1_phi2_observable_closure_fixed.m,DIRECT,FIXED,PASS,run_artifact_path + createRunContext outputs; SWITCHING_CLOSURE_FIXED_INPUT_RUN_ID.
Switching/analysis/run_phi1_phi2_observable_closure_test.m,DIRECT,FIXED,PASS,run_artifact_path inputs; createRunContext outputs; SWITCHING_CLOSURE_TEST_INPUT_RUN_ID.
Switching/analysis/debug_fix_o2_pipeline.m,DIRECT,FIXED,PASS,Kappa table scan results/switching/runs only; outputs under run_dir.
Switching/analysis/run_phi2_extended_deformation_basis_test.m,DIRECT,FIXED,PASS,Outputs run-scoped; baseline phi2_deformation_fit via run_artifact_path; SWITCHING_PHI2_BASELINE_FIT_RUN_ID.
Switching/analysis/run_kappa2_operational_signature_test.m,DIRECT,FIXED,PASS,Default kappa CSV path run-scoped; outputs run-scoped; SWITCHING_KAPPA_TABLE_RUN_ID.
Switching/analysis/run_phi1_observable_phi2_driver_test.m,DIRECT,FIXED,PASS,See above.
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,DIRECT,FIXED,PASS,Outputs under createRunContext run_dir.
Switching/analysis/run_phi2_second_order_deformation_test.m,DIRECT,FIXED,PASS,Outputs run-scoped.
Switching/analysis/run_phi2_shape_physics_test.m,DIRECT,FIXED,PASS,Outputs run-scoped.
Switching/analysis/run_phi2_deformation_structure_test.m,DIRECT,FIXED,PASS,Outputs run-scoped.
Switching/analysis/experimental/run_switching_physical_baseline_model.m,DIRECT,FIXED,PASS,Repo tables/reports mirror removed; writes only run_dir.
Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m,DIRECT,FIXED,PASS,Repo tables/reports removed; failure path uses run_dir when available.
Switching/analysis/run_width_interaction_closure_test_v2.m,DIRECT,FIXED,PASS,CSV discovery under results/switching/runs/<id>/tables; outputs run-scoped; SWITCHING_WIDTH_CLOSURE_INPUT_RUN_ID.
Switching/analysis/run_kappa2_opening_test.m,DIRECT,FIXED,PASS,closure_metrics via run_artifact_path; outputs run-scoped; SWITCHING_KAPPA2_TABLE_RUN_ID.
tools/load_run.m,N_A,N_A,NEW,CSV reader for results/switching/runs/<RUN_ID>/...
tools/run_artifact_path.m,N_A,N_A,NEW,Path builder for run-scoped artifacts.
run_relaxation_*.m run_alpha_*.m run_aging_*.m run_PT_*.m locate_relaxation*.m run_extract_tau*.m find_relaxation*.m inspect_relaxation*.m run_build_relaxation*.m run_validate_relaxation*.m,DIRECT,REMAINS,SKIP_SCOPE,Explicitly out of scope (Relaxation/Alpha/Aging cross-domain per task).
Switching/analysis/run_width_decomposition_test.m,DIRECT,REMAINS,DEFERRED,Reads repo tables/alpha*; not updated in this pass.
Switching/analysis/run_kappa2_physical_necessity.m,DIRECT,REMAINS,DEFERRED,Alpha/aging aggregate tables; deferred.
Switching/analysis/run_kappa2_kww_shape_test.m,DIRECT,REMAINS,DEFERRED,Relaxation table inputs; deferred.
Switching/analysis/switching_full_scaling_collapse.m and other analysis drivers,DIRECT,REMAINS,MIXED,Many already read only run_dir or results/switching/runs; full audit not repeated here.
