exclusion_key,path_or_pattern,commit_plan_action
PHASE4B_DELETED,figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,exclude_from_commit_1_and_2_separate_restore_decision
PHASE4B_DELETED,figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,exclude_from_commit_1_and_2_separate_restore_decision
PHASE4B_DELETED,figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,exclude_from_commit_1_and_2_separate_restore_decision
MATLAB_ERROR_LOG,matlab_error.log,exclude_do_not_stage
LEGACY_CV07_PNG,figures/latent_vs_observable_proxy_comparison.png,exclude_typically_gitignored
LEGACY_CV07_PNG,figures/phi1_phi2_in_experimental_language.png,exclude_typically_gitignored
LEGACY_CV07_PNG,figures/observable_replacement_summary.png,exclude_typically_gitignored
PLACEHOLDER_PHI2_REMOVED,tables/phi2_structure_metrics.csv,absent_do_not_restore_here
PLACEHOLDER_PHI2_REMOVED,tables/phi2_kernel_comparison.csv,absent_do_not_restore_here
PLACEHOLDER_PHI2_REMOVED,tables/phi2_regime_stability.csv,absent_do_not_restore_here
PLACEHOLDER_PHI2_REMOVED,reports/run_phi2_shape_physics_test.md,absent_do_not_restore_here
RELAXATION_BACKLOG,Relaxation ver3/**,exclude_unrelated
UNRELATED_MODIFIED,reports/maintenance/governor_summary_latest.md,exclude_unrelated
UNRELATED_MODIFIED,tables/maintenance_findings_latest.csv,exclude_unrelated
UNRELATED_MODIFIED,reports/aging/aging_F7X7_user_observable_guide_draft.md,exclude_unrelated
FIG_RESULTS_IGNORED_DEFAULT,results/switching/figures/canonical_paper/*.fig,defer_force_add_separate_policy
BROAD_ADD_FORBIDDEN,git add . or git add -A,never_use
