key,value
SWITCHING_SEMANTIC_PHASE25_COMPLETE,YES
READ_ONLY_EXISTING_ARTIFACTS_ENFORCED,YES
MATLAB_NOT_RUN,YES
NO_ANALYSIS_CODE_EDITS,YES
NO_HELPER_IMPLEMENTATION,YES
NO_RENAMES_EXECUTED,YES
NO_REPLAY_EXECUTED,YES
NO_STAGING_OR_COMMIT,YES
PHASE2_INPUTS_FOUND,YES
SIDECAR_TEMPLATE_WRITTEN,YES
RUN_MANIFEST_TEMPLATE_WRITTEN,YES
HELPER_CONTRACT_WRITTEN,YES
PHASE3_INTEGRATION_PLAN_WRITTEN,YES
SIDECAR_SCHEMA_INCLUDES_SEMANTIC_FIELDS,YES
MANIFEST_SCHEMA_INCLUDES_PROVENANCE_FIELDS,YES
HELPER_LAYER_DESIGN_ONLY,YES
WARN_FIRST_PREFLIGHT_PRESERVED,YES
HARD_FAIL_RESERVED_FOR_UNSAFE_PROMOTION,YES
BROAD_OLD_ANALYSIS_REPLAY_ALLOWED_NOW,NO
SAFE_TO_PROCEED_TO_PHASE3_LINT_PREFLIGHT,YES
SAFE_TO_PROCEED_TO_PHASE4_CORRECTED_OLD_REPLAY,NO
