dependency_name,dependency_kind,used_by_execution,role_description,classification,technical_or_scientific,notes
"run_switching_canonical.m",entry_script,YES,"Defines entire Switching canonical pipeline and outputs","CANONICAL",scientific,"Source of truth per repo_execution_rules"
"createRunContext.m (Aging/utils)",repo_util,YES,"Allocates results/Switching/runs/run_* and manifest paths","LEGACY_HARMLESS",technical,"Resolved path must match repo Aging/utils; not Aging science pipeline"
"restoredefaultpath + addpath repo dirs",matlab_path,YES,"Clears then adds General ver2 Switching/utils legacy ver12 subtrees","CANONICAL",technical,"Required for which() resolution checks"
"General ver2",legacy_module,YES,"Optional resolve_preset select_preset for normalize_to when present","LEGACY_HARMLESS",mixed,"Affects normalization constant when functions exist"
"Switching/utils",repo_module,YES,"Switching-local helpers on path","CANONICAL",technical,""
"Switching ver12 (root main plots parsing utils)",legacy_module,YES,"Hosts getFileListSwitching processFilesSwitching analyzeSwitchingStability and Switching_main.m","LEGACY_HARMLESS",scientific,"Legacy implementation of raw->metrics used as canonical engine in this script"
"Switching ver12/main/Switching_main.m",legacy_config,YES,"Parent raw directory parsed via regexp dir = ""...""","NONCANONICAL_RISK",scientific,"Machine-specific absolute path to raw data; not versioned with repo"
"External raw directory (Temp Dep* subfolders)",external_data,YES,"Only .dat inputs enumerated; drives S(I,T)","CANONICAL",scientific,"Content outside repo; path from Switching_main"
"getFileListSwitching",legacy_function,YES,"Lists and sorts raw files per folder","LEGACY_HARMLESS",technical,""
"processFilesSwitching",legacy_function,YES,"Core waveform->table pipeline producing P2P_percent columns","LEGACY_HARMLESS",scientific,"Defines raw metric before canonical grid"
"analyzeSwitchingStability",legacy_function,YES,"Selects global switching channel 1-4","LEGACY_HARMLESS",technical,""
"extract_dep_type_from_folder extractPulseSchemeFromFolder extract_delay_between_pulses_from_name",legacy_function,YES,"Folder metadata for processing","LEGACY_HARMLESS",technical,""
"resolveNegP2P (optional)",legacy_function,IF_PRESENT,"May flip Svec sign","LEGACY_HARMLESS",scientific,"Only if function on path"
"Repo startup path (Matlab functions path added)",matlab_environment,OBSERVED,"Console line when running from wrapper","UNKNOWN",technical,"May shadow names e.g. load; not Switching-specific"
"results/Switching/runs/<run_id>/ (createRunContext)",artifact_tree,YES,"All canonical CSV MD JSON outputs","CANONICAL",technical,""
