model,T_K,R,yhat_loocv,residual
R ~ spread90_50 + kappa1 + alpha,6,9.55842193548671,6.75078806607109,2.80763386941562
R ~ spread90_50 + kappa1 + alpha,8,5.10324271265972,8.12311998077445,-3.01987726811473
R ~ spread90_50 + kappa1 + alpha,10,2.28094749153087,5.06884679174762,-2.78789930021675
R ~ spread90_50 + kappa1 + alpha,12,0.800786706765585,2.1601066717715,-1.35931996500591
R ~ spread90_50 + kappa1 + alpha,14,0.372010793029286,-0.841197033616689,1.21320782664598
R ~ spread90_50 + kappa1 + alpha,16,0.703870184987391,-1.88206935955249,2.58593954453988
R ~ spread90_50 + kappa1 + alpha,18,1.50561531730532,-2.49924536444349,4.00486068174881
R ~ spread90_50 + kappa1 + alpha,20,3.19806276575443,6.01970961951088,-2.82164685375645
R ~ spread90_50 + kappa1 + alpha,22,7.00173291822134,17.0020853392409,-10.0003524210196
R ~ spread90_50 + kappa1 + alpha,24,35.1894881379254,25.8556064124217,9.33388172550371
R ~ spread90_50 + kappa1 + alpha,26,91.9735525900868,109.039602639996,-17.0660500499089
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,6,9.55842193548671,3.4365496784721,6.12187225701461
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,8,5.10324271265972,6.71970241413566,-1.61645970147594
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,10,2.28094749153087,4.41338261830135,-2.13243512677048
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,12,0.800786706765585,5.1767604311966,-4.37597372443102
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,14,0.372010793029286,0.597340677647555,-0.225329884618269
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,16,0.703870184987391,-0.664050601180832,1.36792078616822
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,18,1.50561531730532,-1.47905954579029,2.98467486309561
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,20,3.19806276575443,4.53402064505996,-1.33595787930553
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,22,7.00173291822134,19.0324584028949,-12.0307254846736
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,24,35.1894881379254,28.8487501523972,6.34073798552823
R ~ spread90_50 + kappa1 + alpha + kappa1*alpha,26,91.9735525900868,101.658096159242,-9.68454356915518
R ~ spread90_50 + kappa1 + alpha + g23(T),6,9.55842193548671,5.39965724303435,4.15876469245236
R ~ spread90_50 + kappa1 + alpha + g23(T),8,5.10324271265972,7.97032668671587,-2.86708397405615
R ~ spread90_50 + kappa1 + alpha + g23(T),10,2.28094749153087,4.50744645233314,-2.22649896080227
R ~ spread90_50 + kappa1 + alpha + g23(T),12,0.800786706765585,3.55646517986609,-2.7556784731005
R ~ spread90_50 + kappa1 + alpha + g23(T),14,0.372010793029286,-0.228617758968894,0.60062855199818
R ~ spread90_50 + kappa1 + alpha + g23(T),16,0.703870184987391,-0.738162449392209,1.4420326343796
R ~ spread90_50 + kappa1 + alpha + g23(T),18,1.50561531730532,-1.27959025001236,2.78520556731768
R ~ spread90_50 + kappa1 + alpha + g23(T),20,3.19806276575443,-2.37490682222145,5.57296958797588
R ~ spread90_50 + kappa1 + alpha + g23(T),22,7.00173291822134,16.390010832984,-9.38827791476267
R ~ spread90_50 + kappa1 + alpha + g23(T),24,35.1894881379254,25.3465835101378,9.84290462778758
R ~ spread90_50 + kappa1 + alpha + g23(T),26,91.9735525900868,145.767669941036,-53.7941173509492
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),6,9.55842193548671,6.67022270922048,2.88819922626623
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),8,5.10324271265972,7.13226214985506,-2.02901943719534
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),10,2.28094749153087,0.520868135011093,1.76007935651978
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),12,0.800786706765585,5.68420495236803,-4.88341824560244
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),14,0.372010793029286,1.16192083533083,-0.789910042301541
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),16,0.703870184987391,-0.992631588023858,1.69650177301125
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),18,1.50561531730532,0.0902543522123056,1.41536096509301
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),20,3.19806276575443,2.54051823934081,0.657544526413616
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),22,7.00173291822134,13.7318154807444,-6.73008256252304
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),24,35.1894881379254,29.1622116842443,6.02727645368109
R ~ spread90_50 + kappa1 + alpha + abs(alpha_res),26,91.9735525900868,109.77328882217,-17.7997362320832
