path,bundle,change_classification,risk_level,recommended_action,rationale
.gitignore,gitignore_and_governance_docs,MIXED_OR_UNCLEAR,HIGH,REQUIRES_DEEP_REVIEW,"Inserts three explicit `tables/maintenance_*.csv` ignore lines immediately after `!tables/maintenance_*.csv`; last-match semantics can re-ignore files the glob had un-ignored—confirm intent so maintenance tables are not accidentally hidden from review."
Switching/analysis/run_minimal_canonical.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Adds SWITCHING namespace / evidence warning block at file top only; no change to `repoRoot` bootstrap or downstream logic."
Switching/analysis/run_parameter_robustness_switching_canonical.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Comment-only namespace banner distinguishing robustness template from CANON_GEN_SOURCE producer; executable body unchanged."
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Adds detailed PHI2_KAPPA2_HYBRID / OLD_RESIDUAL_DECOMP warning block before existing `fprintf`; no computational hunk."
Switching/analysis/run_switching_backbone_confidence_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Short diagnostic-forensic header; clears that audit is not authoritative backbone substitution."
Switching/analysis/run_switching_backbone_stress_test.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Stress-test namespace banner only; no path/stress logic diff in hunk."
Switching/analysis/run_switching_backbone_validity_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Adds PTCDF diagnostic semantics in comments; `clear; clc;` and repoRoot block unchanged."
Switching/analysis/run_switching_canonical.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,HIGH,KEEP_FOR_FUTURE_COMMIT,"Canonical producer: diff is evidence-warning comment block after `clc` only—no change to `repoRootBootstrap`/`addpath` or downstream computation in hunk; HIGH because any drift here governs all manuscript evidence class."
Switching/analysis/run_switching_canonical_collapse_hierarchy.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"CANON_COLLAPSE_FAMILY + EXPERIMENTAL_PTCDF_DIAGNOSTIC commentary only; no plot/data pipeline hunk shown."
Switching/analysis/run_switching_canonical_collapse_visualization.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Figure-replay namespace header; display-layer warnings only in diff."
Switching/analysis/run_switching_canonical_first_figure_anchor.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Anchor/replay figure banner; executable anchor path not touched in hunk."
Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Visualization namespace guard; comment-only."
Switching/analysis/run_switching_canonical_map_visualization.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Map display column-class commentary; no plotting code changes in diff."
Switching/analysis/run_switching_canonical_metadata_sidecar_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Sidecar audit forensic banner; audit-only evidence class."
Switching/analysis/run_switching_canonical_observable_dictionary_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Adds header plus softens two leading comment lines (`Canonical Switching` → map-observable wording); still comment-only."
Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"PTCDF overlay diagnostic namespace block; no overlay computation hunk."
Switching/analysis/run_switching_canonical_reconstruction_visualization.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Reconstruction figure namespace warnings; comment-only."
Switching/analysis/run_switching_canonical_root_pipeline_isolation.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Infrastructure routing audit banner; comment-only."
Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"High-T diagnostic namespace header; no diagnostic computation hunk."
Switching/analysis/run_switching_collapse_breakdown_analysis.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Collapse breakdown audit banner; comment-only."
Switching/analysis/run_switching_collapse_subrange_analysis.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Sub-range diagnostic banner; comment-only."
Switching/analysis/run_switching_geocanon_descriptor_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Descriptor audit warnings; comment-only."
Switching/analysis/run_switching_mode_hierarchy_synthesis_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Replaces two banner comments with namespace block + revised one-line description; aggregation logic not in hunk."
Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Inserts experimental replay namespace block after `clear; clc;`; `repoRoot`/`addpath` sequence unchanged in diff."
Switching/analysis/run_switching_phi2_replacement_audit.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Header block plus clarifies Phi2 audit comment line; no test harness body change in hunk."
Switching/analysis/switching_residual_decomposition_analysis.m,canonical_switching_header_governance,HEADER_OR_GOVERNANCE_CHANGE,HIGH,KEEP_FOR_FUTURE_COMMIT,"Legacy decomposition function: adds OLD_RESIDUAL_DECOMP evidence-warning block before existing header comment; function signature/body below unchanged in hunk—HIGH because this entrypoint governs residual semantics citations."
docs/switching_governance_persistence_manifest.md,gitignore_and_governance_docs,DOC_CHANGE,HIGH,REQUIRES_DEEP_REVIEW,"Bullets 6–8 materially change claims (authoritative corrected-old tables now said to exist with index pointers); must be reconciled with live `tables/` + supersession reports before treat-as-truth."
reports/switching_gauge_atlas_preview.md,gauge_atlas_visualization,DOC_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Adds X_eff definition note, summary counts, and extra GAUGE verdict keys; markdown-only diagnostic elaboration."
docs/decisions/switching_main_narrative_namespace_decision.md,gitignore_and_governance_docs,DOC_CHANGE,MEDIUM,KEEP_FOR_FUTURE_COMMIT,"Untracked decision record (`git diff` empty vs index); file body is documentation-only contract—no MATLAB code in this path."
