order,command,path,reason
1,"git add -f ""reports/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_T_function_scaling_baseline_control.md""",reports/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_T_function_scaling_baseline_control.md,AX-18C report (reports/** gitignored)
2,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_T_function_model_comparison.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_T_function_model_comparison.csv,AX-18C table
3,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_scaling_law_comparison.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_scaling_law_comparison.csv,AX-18C table
4,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_combined_models.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_combined_models.csv,AX-18C table
5,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_residual_after_T.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_residual_after_T.csv,AX-18C table
6,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_reparameterization_scaling_judgement.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_reparameterization_scaling_judgement.csv,AX-18C table
7,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_status.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18C_status.csv,AX-18C status
8,"git add -f ""reports/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_law_closure.md""",reports/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_law_closure.md,AX-18D report
9,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_inventory.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_inventory.csv,AX-18D table
10,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_claims.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_scaling_claims.csv,AX-18D table
11,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_untested_scaling_families.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_untested_scaling_families.csv,AX-18D table
12,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_status.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_18D_status.csv,AX-18D status
13,"git add -f ""reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_synthesis_claim_boundary.md""",reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_synthesis_claim_boundary.md,AX-20A report
14,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_evidence_matrix.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_evidence_matrix.csv,AX-20A table
15,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_final_claims.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_final_claims.csv,AX-20A table
16,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_variable_roles.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_variable_roles.csv,AX-20A table
17,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_powerlike_scaling_summary.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_powerlike_scaling_summary.csv,AX-20A table
18,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_manuscript_wording.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_manuscript_wording.csv,AX-20A table
19,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_status.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20A_status.csv,AX-20A status
20,"git add ""docs/cross_module_switching_relaxation_AX_index.md""",docs/cross_module_switching_relaxation_AX_index.md,Canonical AX index (not gitignored)
21,"git add -f ""reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20B_index_registration.md""",reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20B_index_registration.md,AX-20B report
22,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20B_index_registration_status.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20B_index_registration_status.csv,AX-20B status
23,"git add -f ""reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_commit_readiness.md""",reports/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_commit_readiness.md,AX-20C audit report
24,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_package_inventory.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_package_inventory.csv,AX-20C inventory
25,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_explicit_staging_plan.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_explicit_staging_plan.csv,AX-20C staging plan
26,"git add -f ""tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_status.csv""",tables/cross_module_switching_relaxation_CM_SW_RLX_AX_20C_status.csv,AX-20C status
27,"git add ""scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs""",scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,OPTIONAL reproducibility runner for AX-18C
