"component_name","path","type","infra_layer","is_live_path","relevance","system_critical","suspected_role","notes"
"run_*.m scripts (Switching/analysis subtree)","Switching/analysis/","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ANALYSIS_RUN (aggregate)","Switching analysis execution tree"
"run_*.m scripts (analysis/)","analysis/","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ANALYSIS_RUN (aggregate)","Root analysis execution tree"
"run_*.m scripts (Relaxation ver3 subtree)","Relaxation ver3/","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ANALYSIS_RUN (aggregate)","Relaxation suite execution tree"
"run_*.m scripts (repository root)",".","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ENTRYPOINT_CANDIDATE; ANALYSIS_RUN (mixed)","root wrappers plus run scripts"
"run_*.m scripts (tools subtree)","tools/","EXECUTION","CORE_EXECUTION","YES","MEDIUM","NO","TEST_RUN (aggregate)","tooling test and validation drivers"
"run_*.m scripts (miscellaneous locations)","multiple","EXECUTION","ENV_NOISE","NO","LOW","NO","UNKNOWN_RUN (aggregate)","scattered non-core run paths"
"run_*.bat (wrapper)","tools/run_matlab_safe.bat","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ENTRYPOINT_CANDIDATE","wrapper entrypoint"
"repository state validator","repo_state_validator.m","VALIDATION","CORE_VALIDATION","YES","HIGH","YES","validation gate","repo state validator"
"MATLAB run template","docs/templates/matlab_run_template.m","UTILITY","GOVERNANCE","NO","LOW","NO","authoring template","non-runtime doc template"
"pipeline path setup","Aging/pipeline/stage0_setupPaths.m","UTILITY","SUPPORT_INFRA","YES","MEDIUM","NO","path bootstrap","aging pipeline paths"
"Aging run context factory","Aging/utils/createRunContext.m","UTILITY","CORE_IDENTITY","YES","HIGH","YES","identity creation","aging run context"
"Aging results directory helper","Aging/utils/getResultsDir.m","IO","CORE_IO","YES","MEDIUM","NO","results path resolution","results directory helper"
"Switching run context factory","Switching/utils/createSwitchingRunContext.m","UTILITY","CORE_IDENTITY","YES","HIGH","YES","identity creation","switching run context"
"Switching failure run context","Switching/utils/allocateSwitchingFailureRunContext.m","UTILITY","CORE_IDENTITY","YES","HIGH","YES","identity creation","failure context allocation"
"Switching canonical run root","Switching/utils/switchingCanonicalRunRoot.m","UTILITY","CORE_IDENTITY","YES","HIGH","YES","canonical path resolution","switching canonical root"
"Switching execution status writer","Switching/utils/writeSwitchingExecutionStatus.m","IO","CORE_IO","YES","HIGH","YES","execution status writer","execution status records"
"Switching module canonical assert","Switching/utils/assertModulesCanonical.m","VALIDATION","CORE_VALIDATION","YES","HIGH","YES","validation gate","module layout assert"
"Switching run directory canonical assert","Switching/utils/assertSwitchingRunDirCanonical.m","VALIDATION","CORE_VALIDATION","YES","HIGH","YES","validation gate","run directory assert"
"post-entry partial fail probe","tests/infrastructure/post_entry_partial_then_fail_probe.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","infrastructure test probe","tests infrastructure probe"
"post-entry runtime fail probe","tests/infrastructure/post_entry_runtime_fail_probe.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","infrastructure test probe","tests infrastructure probe"
"execution probe script","test_execution_probe.m","VALIDATION","SUPPORT_INFRA","YES","LOW","NO","TEST_RUN","ad-hoc execution probe"
"adversarial observable search entry","scripts/run_adversarial_observable_search.m","EXECUTION","CORE_EXECUTION","YES","MEDIUM","YES","ENTRYPOINT_CANDIDATE","scripts folder entrypoint"
"_agent24a_result.json","tools/_agent24a_result.json","IO","ENV_NOISE","NO","LOW","NO","cached JSON artifact","cache noise under tools"
"_export_agent24f_transition_chart.ps1","tools/_export_agent24f_transition_chart.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"agent24a_loocv_compute.ps1","tools/agent24a_loocv_compute.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"agent24b_aging_prediction.ps1","tools/agent24b_aging_prediction.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"agent24b_aging_prediction.py","tools/agent24b_aging_prediction.py","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","python pipeline helper"
"agent24h_render_figures.ps1","tools/agent24h_render_figures.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"alternative_coordinate_search.ps1","tools/alternative_coordinate_search.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"build_alpha_res_trajectory_outputs.ps1","tools/build_alpha_res_trajectory_outputs.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"build_kappa2_phen_inputs.m","tools/build_kappa2_phen_inputs.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"check_io_consistency.ps1","tools/check_io_consistency.ps1","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"claims/list_claims.m","tools/claims/list_claims.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"classify_run_status.m","tools/classify_run_status.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"compute_aging_hermetic_agent24i.ps1","tools/compute_aging_hermetic_agent24i.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"compute_alpha_from_pt_agent20b.ps1","tools/compute_alpha_from_pt_agent20b.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"enforce_canonical_phi1_source.m","tools/enforce_canonical_phi1_source.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"ensure_dir.m","tools/ensure_dir.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"export_observables.m","tools/export_observables.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"figure_repair/apply_fig_style_repair.m","tools/figure_repair/apply_fig_style_repair.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"figure_repair/demo_repair_example.m","tools/figure_repair/demo_repair_example.m","UNKNOWN","SUPPORT_INFRA","NO","LOW","NO","demo or unknown role","low certainty tooling"
"figure_repair/export_repaired_figure.m","tools/figure_repair/export_repaired_figure.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"figure_repair/inspect_fig_contents.m","tools/figure_repair/inspect_fig_contents.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"figure_repair/repair_fig_directory.m","tools/figure_repair/repair_fig_directory.m","EXECUTION","SUPPORT_INFRA","YES","MEDIUM","NO","batch repair driver","batch figure directory repair"
"figure_repair/repair_fig_file.m","tools/figure_repair/repair_fig_file.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"figure_repair/run_validation_suite.m","tools/figure_repair/run_validation_suite.m","VALIDATION","CORE_VALIDATION","YES","LOW","NO","validation gate","figure repair validation"
"figure_repair/validate_repair_integrity.m","tools/figure_repair/validate_repair_integrity.m","VALIDATION","CORE_VALIDATION","YES","LOW","NO","validation gate","figure repair validation"
"figure_repair/write_repair_metadata.m","tools/figure_repair/write_repair_metadata.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"figures/apply_publication_style.m","tools/figures/apply_publication_style.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"figures/create_figure.m","tools/figures/create_figure.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"figures/figure_quality_check.m","tools/figures/figure_quality_check.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"generate_run_fingerprint.ps1","tools/generate_run_fingerprint.ps1","UTILITY","CORE_IDENTITY","YES","HIGH","YES","fingerprint writer","run fingerprint metadata"
"get_run_status_value.m","tools/get_run_status_value.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"getLatestRun.m","tools/getLatestRun.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"getRunOutputDir.m","tools/getRunOutputDir.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"init_run_output_dir.m","tools/init_run_output_dir.m","IO","CORE_IO","YES","HIGH","YES","run output initialization","output dir bootstrap"
"list_runs.m","tools/list_runs.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"load_observables.m","tools/load_observables.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"load_run.m","tools/load_run.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"load_run_manifest.m","tools/load_run_manifest.m","IO","CORE_IDENTITY","YES","HIGH","YES","manifest reader","run manifest loading"
"loadModuleCanonicalStatus.m","tools/loadModuleCanonicalStatus.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"openLatestRun.m","tools/openLatestRun.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"pre_execution_guard.ps1","tools/pre_execution_guard.ps1","VALIDATION","CORE_VALIDATION","YES","HIGH","YES","validation gate","pre-run guard script"
"pt_width_spread_from_audit.py","tools/pt_width_spread_from_audit.py","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","python pipeline helper"
"resolve_results_input_dir.m","tools/resolve_results_input_dir.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"rmse_closure_compute.ps1","tools/rmse_closure_compute.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_agent23a_R_vs_state.ps1","tools/run_agent23a_R_vs_state.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_artifact_path.m","tools/run_artifact_path.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"run_collective_state_agent19c.ps1","tools/run_collective_state_agent19c.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_fingerprint.ps1","tools/run_fingerprint.ps1","UTILITY","CORE_IDENTITY","YES","HIGH","YES","fingerprint writer","run fingerprint metadata"
"run_kappa1_from_pt_agent20a.ps1","tools/run_kappa1_from_pt_agent20a.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_kappa1_from_pt_agent20a_fix_aligned.ps1","tools/run_kappa1_from_pt_agent20a_fix_aligned.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_kappa2_phen_audit.m","tools/run_kappa2_phen_audit.m","EXECUTION","SUPPORT_INFRA","YES","MEDIUM","NO","TEST_RUN","named test driver under tools"
"run_kappa2_state_vs_geometry.ps1","tools/run_kappa2_state_vs_geometry.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"run_kappa2_state_vs_geometry.py","tools/run_kappa2_state_vs_geometry.py","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","python pipeline helper"
"run_matlab_safe.bat","tools/run_matlab_safe.bat","EXECUTION","CORE_EXECUTION","YES","HIGH","YES","ENTRYPOINT_CANDIDATE","wrapper entrypoint"
"run_phi1_curvature_generator_test.m","tools/run_phi1_curvature_generator_test.m","EXECUTION","SUPPORT_INFRA","YES","MEDIUM","NO","TEST_RUN","named test driver under tools"
"run_phi1_from_pt_shape_test.m","tools/run_phi1_from_pt_shape_test.m","EXECUTION","SUPPORT_INFRA","YES","MEDIUM","NO","TEST_RUN","named test driver under tools"
"run_review/generate_run_review_manifests.m","tools/run_review/generate_run_review_manifests.m","IO","CORE_IDENTITY","YES","MEDIUM","YES","manifest writer","review manifest builder"
"run_review/run_review_template.json","tools/run_review/run_review_template.json","IO","CORE_IDENTITY","NO","MEDIUM","NO","manifest template","review manifest template"
"run_review_audit.ps1","tools/run_review_audit.ps1","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"runner_probe_error.txt","tools/runner_probe_error.txt","UNKNOWN","ENV_NOISE","NO","LOW","NO","log artifact","probe log noise"
"runner_probe_output.txt","tools/runner_probe_output.txt","UNKNOWN","ENV_NOISE","NO","LOW","NO","log artifact","probe log noise"
"save_run_figure.m","tools/save_run_figure.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"save_run_report.m","tools/save_run_report.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"save_run_table.m","tools/save_run_table.m","IO","CORE_IO","YES","MEDIUM","NO","run IO helper","load save resolve paths"
"survey_audit/audit_run_reviews.m","tools/survey_audit/audit_run_reviews.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"survey_builder/build_rolling_surveys.m","tools/survey_builder/build_rolling_surveys.m","UTILITY","SUPPORT_INFRA","NO","LOW","NO","helper utility","off critical path helper"
"survey_registry/load_registry.m","tools/survey_registry/load_registry.m","IO","CORE_IO","YES","LOW","NO","IO helper","secondary IO helper"
"switching_canonical_control_scan.ps1","tools/switching_canonical_control_scan.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"switching_canonical_run_closure.m","tools/switching_canonical_run_closure.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"tau_vs_barrier_minimal_probe.m","tools/tau_vs_barrier_minimal_probe.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","validation or audit helper"
"tau_vs_barrier_minimal_probe.ps1","tools/tau_vs_barrier_minimal_probe.ps1","EXECUTION","SUPPORT_INFRA","YES","LOW","NO","orchestration script","agent pipeline orchestration"
"validate_matlab_runnable.ps1","tools/validate_matlab_runnable.ps1","VALIDATION","CORE_VALIDATION","YES","HIGH","YES","validation gate","MATLAB runnable validator"
"write_execution_marker.m","tools/write_execution_marker.m","IO","CORE_IO","YES","HIGH","YES","execution marker writer","writes execution marker"
"switching replay guard rules (doc)","reports/switching_replay_guard_rules.md","UNKNOWN","GOVERNANCE","NO","LOW","NO","policy documentation","non-runtime markdown doc"
"matlab runnable guardrail (doc)","reports/matlab_runnable_guardrail.md","UNKNOWN","GOVERNANCE","NO","LOW","NO","policy documentation","non-runtime markdown doc"
"figure repair guardrail tests (doc)","docs/figure_repair_guardrail_tests.md","UNKNOWN","GOVERNANCE","NO","LOW","NO","policy documentation","non-runtime markdown doc"
"documentation guardrails update (doc)","results_old/repository_audit/documentation_guardrails_update.md","UNKNOWN","LEGACY","NO","LOW","NO","legacy audit description","legacy artifact description"
"validate relaxation band boundaries","Relaxation ver3/diagnostics/validate_relaxation_band_boundaries.m","VALIDATION","CORE_VALIDATION","YES","MEDIUM","NO","validation gate","relaxation boundary validation"
