artifact_role,artifact_path,namespace_id,evidence_status,allowed_use,forbidden_use,producer_or_source,current_status,notes
clean_canonical_source_view,results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_source_view.csv,CANON_GEN_SOURCE,AUTHORITATIVE_SOURCE_INPUT,"Manuscript S_percent provenance when cited with run id; corrected-old builder S input boundary","Using this path while silently importing PT/CDF columns (none present in view—still declare role)",scripts/run_switching_canonical_output_separation.ps1 post-run split of run_2026_04_24_233348_switching_canonical,AVAILABLE,Clean columns only; no mixed diagnostic payload in this file.
locked_effective_observables,tables/switching_corrected_old_effective_observables_locked.csv,CANONICAL_EFFECTIVE_OBSERVABLE / ALIGNMENT_INPUT,AUTHORITATIVE_INPUT,"I_peak S_peak width_for_alignment_mA for corrected-old x=(I-I_peak)/w alignment per lock contract","Universal canonical coordinate claim; unique-W physics claims",Effective-observable validation + lock workflow,AVAILABLE,W width allowed only as alignment input; see validation status tables.
verified_legacy_PT_matrix_route,results_old/switching/runs/run_2026_03_24_212033_switching_barrier_distribution_from_map/tables/PT_matrix.csv,OLD_BARRIER_PT / TEMPLATE_LOCK,AUTHORITATIVE_TEMPLATE_REFERENCE,"Legacy PT_matrix row shapes for Speak*cdfRow in gated corrected-old builder (PT-only branch)","Fallback-only replay; treating PT_matrix as interchangeable with CANON_GEN PT_pdf without audit",analysis/switching_barrier_distribution_from_map historical run output,AVAILABLE,Builder used this path with FALLBACK_USED=NO per builder status.
corrected_old_authoritative_backbone_map,tables/switching_corrected_old_authoritative_backbone_map.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Primary manuscript backbone map under corrected-old authoritative package","Mixing with S_model_pt_percent-only backbone from switching_canonical_S_long diagnostic columns",run_switching_corrected_old_authoritative_builder.m gated run,AVAILABLE,
corrected_old_authoritative_residual_map,tables/switching_corrected_old_authoritative_residual_map.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Residual map for corrected-old narrative","Equating to residual_percent from CANON_GEN mixed producer",same builder,AVAILABLE,
corrected_old_authoritative_phi1,tables/switching_corrected_old_authoritative_phi1.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Phi1 mode shape under corrected-old recipe","Equating to switching_canonical_phi1.csv from CANON_GEN diagnostic path",same builder,AVAILABLE,
corrected_old_authoritative_kappa1,tables/switching_corrected_old_authoritative_kappa1.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"kappa1 amplitudes under corrected-old recipe","Equating to canonical observables kappa1 from diagnostic decomposition",same builder,AVAILABLE,
corrected_old_authoritative_mode1_reconstruction_map,tables/switching_corrected_old_authoritative_mode1_reconstruction_map.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Rank-one reconstruction surface","Mode1 from experimental PTCDF diagnostic replay mislabeled as this",same builder,AVAILABLE,
corrected_old_authoritative_residual_after_mode1_map,tables/switching_corrected_old_authoritative_residual_after_mode1_map.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Residual after rank-one mode","Ad hoc residual-after-mode from quarantined png flows",same builder,AVAILABLE,
corrected_old_authoritative_quality_metrics,tables/switching_corrected_old_authoritative_quality_metrics.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE,"Scalar QA gates RMSE SVD variance finite fraction","Publishing figures authorized solely from this row without publication gate",same builder,AVAILABLE,fraction_finite_aligned_residual is diagnostic mask statistic; see finite-grid audit notes.
authoritative_builder_gate_record,tables/switching_corrected_old_authoritative_builder_status.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE_METADATA,"Interpret builder pass/fail flags for the recorded run","Using as proof for a different run id without regeneration",builder execution log,AVAILABLE,
