path_or_term,current_name,semantic_family_id,issue_type,recommendation,priority,rename_now,rename_later,alias_only_possible,header_warning_needed,migration_risk,required_followup,reason,notes
scripts/run_sw_old_inv_phi1_viz.m,run_sw_old_inv_phi1_viz.m,FILENAME_MISMATCH_URGENT,filename_body_mismatch_duplicate_body,URGENT_FILENAME_BODY_MISMATCH_REVIEW,P0,NO,NO,NO,NO,HIGH,"Human reconcile duplicate vs run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m; delete or rename after merge decision","Static Phase 1.5C: cfg.runLabel matches inventory script."
scripts/run_phi2_kappa2_canonical_residual_mode.m,run_phi2_kappa2_canonical_residual_mode.m,PHI2_KAPPA2_HYBRID,misleading_canonical_in_filename,RENAME_LATER_HIGH,P1,NO,YES,YES,YES,MEDIUM,"Later rename e.g. run_legacy_residual_second_mode_phi2_kappa2.m","Phase 1.5A CRITICAL; registry REG004 notes conflicting."
Switching/analysis/run_minimal_canonical.m,run_minimal_canonical.m,INFRA_SMOKE_CANONICAL_CONTEXT,infra_smoke_vs_physics_canonical,RENAME_LATER_MEDIUM,P2,NO,YES,NO,YES,LOW,"Rename when registry hygiene wave occurs","Header INFRA_TEST explicit."
Switching/analysis/run_switching_canonical.m,run_switching_canonical.m,CANON_GEN_MIXED_PRODUCER,mixed_producer_single_family_filename,NO_RENAME,P2,NO,NO,YES,YES,LOW,"Mandatory Phase 2 column-level registry rows; optional distant rename to measured_S_diagnostic_ptcdf_generator","Single script multi-family outputs."
scripts/run_switching_canonical_paper_figures.ps1,run_switching_canonical_paper_figures.ps1,GOVERNANCE_DOC_AND_PLANNING,paper_readiness_implication,RENAME_LATER_MEDIUM,P2,NO,YES,YES,YES,LOW,"Orchestration tier alias in synthesis taxonomy","Manuscript readiness risk by filename alone."
run_switching_fixed_T_current_cuts_canonical_replay.m,run_switching_fixed_T_current_cuts_canonical_replay.m,CANON_S_LONG_VISUAL_REPLAY,canonical_replay_vs_visualization_only,RENAME_LATER_LOW,P3,NO,YES,YES,YES,LOW,"pinned_SLong_fixed_T_current_cuts_visual optional","Canonical replay wording implies producer authority."
scripts/run_switching_canonical_map_spine.ps1,run_switching_canonical_map_spine.ps1,GOVERNANCE_DOC_AND_PLANNING,map_spine_authority_sound,ALIAS_ONLY,P3,NO,NO,YES,YES,LOW,"taxonomy alias CanonGen_MapSpine_ColumnSemanticsInventory","Strong headers already; spine is inventory."
scripts/run_sw_corr_old_replay_auth.m,run_sw_corr_old_replay_auth.m,CORRECTED_OLD_REPLAY_FROM_CANON_S_INPUT,auth_vs_quarantine,ALIAS_ONLY,P2,NO,YES,YES,YES,MEDIUM,"Fix internal failure-report MAIN_MANUSCRIPT lines when editing allowed later","Header QUARANTINED; internal template risk."
switching_residual_decomposition_analysis.m,switching_residual_decomposition_analysis.m,OLD_RESIDUAL_DECOMP,legacy_name_ok,NO_RENAME,P4,NO,NO,YES,NO,LOW,"alias OLD_RESIDUAL_DECOMP everywhere","Function name is historical anchor."
scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m,PTCDF_DIAGNOSTIC_QUARANTINE_REPLAY,corrected_old_wording_vs_PTcdf_role,RENAME_LATER_LOW,P3,NO,YES,YES,YES,LOW,"diagnostic_ptcdf_inventory_phi1_sanity optional","Name risks conflation with authoritative corrected-old."
scripts/run_switching_old_fig_forensic_and_canonical_replot.m,run_switching_old_fig_forensic_and_canonical_replot.m,OLD_FIG_FORENSIC_REPLAY,forensic_plus_canonical_paths,RENAME_LATER_LOW,P3,NO,YES,YES,YES,LOW,"forensic_old_fig_and_canon_styled_replot optional","Outputs under canonical figure dir."
