action_id,current_path,proposed_target_path,classification,reason,risk_level,references_found,requires_code_update,requires_lineage_check,safe_to_move_now,notes
RFP-001,.codex_matlab_prefs,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-002,.codex_tmp,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-003,.matlab_prefs,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-004,.mwhome,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-005,.tmp_test,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-006,_legacy,_legacy/root_declutter/_legacy,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-007,Aging old,_legacy/root_declutter/Aging old,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-008,aging_cleanup_log.csv,tables/maintenance/aging_cleanup_log.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-009,analysis_new,_legacy/root_declutter/analysis_new,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-010,archive,_legacy/root_declutter/archive,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-011,artifact_cleanup_list.csv,tables/maintenance/artifact_cleanup_list.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
