referenced_path,referencing_file,reference_kind,notes
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,Switching/analysis/run_switching_phase4B_C01_X_like_panel_orientation_lock.m,producer_output_path,pngPath assignment and report fprintf
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,reports/switching_phase4B_C01_X_like_panel_orientation_lock.md,documentation_figure_output,Figure output section
figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,Switching/analysis/run_switching_phase4B_C02_collapse_like_panel_range_lock.m,producer_output_path,pngPath assignment and report fprintf
figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,Switching/analysis/run_switching_phase4B_C02_collapse_like_panel_range_lock.m,producer_output_path,figPath assignment and report fprintf
figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,reports/switching_phase4B_C02_collapse_like_panel_range_lock.md,documentation_figure_output,Figures QA only section
figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,reports/switching_phase4B_C02_collapse_like_panel_range_lock.md,documentation_figure_output,Interactive inspection only
figures/switching/phase4B_*.png,reports/maintenance/repo_figure_governance_bundle_review_01.md,maintenance_exclusion_note,Deleted tracked files manual review
figures/switching/phase4B_*.fig,reports/maintenance/repo_figure_governance_bundle_review_01.md,maintenance_exclusion_note,Deleted tracked files manual review
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,tables/maintenance_repo_figure_governance_prestage_01_exclusions.csv,maintenance_exclusion_row,PHASE4B_DELETED separate restore decision
figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,tables/maintenance_repo_figure_governance_prestage_01_exclusions.csv,maintenance_exclusion_row,PHASE4B_DELETED
figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,tables/maintenance_repo_figure_governance_prestage_01_exclusions.csv,maintenance_exclusion_row,PHASE4B_DELETED
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,tables/maintenance_repo_figure_governance_bundle_review_01_candidate_paths.csv,maintenance_candidate_deleted,MANUAL_REVIEW_REQUIRED
figures/switching/phase4B_*.png,docs/switching_canonical_reader_hub.md,roadmap_next_work,Generic class restore_or_regenerate phase4B_* for git hygiene
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png;figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig;figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,tables/switching_canonical_system_synthesis_E_confusions_and_gaps.csv,synthesis_issue_paths,Deleted_tracked_phase4B_figures_in_working_tree row
