"file_path","classification","reason"
"./_legacy/_loocv_run.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./_legacy/test_execution_probe.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./_legacy/test_probe.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./_legacy/test_probe_checks.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./_legacy/test_run_wrapper.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./_legacy/test_threshold_init.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./AC HC MagLab ver8/ACHC_autoFoldAndFits.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/ACHC_buildFoldingTable.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/ACHC_main.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./AC HC MagLab ver8/ACHC_plotFits.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/ACHC_runAuto.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/analysisAndFittACHC.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/detect_fold_fft.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/fit_single_curve_shifted.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/fit_with_fold.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/getFileListACHC.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/importFilesACHC.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/importOneFileACHC.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./AC HC MagLab ver8/mirrorAcross.m","UTILITY","MATLAB function file without canonical entrypoint designation"
