CHECK_ID,RESULT,DETAIL
1_SINGLE_SOURCE_OF_TRUTH,NO,"Canonical path is duplicated via fullfile(repoRoot,'results','switching','runs') across many Switching/analysis scripts; not exclusively routed through switchingCanonicalRunRoot.m. Aging/utils/createRunContext.m also constructs runsRoot internally."
1_HARD_CODED_PATHS_FOUND,NON_EMPTY,"Multiple Switching/analysis/*.m files contain absolute C:/Dev/matlab-functions/... (or C:\\...) paths for repo inputs/outputs; examples include run_phi2_shape_physics_test.m, run_kappa2_opening_test.m, run_width_interaction_closure_test.m, run_alpha_observable_search.m, run_relaxation_outlier_audit.m, run_PT_kappa_relaxation_mapping.m, debug_fix_o2_pipeline.m, run_phi1_phi2_observable_closure_test.m, and others. Switching/utils/*.m: no C: hardcoded paths found."
2_ENFORCEMENT_PRESENT,YES,"assertSwitchingRunDirCanonical appears in Switching/analysis/run_switching_canonical.m and Switching/analysis/analyze_phi_kappa_canonical_space.m after createRunContext."
2_ENFORCEMENT_STRICT,YES,"Switching/utils/assertSwitchingRunDirCanonical.m uses error(...) only for violations and preconditions; no warning-based bypass."
2_BYPASS_POSSIBLE,YES,"Most other Switching/analysis scripts call createRunContext without assertSwitchingRunDirCanonical (e.g. run_minimal_canonical.m, switching_alignment_audit.m, run_tail_ablation_test.m, etc.)."
3_ASSERTION_BEFORE_WRITE,NO,"createRunContext (Aging/utils) creates run_dir, writes run_manifest.json, config_snapshot.m, and log.txt before returning; assertSwitchingRunDirCanonical runs only after createRunContext returns. First script-owned writes in run_switching_canonical.m occur after assert (e.g. execution_status.csv)."
4_SHADOW_ROOTS_FOUND,YES,"Alternate run root: Switching/analysis/run_prediction_falsification_test.m uses createRunContext('cross_experiment',...) so new runs live under results/cross_experiment/runs, not results/switching/runs. run_minimal_canonical.m discovers repoRoot by walking from pwd (cwd-based discovery), though run_dir still comes from createRunContext('switching')."
4_SHADOW_ROOT_PATHS,"results/cross_experiment/runs (run_prediction_falsification_test.m); cwd walk from pwd (run_minimal_canonical.m repo discovery only)",
5_CREATE_RUN_CONTEXT_UNIFIED,NO,"One file uses non-switching experiment tag."
5_NON_CANONICAL_TAGS,cross_experiment,"Switching/analysis/run_prediction_falsification_test.m line: createRunContext('cross_experiment', struct(...))"
6_FAILURE_PATH_CANONICAL,YES,"run_switching_canonical.m catch path: createRunContext('switching',...) and fallback runsRoot=fullfile(repoR,'results','switching','runs') place failure run_dir under canonical switching runs root."
7_MANIFEST_CANONICAL,NO,"For createRunContext('switching',...), writeManifest sets manifest.run_dir to normalized run.run_dir under results/switching/runs. For createRunContext('cross_experiment',...) in Switching module, manifest.run_dir points to results/cross_experiment/runs, not the Switching canonical root."
