model,n_used,LOOCV_RMSE,Pearson,Spearman
kappa1 ~ S_peak,12,0.0166736770249666,0.948086258692741,0.951048951048951
kappa1 ~ spread90_50 * S_peak,12,0.0172206770777035,0.944560261158955,0.944055944055944
kappa1 ~ spread90_50 + S_peak,12,0.0184738729675382,0.938720577536213,0.944055944055944
kappa1 ~ extreme_tail_q95_q75 + S_peak,12,0.0230836493030904,0.91641282963483,0.944055944055944
kappa1 ~ spread90_50 / S_peak,12,0.0435055136945073,0.695098832055666,0.902097902097902
kappa1 ~ spread90_50,12,0.0498129500878077,0.493921538170517,0.468531468531468
kappa1 ~ extreme_tail_q95_q75,12,0.0581187511869611,-0.445700714921724,-0.41958041958042
kappa1 ~ normalized_tail_q90_q50,12,0.0606259369344302,-0.328619256028067,-0.447552447552448
kappa1 ~ tail_mass_quantile_top12p5,12,0.0619432767314627,-0.749904840731511,-0.818181818181818
kappa1 ~ normalized_tail_q95_q75,12,0.0658124510683169,-0.628021476080891,-0.608391608391608
kappa1 ~ pdf_at_q90,12,0.075622749882633,-0.614374509734886,-0.979020979020979
