reader_question,answer_found,evidence_path,clarity_rating,issue,recommendation
What is the current canonical Switching analysis?,YES — manuscript narrative is CORRECTED_CANONICAL_OLD_ANALYSIS on CANON_GEN_SOURCE S; native-I PT/CDF columns are EXPERIMENTAL_PTCDF_DIAGNOSTIC not selected main backbone,docs/switching_analysis_map.md;docs/decisions/switching_main_narrative_namespace_decision.md,clear,Requires accepting namespace vocabulary not plain English alone,Keep analysis_map current_state decision as linked trio at top of any future index
What is canonical decomposition?,PARTIAL — means OLD_RESIDUAL_DECOMP-style on x-grid under CORRECTED for manuscript; CANON_GEN producer also has SVD-on-native-I decomposition in same run outputs under EXPERIMENTAL,docs/switching_analysis_map.md;docs/switching_canonical_definition.md,unclear,Deprecated switching_canonical_definition still details native-I Scdf+Phi1 as canonical model,Retire or hard-banner deprecated file body or auto-redirect prose in a later non-audit task
What is canonical replay?,PARTIAL — frozen S_long replays (e.g. REPLAY_PHI1_KAPPA1) and figure-only CANON_FIGURE_REPLAY; distinct from new producer physics,docs/switching_analysis_map.md;reports/switching_corrected_canonical_current_state.md,partial,Replay spread across multiple namespace rows; B03 vs B05 distinction subtle,Add one sentence gloss in a future Switching index: replay consumes frozen tables
What is corrected-old?,YES — corrected centered pipeline on canonical S with authoritative CSV index and builder gate,reports/switching_corrected_canonical_current_state.md;tables/switching_corrected_old_authoritative_artifact_index.csv,clear,Many filenames say corrected_old; quarantine index warns misleading PNGs,Always pair corrected-old claims with artifact index row + builder_status
What is legacy_old and why quarantined?,YES — LEGACY_OLD_TEMPLATE = original OLD_* on alignment artifacts; quarantine = misleading or PT/CDF-mixed flows/PNGs per tables,docs/switching_analysis_map.md;reports/switching_quarantine_index.md;tables/switching_misleading_or_dangerous_artifacts.csv,clear,Quarantine reasons live in CSV rows; reader must open index then CSV,Index already good; optional one-line reason field in future CSV
What is X_eff and what is not X_canon?,YES — X_eff is dimensionless composite (P0 definition in AX index); X_canon forbidden in governance prose,docs/cross_module_switching_relaxation_AX_index.md;docs/switching_artifact_policy.md,partial,P0 and X_eff primary home is cross-module doc not Switching-only entry,Cross-link from switching_analysis_map or future Switching index to AX index P0 section
What has been validated canonically?,PARTIAL — B-boundaries and allowed_evidence table; switching_canonical_reality Stage D4/E notes for rank-2 model (append-only),tables/switching_analysis_claim_boundary_map.csv;docs/switching_canonical_reality.md,partial,Scientific validation narrative split between reality doc and governance tables,Single table-of-contents style pointer listing validation vs governance artifacts
What is only replay or old-analysis comparison?,PARTIAL — B05 figure-only; B03 replay; legacy comparisons row in allowed_evidence,docs/switching_analysis_map.md;tables/switching_allowed_evidence_by_use_case.csv,partial,Requires reading CSV plus map boundaries,Short examples column in allowed_evidence CSV in future edit
What is blocked or not uniquely defined?,PARTIAL — blocked Phi1_canon phrases; gaps Phi2/kappa2 corrected-old; TASK_002B open,docs/switching_phi1_terminology_contract.md;reports/switching_corrected_canonical_current_state.md,partial,Blockers split across phi contract and current_state gaps table,Maintain current_state as single gap register
Which files are authoritative?,YES — current_state lists stack; authoritative artifact index positive list,reports/switching_corrected_canonical_current_state.md;tables/switching_corrected_old_authoritative_artifact_index.csv,clear,Many scripts claim canonical in filename,Quarantine index already flags name/behavior mismatch scripts
Which variables/scalars are safe to use?,PARTIAL — observables doc for S_peak I_peak width; manuscript safety tied to namespace not scalar name alone,docs/observables/switching_observables.md;tables/switching_allowed_evidence_by_use_case.csv,partial,No single Switching-only safe-scalar cheat sheet,Future optional table switching_safe_scalar_glossary scoped by namespace_id
Which terms are forbidden or ambiguous?,YES — forbidden phrases and conflation tables,tables/switching_forbidden_ambiguous_phrases.csv;tables/switching_forbidden_conflations.csv;reports/switching_namespace_governance.md,clear,Large table surface area,Namespace governance five forbidden sentences are high-signal for readers
Are Phase P0 C02B labels understandable from docs alone?,PARTIAL — C02/C02B defined in phi1 contract as QA not Phi1; P0 in AX index,docs/switching_phi1_terminology_contract.md;docs/cross_module_switching_relaxation_AX_index.md,unclear,No unified phase glossary for Switching readers,Add glossary appendix or link maintenance phase reports with one-line definitions
Do reports explain purpose inputs outputs status limitations next steps?,PARTIAL — strong for governance and current_state; weak for deprecated definition mixed signals,reports/switching_namespace_governance.md;reports/switching_corrected_canonical_current_state.md;docs/switching_canonical_definition.md,partial,Deprecated doc lacks proportional warning in body,Structural fix outside this audit
Is a central Switching index or roadmap missing?,YES — no single ordered onboarding path across protocol narrative quarantine cross-module,docs/ (no switching reader index found),unclear,Cross-links exist but discovery order not enforced,Central index recommended (clarity gap only this survey)
