T_K,current_mA,x_aligned,S_percent,S_backbone_old_recipe
4,15,-0.93135451543953,0.0010248,0
4,20,-0.698515886579647,0.0058226,0.0877992012218295
4,25,-0.465677257719765,0.1188,0.176093487161469
4,30,-0.232838628859882,0.24905,0.254713477512213
4,35,0,0.3496,0.303890699120402
4,45,0.465677257719765,0.26885,0.3496
6,15,-0.944849154832431,-0.0010951,0
6,20,-0.708636866124323,0.0078506,0.0905676002330515
6,25,-0.472424577416215,0.12226,0.178912618451677
6,30,-0.236212288708108,0.25049,0.254559784871245
6,35,0,0.34195,0.300410570195533
6,45,0.472424577416215,0.24538,0.34195
8,15,-0.993754254510402,0.00088644,0
8,20,-0.745315690882802,0.0054329,0.0904604349731683
8,25,-0.496877127255201,0.11885,0.173752238470913
8,30,-0.248438563627601,0.23445,0.239200830607402
8,35,0,0.31101,0.277011878647938
8,45,0.496877127255201,0.18679,0.31101
10,15,-1.05831864916208,0.0010459,0
10,20,-0.793738986871557,0.0064565,0.0815857318110243
10,25,-0.529159324581038,0.10182,0.154726202816082
10,30,-0.264579662290519,0.2002,0.208642931058686
10,35,0,0.26563,0.238410752842123
10,45,0.529159324581038,0.13914,0.26563
12,15,-1.14225664222237,-0.001364,0
12,20,-0.856692481666781,0.0048696,0.0694657449218555
12,25,-0.571128321111187,0.07883,0.134670202667395
12,30,-0.285564160555594,0.15928,0.182415961559814
12,35,0,0.23299,0.208165243219209
12,45,0.571128321111187,0.11472,0.23299
14,15,-1.21041196371185,-0.0019727,0
14,20,-0.907808972783887,0.0050752,0.0563341743541518
14,25,-0.605205981855925,0.059346,0.110308817561176
14,30,-0.302602990927962,0.1247,0.149607334138758
14,35,0,0.19254,0.170907920561832
14,45,0.605205981855925,0.089561,0.19254
16,15,-1.30226985635963,0.00087027,0
16,20,-0.976702392269726,0.0067718,0.0481356646993323
16,25,-0.651134928179817,0.04986,0.095013297453614
16,30,-0.325567464089909,0.099399,0.127764366095501
16,35,0,0.16244,0.144685268445289
16,45,0.651134928179817,0.067148,0.16244
18,15,-1.37686048272729,-0.00079792,0
18,20,-1.03264536204546,0.0077668,0.0444894316711
18,25,-0.688430241363643,0.042893,0.0871302208497671
18,30,-0.344215120681821,0.086486,0.114918510818275
18,35,0,0.1421,0.127921643430051
18,45,0.688430241363643,0.05048,0.1421
20,15,-1.32684065970518,0.0011364,0
20,20,-0.995130494778882,0.010175,0.0414269111657549
20,25,-0.663420329852588,0.041581,0.0778801756225259
20,30,-0.331710164926294,0.08143,0.0993872438573416
20,35,0,0.1183,0.108436653031141
20,45,0.663420329852588,0.037024,0.1183
22,15,-0.87139894386448,-0.0010302,0
22,20,-0.580932629242987,0.013174,0.0381118179399463
22,25,-0.290466314621493,0.043096,0.0645490037286097
22,30,0,0.084825,0.0776158210569984
22,35,0.290466314621493,0.08322,0.0818265394605936
22,45,0.87139894386448,0.025741,0.084825
24,15,-1.19990400767939,-0.0011614,0
24,20,-0.799936005119591,0.017171,0.0552601357
24,25,-0.399968002559795,0.050075,0.081430479025
24,30,0,0.093065,0.09015485745
24,35,0.399968002559795,0.054563,0.093065
24,45,1.19990400767939,0.013645,0.093065
26,15,-1.14502942725628,0.0044561,0
26,20,-0.763352951504187,0.024777,0.0549195
26,25,-0.381676475752094,0.069388,0.073226
26,30,0,0.073226,0.073226
26,35,0.381676475752094,0.031871,0.073226
26,45,1.14502942725628,0.0070546,0.073226
28,15,-0.973302317432818,0.014932,0
28,20,-0.486651158716409,0.042898,0.06072525
28,25,0,0.080967,0.080967
28,30,0.486651158716409,0.039167,0.080967
28,35,0.973302317432818,0.017805,0.080967
28,45,1.94660463486564,0.0023337,0.080967
30,15,-0.574501332843092,0.038026,0
30,20,0,0.08791,0.0659325
30,25,0.574501332843092,0.036769,0.08791
30,30,1.14900266568618,0.017636,0.08791
30,35,1.72350399852928,0.0054957,0.08791
30,45,2.87250666421546,0.0021629,0.08791
