review_check_id,result,notes
REVIEW_COMPLETE,YES,
BLOCKING_ISSUES,NO,
CHECK_01_RELAXATION_FOLDER_CROSS_MODULE_STATED,PASS,organization_plan_section_A_and_index_draft_first_paragraph
CHECK_02_NO_PHYSICAL_MOVES_RECOMMENDED,PASS,organization_plan_section_B_moves_none_now
CHECK_03_FLAT_CROSS_MODULE_INDEX_RECOMMENDED,PASS,Option_1_flat_docs_tables_paths
CHECK_04_CLASSIFICATION_RULES_FOUR_WAY,PASS_WITH_MINOR_NOTE,CM1_CM8_cover_cross_module_vs_folder_trap;_explicit_SWITCHING_ONLY_and_GOVERNANCE_ONLY_not_named_as_standalone_rule_rows_use_inventory_for_taxonomy
CHECK_05_CLAIM_BOUNDARY_CONSERVATIVE,PASS,bridge_PARTIAL_powerlaw_main_NO_supplement_PARTIAL_universal_NO
CHECK_06_COMPLETION_ORDER,PASS,stages_1_through_5_match_required_sequence
CHECK_07_NO_FINAL_PHYSICS_BEYOND_EVIDENCE,PASS,plan_frames_survey_and_conservative_defaults_only
CHECK_08_NO_X_CANON_ALLOWED,PASS,CM3_forbids_unless_explicit_contract
CHECK_09_GET_CANONICAL_X_NOT_SAFE,PASS,CM4_legacy_misleading_until_audit
CHECK_10_STATUS_CSV_REQUIRED_KEYS,PASS,all_listed_keys_present_in_organization_status_csv
SAFE_TO_COMMIT_PLAN_ARTIFACTS,YES,
RECOMMENDED_EDITS_BEFORE_COMMIT,OPTIONAL_ADD_EXPLICIT_SWITCHING_ONLY_GOVERNANCE_ONLY_ROWS_IN_CLASSIFICATION_RULES,
NO_MATLAB_RUN,YES,
NO_PYTHON_RUN,YES,
NO_GIT_MUTATIONS_IN_REVIEW,YES,
