rank,file_path,USES_CREATE_RUN_CONTEXT,WRITES_EXECUTION_STATUS,WRITES_TABLES,WRITES_REPORT,DEPENDS_ON_AGING,DEPENDS_ON_RELAXATION,DEPENDS_ON_PRECOMPUTED_TABLES,IS_TOP_LEVEL_RUNNER,REQUIRES_EXTERNAL_PIPELINE,CLASSIFICATION,RISK_FLAGS
1,Switching/analysis/run_switching_canonical.m,YES,YES,YES,YES,YES,NO,NO,YES,NO,STRONG_CANDIDATE,"docs/switching_canonical_definition.md names this file; pure script; addpath only Aging/utils L23; full Switching ver12 pipeline"
2,Switching/analysis/run_minimal_canonical.m,YES,YES,YES,YES,YES,NO,NO,YES,NO,STRONG_CANDIDATE,"Pure script; minimal createRunContext wiring; addpath only Aging/utils L25; experiment switching lowercase"
3,Switching/analysis/run_parameter_robustness_switching_canonical.m,NO,YES,YES,YES,NO,NO,YES,YES,YES,WEAK_CANDIDATE,"Uses writeExecutionStatus to repo-root-adjacent paths L46-47; local functions L373+ (not pure script); reads tables/switching_run_trust_classification.csv L56-57; no createRunContext"
4,Switching/analysis/switching_full_scaling_collapse.m,YES,UNKNOWN,YES,YES,YES,NO,YES,YES,YES,WEAK_CANDIDATE,"addpath(genpath(Aging)) L12 broadens Aging; reads prior run dirs L51-54; createRunContext L44"
5,Switching/analysis/analyze_phi_kappa_canonical_space.m,YES,YES,YES,YES,NO,NO,YES,YES,NO,WEAK_CANDIDATE,"Hardcoded baseFolder C:/Dev L9; execution_status non-standard columns L191-199; reads repo tables/phi_kappa_*.csv L22-23; no explicit addpath Aging/utils (createRunContext requires path)"
6,Switching/analysis/switching_alignment_audit.m,YES,YES,YES,YES,YES,NO,YES,YES,YES,WEAK_CANDIDATE,"Very large audit script; optional createRunContext L2246+; uses getResultsDir if present L2314-2315; alignment focus not full canonical generator"
7,Switching/analysis/run_phi_pt_restricted_deformation.m,YES,YES,YES,YES,YES,NO,UNKNOWN,YES,UNKNOWN,WEAK_CANDIDATE,"Typical run_* analysis; addpath Aging/utils L35; dataset-driven"
8,Switching/analysis/run_prediction_falsification_test.m,YES,YES,YES,YES,YES,NO,UNKNOWN,YES,YES,NOT_VALID,"createRunContext cross_experiment L22 not Switching-only"
9,Switching/analysis/run_PT_to_relaxation_mapping.m,NO,YES,YES,YES,NO,YES,YES,YES,YES,NOT_VALID,"Relaxation paths and outputs L9-11 L21-22; excluded cross-pipeline"
10,Switching/analysis/run_relaxation_deep_search.m,NO,YES,YES,YES,NO,YES,YES,YES,YES,NOT_VALID,"Relaxation-focused L18-33; excluded"
