status_key,status_value,details
CORRECTED_OLD_AUTHORITATIVE_BUILDER_IMPLEMENTED,YES,Excluded current bins with non-finite S_percent in window: 50
PREVIOUS_GATES_RECHECKED,YES,
ALL_REQUIRED_GATES_PASSED,YES,
SOURCE_VIEW_USED,YES,
SOURCE_VIEW_IS_CLEAN,YES,
LOCKED_EFFECTIVE_OBSERVABLES_USED,YES,
LEGACY_PT_MATRIX_USED,YES,
OLD_AUTHORITATIVE_BRANCH_PT_ONLY,YES,
FALLBACK_USED,NO,
CANON_GEN_DIAGNOSTIC_OUTPUTS_USED,NO,
QUARANTINED_CORRECTED_OLD_ARTIFACTS_USED,NO,
OLD_FIGURES_USED_AS_DATA,NO,
BACKBONE_MAP_WRITTEN,YES,
RESIDUAL_MAP_WRITTEN,YES,
PHI1_WRITTEN,YES,
KAPPA1_WRITTEN,YES,
MODE1_RECONSTRUCTION_WRITTEN,YES,
RESIDUAL_AFTER_MODE1_WRITTEN,YES,
QUALITY_METRICS_WRITTEN,YES,
CORRECTED_OLD_AUTH_NAMESPACE_UNBLOCKED,YES,
SAFE_TO_USE_CORRECTED_OLD_AS_AUTHORITATIVE,YES,
SAFE_TO_CREATE_PUBLICATION_FIGURES,PARTIAL,
PHYSICS_LOGIC_CHANGED,NO,
FILES_DELETED,NO,
