priority,family_id,action_class,next_agent_name,agent_type,scope,blocking_dependency,one_sentence_prompt,expected_outputs,notes
1,F01,ACTION_NOW,switching_canonical_identity_resolver,governance,Switching utils registry tables identity CSV and run_registry alignment,F05 does not block identity policy but RO audit cannot validate runs yet,"Produce an owner-ready decision memo that picks either restoring authoritative tables/switching_canonical_identity.csv and wiring resolvers to it or explicitly documenting mtime fallback as non-canonical and adjusting consumers.",Decision memo plus optional checklist of files that must change in a follow-up implementation agent,Do not implement resolver code changes inside this triage task
2,F02,ACTION_NOW,switching_output_route_enforcer,maintenance,Switching results mirrors switchingWriteTableBothPaths canonical_paper surfaces,F01 parallel,"Define and document one authoritative Switching write path rule set run-root authority repo-root reference-only non-run figures labeled non-authoritative and narrow first code edits to alignment_audit flat fallback plus mirror helper behavior.",Short policy note plus bounded file list for a future implementation agent,Overlaps RS_OUT_001 and SAS_OUTPUT_003; keep edits scoped
3,F03,PLAN_NEXT,switching_legacy_flat_consumer_updater,maintenance,Switching analyses referencing alignment_audit flat paths,F02,"After run-scoped outputs are stable schedule updates to switching_mechanism_followup and switching_mode23_analysis input discovery away from legacy flat paths.",Patch plan referencing run discovery helpers and test notes,Blocked until F02 stabilizes roots
4,F04,PLAN_NEXT,helper_dedup_pilot_agent,refactor,tools and Switching utils versus analysis locals,F02 identity noise,"Execute one pilot migration only such as callsites to Switching utils buildSwitchingMapRounded from one analysis script per duplication guard minimal option list.",Single-file or two-file diff proposal with no broad refactor,Pilot order HD_SCOPE_003 Switching then HD_SIM_001 as guard suggests
5,F06,PLAN_NEXT,gitignore_tracking_class_audit,policy,Single ignore class example figures glob,F02,"Pick one high-signal ignore pattern class intersecting tracked files and produce a keep-track versus stop-tracking recommendation with risk notes.",One-page triage addendum and optional csv of candidate paths,Human approval implied by RS_GIT_005
6,F07,DEFER,aging_pwd_results_migration,maintenance,Aging pipeline pwd results fallbacks,pathway charter,"Defer replacing Aging pwd results fallbacks until Aging run-root migration charter exists then stage bounded pipeline edits.",Charter reference and deferred ticket stub,Pairs RS_MOD_002 with owner charter
7,F08,PLAN_NEXT,relaxation_ver3_status_reconcile,documentation,Relaxation ver3 token tables versus guard,F09 optional,"Reconcile Relaxation ver3 exact-token status rows with live Relaxation ver3 blockers and publish a one-screen status delta.",Status delta markdown or table row set,No code required unless owner expands scope
8,F09,WATCH,mt_narrative_refresh_check,read_only,MT ver2 docs versus live blockers,none,"Compare MT coverage narrative from canonicalization guard to current MT ver2 control artifacts and mark stale bullets only.",Short stale versus current bullet list,Watch only unless contradictions are HIGH
9,F10,DEFER,cross_module_synthesis_charter_draft,governance,analysis/unified_dynamical_crossover_synthesis stance,F01 optional clarity,"Draft charter boundaries for what unified dynamical crossover synthesis may claim about Aging and Relaxation before any promotional edits to that script.",Charter outline section headings only,No direct fixes to synthesis analysis in maintenance sweep without charter
10,F05,BLOCKED_BY_ACCESS,run_output_audit_rerun,automation,workspace visibility of results experiment runs roots,workspace operator grants accessible runs roots,"Re-run run-output completeness validation in an environment where results slash experiment slash runs slash run star paths exist and attach RO_SUSPICIOUS_006 clearance or residual findings.",Audit csv and PASS or FAIL summary for governor,No repair possible inside repo until workspace access exists
