"module_name","path","canonical_presence","analysis_presence","mixed","notes"
"_legacy","_legacy","UNKNOWN","NO","NO","UNKNOWN: no canonical/RunContext filename markers in tree scan"
"AC HC MagLab ver8","AC HC MagLab ver8","NO","NO","NO",""
"Aging","Aging","YES","YES","YES",""
"Aging old","Aging old","UNKNOWN","NO","NO","UNKNOWN: no canonical/RunContext filename markers in tree scan"
"analysis","analysis","NO","YES","NO","cross-experiment analysis layer (not single-experiment canonical module)"
"archive","archive","UNKNOWN","NO","NO","archived artifacts; UNKNOWN: no canonical/RunContext filename markers in tree scan"
"ARPES ver1","ARPES ver1","NO","NO","NO",""
"claims","claims","YES","NO","NO","claim store"
"docs","docs","YES","NO","NO","INFRA_DEPENDENCY_PRESENT (policy/docs)"
"FieldSweep ver3","FieldSweep ver3","NO","NO","NO",""
"figures","figures","NO","NO","NO",""
"Fitting ver1","Fitting ver1","NO","NO","NO",""
"General ver2","General ver2","NO","NO","NO",""
"github_repo","github_repo","UNKNOWN","NO","NO","UNKNOWN: no canonical/RunContext filename markers in tree scan"
"GUIs","GUIs","UNKNOWN","NO","NO","UNKNOWN: no canonical/RunContext filename markers in tree scan"
"HC ver1","HC ver1","NO","NO","NO",""
"MH ver1","MH ver1","NO","NO","NO",""
"MT ver2","MT ver2","NO","NO","NO",""
"PS ver4","PS ver4","NO","NO","NO",""
"Relaxation ver3","Relaxation ver3","YES","YES","YES","analysis-heavy via diagnostics/ (no analysis/ subdir)"
"reports","reports","NO","NO","NO",""
"Resistivity MagLab ver1","Resistivity MagLab ver1","NO","NO","NO",""
"Resistivity ver6","Resistivity ver6","NO","NO","NO",""
"results","results","NO","NO","NO",""
"results_old","results_old","NO","NO","NO",""
"review","review","NO","NO","NO",""
"runs","runs","UNKNOWN","NO","NO","INFRA_DEPENDENCY_PRESENT (path shims); UNKNOWN: no canonical/RunContext filename markers in tree scan"
"scripts","scripts","YES","NO","NO","INFRA_DEPENDENCY_PRESENT (automation)"
"snapshot_scientific_v3","snapshot_scientific_v3","YES","NO","NO","meta navigation / evidence index"
"surveys","surveys","UNKNOWN","NO","NO","UNKNOWN: no canonical/RunContext filename markers in tree scan"
"Susceptibility ver1","Susceptibility ver1","NO","NO","NO",""
"Switching","Switching","YES","YES","YES",""
"Switching ver12","Switching ver12","NO","NO","NO",""
"tables","tables","NO","NO","NO",""
"tables_old","tables_old","NO","NO","NO",""
"templates","templates","YES","NO","NO",""
"tests","tests","UNKNOWN","NO","NO","INFRA_DEPENDENCY_PRESENT (infrastructure tests); UNKNOWN: no canonical/RunContext filename markers in tree scan"
"tools","tools","YES","NO","NO","INFRA_DEPENDENCY_PRESENT"
"Tools ver1","Tools ver1","NO","NO","NO",""
"zfAMR ver11","zfAMR ver11","NO","YES","YES",""
