flag,value
REPO_INFRA_02_TASK_COMPLETED,YES
REQUIRED_SEARCH_SCOPE_INSPECTED,YES
NON_MATLAB_SCRIPTS_FOUND,YES
NODE_SCRIPTS_FOUND,YES
PYTHON_SCRIPTS_FOUND,YES
NOTEBOOKS_FOUND,NO
SHELL_OR_POWERSHELL_FOUND,YES
NON_MATLAB_FIGURE_GENERATION_FOUND,YES
NON_MATLAB_SCIENTIFIC_METRICS_FOUND,YES
NON_MATLAB_DERIVATIVE_OR_SMOOTHING_FOUND,YES
NON_MATLAB_TIMEWARP_OR_FITTING_FOUND,YES
NON_MATLAB_RECONSTRUCTION_DECOMPOSITION_MODEL_SELECTION_FOUND,YES
OUTPUT_LINEAGE_WRITTEN,YES
RISK_RANKING_WRITTEN,YES
CONVERSION_PLAN_WRITTEN,YES
PARITY_REQUIREMENTS_WRITTEN,YES
P0_CONVERSIONS_EXIST,YES
P1_CONVERSIONS_EXIST,YES
RELAXATION_RLX22B_REQUIRES_MATLAB_PARITY,PARTIAL
RELAXATION_RLX23_REQUIRES_MATLAB_PARITY,YES
NON_MATLAB_RESULTS_AUTOMATICALLY_INVALIDATED,NO
NON_MATLAB_RESULTS_PROVISIONAL_UNTIL_PARITY,YES
NO_EXISTING_ARTIFACTS_EDITED,YES
NO_SCIENTIFIC_RERUN,YES
NO_FIGURES_CREATED,YES
NO_STAGE_COMMIT_PUSH,YES
ASCII_ARTIFACTS_ONLY,YES
REPO_INFRA_01B_AVAILABLE,YES
GOVERNING_POLICY,REPO-INFRA-01B
POLICY_SCOPE,repository-wide
