phase,check_id,description,result,EVIDENCE_OR_METHOD,notes
1,WRAPPER_PATH_RESOLUTION,run_matlab_safe.bat resolves script argument to absolute path,PASS,Read tools/run_matlab_safe.bat: PowerShell GetFullPath for relative/absolute; SCRIPT_PATH_MATLAB used in run(),EMPTY script arg resolves to cwd per batch (edge case not exercised)
1,PRE_EXEC_MATLAB_GUARD,pre_execution_guard.ps1 blocks invalid .m paths before MATLAB,PASS,Ran: powershell -File tools/pre_execution_guard.ps1 on canonical path; exit 0,Exit 2 logs to tables/pre_execution_failure_log.csv when invalid
1,VALIDATOR_BLOCKS_LAUNCH,tools/validate_matlab_runnable.ps1 blocks wrapper,PASS,Read validate_matlab_runnable.ps1: FailValidation exits 0; wrapper does not invoke validator,Validator is advisory only per docs/repo_execution_rules.md
1,VALIDATOR_SWITCHING_CANONICAL,Ran validator on registered Switching entrypoint,NOT_PASS,Ran validate_matlab_runnable.ps1 on Switching/analysis/run_switching_canonical.m,CHECK_DRIFT=FAIL: fopen to .txt (execution_probe_top.txt) triggers extra-file-type rule; RESULT NOT_PASS with WARN
2,REGISTRY_ENTRYPOINT,tables/switching_canonical_entrypoint.csv defines canonical script,PASS,Read CSV: Switching/analysis/run_switching_canonical.m CANONICAL_ENTRYPOINT,Sole SSOT per docs/repo_execution_rules.md
2,SCRIPT_ENTRY_SIGNAL,Script emits SCRIPT_ENTERED and probe files,PASS,run_switching_canonical.m line 22 disp; execution_probe_top.txt present on SUCCESS run,Contract in docs/repo_execution_rules.md lists execution_probe_top.txt
2,RUN_095928,Earlier run same day,FAILED,Read execution_status.csv: FAILED write_execution_marker undefined,Partial run_dir artifacts; no full pipeline; shows early-failure path is not silent
2,RUN_100107,Latest SUCCESS canonical run,PASS,Read execution_status.csv SUCCESS; runtime_execution_markers.txt ENTRY..COMPLETED,Used as primary end-to-end evidence
3,RUN_DIR,run_dir created under results/switching/runs,PASS,run_2026_04_04_100107_switching_canonical directory tree,Matches docs/infrastructure_laws.md run root pattern
3,EXECUTION_STATUS,execution_status.csv at run root,PASS,File present; SUCCESS row with N_T=16,Required signaling artifact
3,OUTPUT_TABLES,At least one CSV output table,PASS,multiple CSV under run_dir/tables/ e.g. switching_canonical_observables.csv,Implementation and science tables present
3,REPORT_MD,At least one Markdown report,PASS,reports/run_switching_canonical_report.md and implementation md,Meets output contract
4,MANIFEST_EXISTS,run_manifest.json at run root,PASS,Read run_manifest.json,manifest_valid true
4,FINGERPRINT_FIELDS,git_commit script_hash matlab_version host user in manifest,PASS,Present in run_manifest.json,Canonical fingerprint triple per docs/infrastructure_laws.md PART 1
4,MANIFEST_SCRIPT_LINKAGE,manifest script_path matches registered entrypoint file,FAIL,manifest script_path=Aging/utils/createRunContext.m; SSOT=Switching/analysis/run_switching_canonical.m,resolveCallingScriptPath stack yields helper not entry script; identity linkage gap for entry script hash
4,RUN_STATUS,run_status.csv records CANONICAL,PASS,Read run_status.csv: CANONICAL,Aligns with switching_backend_definition manifest label switching_canonical
5,SILENT_FAILURE,No success without artifacts on audited SUCCESS run,NO,execution_status + tables + reports + markers,FAILED runs write FAILED in execution_status
5,PARTIAL_WRITES,Risk of incomplete artifact sets,OBSERVED,095928 missing probes/markers vs 100107 full set,Early error produces thinner artifact tree
5,NO_RUN,Wrapper guard prevents MATLAB if script missing,PASS,Documented PRE_EXECUTION_INVALID_SCRIPT exit 2,No MATLAB launch
5,ARTIFACTS_WITHOUT_EXEC,N/A for audited SUCCESS,N/A,Manifest and status co-located in same run_dir,Not observed for 100107
6,DETERMINISM_RERUN,Compare two runs same repo state,OBSERVED,095928 FAILED vs 100107 SUCCESS same git_commit in manifests,Outcome depends on execution path/error not duplicate identical outputs; no second SUCCESS rerun compared
7,WRAPPER_SINGLE_CALL,Single matlab -batch per run_matlab_safe.bat,PASS,Read batch: one matlab -batch after guard,Dead code: temp runner with pause(1) written but not used for main script (harmless noise)
