finding_id,category,detail
AC1,identity,Untracked MATLAB script scripts/run_sw_old_inv_phi1_viz.m — diagnostic PT/CDF corrected-old replay visualization + inventory (not canonical backbone).
AC2,purpose,Select latest switching_canonical run tables; build backbone/residual/SVD mode1 visuals; write inventory CSV visual sanity CSV markdown report PNG figures.
AC3,inputs,Latest run_*_switching_canonical switching_canonical_S_long.csv + switching_canonical_observables.csv; optional tables/switching_P0_effective_observables_values.csv switching_canonical_primary_collapse_colored_values.csv phi1 CSV beside run; docs/switching_analysis_map.md referenced in report.
AC4,outputs,Nine PNG under figures/switching/canonical/switching_diagnostic_ptcdf_corrected_old_*.png; two CSV under tables/ switching_diagnostic_ptcdf_*; report switching_diagnostic_ptcdf_quarantine_replay_inventory_and_phi1_visual_sanity.md; createRunContext sidecars.
AC5,figures,YES exportgraphics to PNG (multiple figures).
AC6,legacy_canonical,Loads CANON_GEN-style switching_canonical_S_long from run outputs (diagnostic use); labels EXPERIMENTAL_PTCDF_DIAGNOSTIC and quarantine; not Relaxation/Aging data.
AC7,terminology,Phi1 kappa1 Phi2 X_eff strings — governance-framed; manuscript_safe mostly NO/PARTIAL in emitted inventory table.
AC8,missing_deps,Fails if no matching canonical run pair exists; optional tables may be absent (handles with PARTIAL/NO flags).
AC9,hardcoded_path,repoRoot = C:/Dev/matlab-functions — portability hazard.
AC10,duplicate_risk,cfg.runLabel matches run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m — possible duplicate entrypoint.
AC11,infrastructure,addpath Aging/utils for createRunContext only.
