"verdict_key","verdict_value"
"ABOVE_31P5_DIAGNOSTIC_ONLY","YES"
"ATLAS_DEBUG_PASS_COMPLETE","YES"
"BALANCED_STABILIZED_GAUGE_FOUND","YES"
"BASELINE_OLD_GAUGE_FINITE","YES"
"BEST_HIGH_PRIMARY_GAUGE_FOUND","YES"
"BEST_PRIMARY_GAUGE_FOUND","YES"
"CANONICAL_S_USED","YES"
"CROSS_MODULE_SYNTHESIS_PERFORMED","NO"
"FINITE_METRICS_WRITTEN","YES"
"GAUGE_DEFINITION_ATLAS_COMPLETE","YES"
"HIGH_T_INSTABILITY_REDUCED_BY_COMBINED_GAUGE","YES"
"HIGH_T_INSTABILITY_REDUCED_BY_I0","YES"
"HIGH_T_INSTABILITY_REDUCED_BY_S0","YES"
"HIGH_T_INSTABILITY_REDUCED_BY_W","YES"
"I0_CANDIDATES_TESTED","YES"
"OLD_GAUGE_RETAINED_AS_BASELINE","YES"
"S0_CANDIDATES_TESTED","YES"
"SAFE_TO_WRITE_SCALING_CLAIM","NO"
"T22_INCLUDED_IN_PRIMARY_DOMAIN","YES"
"UNIQUE_S0_CLAIMED","NO"
"UNIQUE_W_CLAIMED","NO"
"VALID_PRIMARY_CURVES_GT_ZERO","YES"
"W_CANDIDATES_TESTED","YES"
"X_CANON_CLAIMED","NO"
