blocker_id,path,blocker_type,reason,evidence,required_next_step
BLK-001,.codex_matlab_prefs,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-002,.codex_tmp,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-003,.matlab_prefs,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-004,.mwhome,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-005,.tmp_test,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-006,_legacy,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-007,Aging old,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-008,aging_cleanup_log.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"source_of_truth_audit.csv :: ""C:\Dev\matlab-functions\tables\aging_cleanup_log.csv"",""NO""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-009,analysis_new,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-010,archive,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-011,artifact_cleanup_list.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"CLEANUP_EXECUTION_FINAL_VERIFICATION.md :: The deterministic repository cleanup has been **successfully executed** according to the cleanup plan in `artifact_cleanup_list.csv`. The repository is now **CLEAN**, **CANONICAL**, and **READY** for κ₁ closure work.","Update referencing scripts/docs first, then re-run relocation audit."
BLK-012,artifact_cleanup_list.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-013,blocking_test_once.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-014,canonical,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contents are status/summary documentation, not canonical source or shared runtime layers.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-015,canonical_state_freeze.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"artifact_cleanup_list.csv :: tables/canonical_state_freeze.csv,other,canonical,Canonical state snapshot at freeze point,keep","Update referencing scripts/docs first, then re-run relocation audit."
BLK-016,canonical_state_freeze.md,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"artifact_cleanup_list.csv :: reports/canonical_state_freeze.md,other,canonical,Narrative of canonical state freeze,keep","Update referencing scripts/docs first, then re-run relocation audit."
BLK-017,canonical_state_freeze_status.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,artifact_cleanup_list.md :: - **tables/canonical_state_freeze_status.csv** — Freeze status indicators,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-018,cleanup_execution.md,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,CLEANUP_EXECUTION_FINAL_VERIFICATION.md :: ### 3. `cleanup_execution.md`,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-019,CLEANUP_EXECUTION_FINAL_VERIFICATION.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-020,cleanup_execution_log.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,cleanup_execution.md :: See cleanup_execution_log.csv for artifact-by-artifact details.,"Update referencing scripts/docs first, then re-run relocation audit."
