SCOPE_TYPE,ITEM_ID,TITLE,DESCRIPTION,PHASE3_SOURCE,NOTES_OR_CONSTRAINTS
IN_SCOPE,SW_P4_01,Run directory canonical root,"Align Switching run directory allocation with a single globally enforced canonical run root for the repository, independent of per-module path conventions.","reports/phase3_system_reality_closure.md Section 3 (A); tables/phase3_system_reality_summary.csv NON_CANONICAL_A","Switching module remediation only. Addresses PATH category: run_dir under results/Switching/runs vs globally enforced root."
IN_SCOPE,SW_P4_02,Failure path canonicalization,"Make failure paths follow the same manifest, fingerprint, and run_dir contract as the primary success path (early failure before run_dir is set).","reports/phase3_system_reality_closure.md Section 3 (B); tables/phase3_system_reality_summary.csv NON_CANONICAL_B","Addresses FAILURE category: switching_canonical_failure / run_failure_* without full manifest lifecycle (BS-05)."
IN_SCOPE,SW_P4_03,External data contract (formalization only),"Define a formal contract for external raw data: defined data root, deterministic resolution rule, stable identity (version or location). No ingestion of raw data into the repository.","reports/phase3_system_reality_closure.md Section 3 (C); tables/phase3_system_reality_summary.csv NON_CANONICAL_C","Formalization only. Intentional anti-bloat policy preserved (BS-04)."
IN_SCOPE,SW_P4_04,Signaling contract clarification,"Clarify final-state semantics for execution signaling (e.g. execution_status.csv multi-write: last write wins; mid-run copies non-final).","reports/phase3_system_reality_closure.md Section 3 (D); tables/phase3_system_reality_summary.csv NON_CANONICAL_D","Contract clarification for operators and automation. Does not expand to new signal types or parallel infrastructure."
OUT_OF_SCOPE,SW_P4_X01,Scientific logic,"Any change to physics, observables, algorithms, or numerical interpretation in Switching.","N/A (excluded by Phase 4 charter)","Not listed as non-canonical in Phase 3 closure."
OUT_OF_SCOPE,SW_P4_X02,Pipeline redesign,"Restructuring the analysis pipeline, new stages, or replacement of the verified execution chain.","N/A (excluded by Phase 4 charter)","Phase 3 verified chain is frozen for scope purposes."
OUT_OF_SCOPE,SW_P4_X03,Performance changes,"Speedups, parallelization, batching, or resource optimization.","N/A (excluded by Phase 4 charter)","Not in Phase 3 non-canonical list."
OUT_OF_SCOPE,SW_P4_X04,Refactoring,"Code style rewrites, general cleanup, or reorganization not required to fix the four Phase 3 items.","N/A (excluded by Phase 4 charter)","Scope is remediation of documented gaps only."
OUT_OF_SCOPE,SW_P4_X05,Caching,"Introduction or change of caches for inputs, outputs, or intermediate results.","N/A (excluded by Phase 4 charter)","Not in Phase 3 closure."
OUT_OF_SCOPE,SW_P4_X06,Data relocation into repository,"Moving or copying external raw data into the repo for Switching.","Phase 3 (C) explicit: REQUIRES_PHASE4_FIX formalization NOT relocation","Violates intentional policy stated in Phase 3."
OUT_OF_SCOPE,SW_P4_X07,Undocumented issues,"Any problem not explicitly recorded in Phase 3 closure artifacts.","Gate rule below","Requires a new planning phase; not Phase 4."
