component,file_path,block_point_id,trigger_condition,block_stage,block_type,live_execution_path,intended_purpose,protects_layer,necessary_now,overblocking_flag,dead_enforcement_flag,duplicate_enforcement_flag,misleading_enforcement_flag,false_protection_flag,risk_if_removed,risk_if_kept,evidence,recommended_phase,notes
tools/run_matlab_safe.bat,tools/run_matlab_safe.bat,BAT-001,"No argument or bad path: PowerShell resolves SCRIPT_PATH_RESOLVED to cwd or resolved path; pre_execution_guard requires an existing .m file",PRE_MATLAB,HARD_BLOCK,YES,Prevent MATLAB from running with a non-script target or accidental cwd-only resolution,artifact integrity,YES,NO,NO,NO,NO,NO,MATLAB may run -batch with run('...') pointing at a directory or wrong target; confusing failures,None for intended contract (script-path-only invocation),tools/run_matlab_safe.bat L9-L32; tools/pre_execution_guard.ps1 L29-L54,3.2,Empty arg is indistinguishable from ""run from cwd without script""; guard converts that into a clean exit 2
tools/run_matlab_safe.bat,tools/run_matlab_safe.bat,BAT-002,"Batch creates temp_runner_*.m with disp/pause(1) then deletes it; never passed to matlab -batch",PRE_MATLAB,NON_EXECUTED_ENFORCEMENT,YES (code runs); NO (not on MATLAB path),Historical probe or debug artifact,unknown,PARTIAL,NO,YES,NO,YES,NO,None; file is deleted after MATLAB returns,Operators may think a RUNNER_ENTERED probe is part of live truth,tools/run_matlab_safe.bat L35-L60 vs L56,3.2,system_reality_audit R1; contradicts single-call mental model if read as staging
tools/pre_execution_guard.ps1,tools/pre_execution_guard.ps1,GUARD-001,ScriptPath empty or whitespace,PRE_MATLAB,HARD_BLOCK,YES,Fail fast before MATLAB; log PRE_EXECUTION_INVALID_SCRIPT,artifact integrity,YES,NO,NO,NO,NO,NO,MATLAB could launch with invalid -batch string; wasted time and opaque errors,None,tools/pre_execution_guard.ps1 L29-L32; tables/pre_execution_failure_log.csv policy in docs/repo_execution_rules.md,3.2,Aligns with repo_execution_rules Pre-execution guard section
tools/pre_execution_guard.ps1,tools/pre_execution_guard.ps1,GUARD-002,GetFullPath throws or path resolution fails,PRE_MATLAB,HARD_BLOCK,YES,Reject unusable paths before launch,artifact integrity,YES,NO,NO,NO,NO,NO,Same as GUARD-001,None,tools/pre_execution_guard.ps1 L35-L41,3.2,
tools/pre_execution_guard.ps1,tools/pre_execution_guard.ps1,GUARD-003,Resolved path is not a file (Leaf),PRE_MATLAB,HARD_BLOCK,YES,Ensure target exists,artifact integrity,YES,NO,NO,NO,NO,NO,MATLAB -batch run() would fail at runtime,None,tools/pre_execution_guard.ps1 L44-L47,3.2,
tools/pre_execution_guard.ps1,tools/pre_execution_guard.ps1,GUARD-004,Path does not end with .m (case-insensitive),PRE_MATLAB,HARD_BLOCK,YES,Ensure MATLAB script extension,artifact integrity,YES,NO,NO,NO,NO,NO,Could pass wrong file type to run(),None,tools/pre_execution_guard.ps1 L50-L53,3.2,Does not verify MATLAB installation or repo membership
tools/validate_matlab_runnable.ps1,tools/validate_matlab_runnable.ps1,VAL-001,Script invoked manually or by external automation,PRE_MATLAB,GOVERNANCE_ONLY,NOT_ON_LIVE_WRAPPER_PATH,Structured checks for runnable scripts per docs/repo_execution_rules.md,documentation style legacy hygiene,PARTIAL,N/A,N/A,N/A,N/A,N/A,Misunderstanding if treated as launch gate,N/A,tools/validate_matlab_runnable.ps1; system_execution_map.csv row 4; docs/repo_execution_rules.md L120-L122; reports/system_reality_audit.md L56-57,3.2,Canonical Switching runs do not require this step
tools/validate_matlab_runnable.ps1,tools/validate_matlab_runnable.ps1,VAL-002,FailValidation called when internal $block true,PRE_MATLAB,PSEUDO_BLOCK_exit_code_always_zero,NO (exit semantics),Emit WARN lines; never non-zero exit,unknown,NO,N/A,NO,N/A,YES,YES,Automation using exit codes may treat FAIL as PASS,False confidence in CI or scripts,tools/validate_matlab_runnable.ps1 L26-L35 (exit 0); L522-L531,3.2,All exit paths observed are exit 0
tools/validate_matlab_runnable.ps1,tools/validate_matlab_runnable.ps1,VAL-003,"Preconditions: file missing; path not absolute; path outside repo root; not .m; unreadable content",PRE_MATLAB,HARD_BLOCK_internal_only_exit0,NO,Enforce path hygiene for manual validation,identity artifact integrity,YES for manual policy,N/A,NO,NO,YES,NO,YES,Bad scripts could be validated incorrectly if preconditions skipped,N/A,tools/validate_matlab_runnable.ps1 L399-L415 L522-L526,3.2,Overlaps GUARD filesystem intent but adds repo/absolute rules guard does not
tools/validate_matlab_runnable.ps1,tools/validate_matlab_runnable.ps1,VAL-004,CHECK_DRIFT fails when fopen targets .txt|.dat|.bin|.log etc.,PRE_MATLAB,MISLEADING_RULE_vs_REPO_CONTRACT,NO,Detect output drift / unexpected file types,documentation,PARTIAL,YES,NO,NO,NO,YES,NO,N/A,Canonical Switching script falsely flagged if validator treated as authoritative,tools/validate_matlab_runnable.ps1 L309-L329; Switching/analysis/run_switching_canonical.m L71 fopen execution_probe_top.txt,3.2,Signaling contract requires execution_probe_top.txt per repo_execution_rules L74-76
tools/validate_matlab_runnable.ps1,tools/validate_matlab_runnable.ps1,VAL-005,Canonical state aggregates many CHECK_* failures into $canonicalFail including interactive/debug/fallback/output heuristics,PRE_MATLAB,GOVERNANCE_OVERSTRICT_vs_CANONICAL,NO,Enforce agent script template rules,documentation style,PARTIAL,YES,NO,NO,NO,YES,NO,N/A,Operators may think canonical script is invalid,tools/validate_matlab_runnable.ps1 L417-L430; compare to run_switching_canonical.m structure,3.2,Exit 0 masks severity; still confusing
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-001,exist(Aging/utils) ~= 7 after addpath,IN_MATLAB,HARD_BLOCK,YES,Ensure createRunContext can be loaded from expected repo layout,boundary identity,YES,NO,NO,NO,NO,NO,createRunContext wrong or missing; run cannot establish context,None,run_switching_canonical.m L27-L29,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-002,Legacy root Switching ver12 directory missing,IN_MATLAB,HARD_BLOCK,YES,Require pinned legacy pipeline code,boundary,YES,NO,NO,NO,NO,NO,Cannot reproduce canonical aggregation,None,run_switching_canonical.m L33-L37,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-003,which(createRunContext) resolved path case-normalized does not equal expected Aging/utils/createRunContext.m,IN_MATLAB,HARD_BLOCK,YES,Prevent shadowed or alternate createRunContext,identity boundary determinism,YES,PARTIAL,NO,NO,NO,NO,NO,Wrong manifest/fingerprint source; ambiguous runs,Legitimate alternate dev layouts blocked without path edits,run_switching_canonical.m L43-L49,3.2,Strict; justified for SSOT of run identity
