analysis_id,analysis_name,script_or_source,artifacts_tables,artifacts_reports,run_id,depends_on_canonical_entrypoint,notes
exec_run_switching_canonical_2026_04_02_234844,run_switching_canonical pipeline outputs,Switching/analysis/run_switching_canonical.m (per tables/switching_canonical_entrypoint.csv),results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_S_long.csv;results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_observables.csv;results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_phi1.csv;results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_validation.csv;results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/run_switching_canonical_implementation_status.csv,results/switching/runs/run_2026_04_02_234844_switching_canonical/reports/run_switching_canonical_report.md;results/switching/runs/run_2026_04_02_234844_switching_canonical/reports/run_switching_canonical_implementation.md,run_2026_04_02_234844_switching_canonical,YES,"tables/switching_run_trust_classification.csv lists TRUSTED_CANONICAL; execution_status.csv at run root. CHECK_NO_PRECOMPUTED_INPUTS in switching_canonical_validation.csv."
exec_run_switching_canonical_2026_04_03_000008,run_switching_canonical pipeline outputs,Switching/analysis/run_switching_canonical.m (per tables/switching_canonical_entrypoint.csv),results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_S_long.csv;results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_observables.csv;results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_phi1.csv;results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_validation.csv;results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/run_switching_canonical_implementation_status.csv,results/switching/runs/run_2026_04_03_000008_switching_canonical/reports/run_switching_canonical_report.md;results/switching/runs/run_2026_04_03_000008_switching_canonical/reports/run_switching_canonical_implementation.md,run_2026_04_03_000008_switching_canonical,YES,"tables/switching_run_trust_classification.csv lists TRUSTED_CANONICAL; execution_status.csv at run root. CHECK_NO_PRECOMPUTED_INPUTS in switching_canonical_validation.csv."
exec_run_switching_canonical_2026_04_03_000147,run_switching_canonical pipeline outputs,Switching/analysis/run_switching_canonical.m (per tables/switching_canonical_entrypoint.csv),results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_S_long.csv;results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_observables.csv;results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_phi1.csv;results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/switching_canonical_validation.csv;results/switching/runs/run_2026_04_03_000147_switching_canonical/tables/run_switching_canonical_implementation_status.csv,results/switching/runs/run_2026_04_03_000147_switching_canonical/reports/run_switching_canonical_report.md;results/switching/runs/run_2026_04_03_000147_switching_canonical/reports/run_switching_canonical_implementation.md,run_2026_04_03_000147_switching_canonical,YES,"tables/switching_run_trust_classification.csv lists TRUSTED_CANONICAL; execution_status.csv at run root. CHECK_NO_PRECOMPUTED_INPUTS in switching_canonical_validation.csv."
exec_run_switching_canonical_2026_04_03_091018,run_switching_canonical pipeline outputs,Switching/analysis/run_switching_canonical.m (per tables/switching_canonical_entrypoint.csv),results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_S_long.csv;results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_observables.csv;results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_phi1.csv;results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/switching_canonical_validation.csv;results/switching/runs/run_2026_04_03_091018_switching_canonical/tables/run_switching_canonical_implementation_status.csv,results/switching/runs/run_2026_04_03_091018_switching_canonical/reports/run_switching_canonical_report.md;results/switching/runs/run_2026_04_03_091018_switching_canonical/reports/run_switching_canonical_implementation.md,run_2026_04_03_091018_switching_canonical,YES,"execution_status.csv at run root; full switching_canonical_*.csv set. run id not among three TRUSTED_CANONICAL rows in tables/switching_run_trust_classification.csv. CHECK_NO_PRECOMPUTED_INPUTS in switching_canonical_validation.csv."
inv_switching_canonical_component_classification,switching_canonical_component_classification,UNKNOWN (inspect-only bundle per report header),tables/switching_canonical_component_classification.csv,reports/switching_canonical_component_classification.md,,UNKNOWN,"Report header states inspection-only; no MATLAB."
inv_switching_canonical_definition_audit,switching_canonical_definition_audit,UNKNOWN (inspect-only per report),tables/switching_canonical_definition_audit.csv,reports/switching_canonical_definition_audit.md,,YES,"Report traces run_switching_canonical.m; inspect-only."
inv_switching_canonical_definition_extraction,switching_canonical_definition_extraction,tables/switching_canonical_definition_extraction.csv cites Switching/analysis/run_switching_canonical.m,tables/switching_canonical_definition_extraction.csv,reports/switching_canonical_definition_extraction.md,,YES,"Source column in CSV lists run_switching_canonical.m paths."
inv_switching_canonical_robustness_contract,switching_canonical_robustness_contract,UNKNOWN (documentation bundle),tables/switching_canonical_robustness_contract.csv,reports/switching_canonical_robustness_contract.md,,UNKNOWN,
inv_switching_collapse_verification,switching_collapse_verification,tables/switching_collapse_verification.csv source_file column,tables/switching_collapse_verification.csv,reports/switching_collapse_verification.md,,YES,"CSV rows cite Switching/analysis/run_switching_canonical.m and results/switching/runs/run_2026_04_03_091018_switching_canonical tables."
inv_switching_core_analysis_coverage,switching_core_analysis_coverage,UNKNOWN (inspect-only per reports/switching_core_analysis_coverage.md),tables/switching_core_analysis_coverage.csv,reports/switching_core_analysis_coverage.md,,YES,"Markdown cites TRUSTED_CANONICAL run directory paths and switching_canonical_*.csv filenames."
