CONCEPT,LOCATION,FILE,TYPE,WRITE_OR_READ,NOTES
RUN_ID,makeUniqueRunId assignment,Aging/utils/createRunContext.m,SOURCE,WRITE,Authoritative string created at run creation; Switching canonical runner invokes this via createRunContext('Switching' cfg).
RUN_ID,run_id field persisted,results/switching/runs/*/run_manifest.json,SOURCE,WRITE,Written once by writeManifest unless file already exists (warning then skip).
RUN_ID,run.run_id struct field,Switching/analysis/run_switching_canonical.m,DERIVED,READ,Consumed from createRunContext return value; same value as manifest.run_id when manifest written.
RUN_ID,folder basename,results/switching/runs/<RUN_ID>/,DERIVED,READ,Filesystem identity; must equal manifest.run_id for consistency.
RUN_ID,enumerated directory Name,tools/switching_canonical_control_scan.ps1,INFERRED,READ,Scan uses folder name as RUN_ID; does not verify against manifest.run_id JSON field.
RUN_ID,N/A,tools/run_matlab_safe.bat,N/A,READ,Resolves script path only; no RUN_ID.
RUN_ID,N/A,tools/validate_matlab_runnable.ps1,N/A,READ,Validates runnable script; no RUN_ID.
PARENT_RUN_ID,source_canonical_run_id key,results/switching/runs/*/tables/canonicalization_manifest.csv,SOURCE,READ,L3 bundle key-value CSV; not produced by createRunContext standard path.
PARENT_RUN_ID,physical_artifact_run_id key,results/switching/runs/*/tables/canonicalization_l2_manifest.csv,SOURCE,READ,L2 bundle key-value CSV; alternate key name from L3.
PARENT_RUN_ID,schema fields,results/switching/runs/*/run_manifest.json,N/A,READ,Standard manifest from createRunContext has no parent_run_id field.
PARENT_RUN_ID,Get-ParentRunId,tools/switching_canonical_control_scan.ps1,DERIVED,READ,Prefers L3 file then L2 file; empty if neither present.
PARENT_RUN_ID,N/A,tables/canonicalization_manifest.csv,N/A,READ,Repo-root path per audit scope: file not present; manifests observed under per-run results paths only.
PARENT_RUN_ID,N/A,tables/canonicalization_l2_manifest.csv,N/A,READ,Repo-root path per audit scope: file not present; use per-run copies under results.
INPUT_SOURCE,sourcePath sourceFunction sourceFile,Switching/analysis/run_switching_canonical.m,SOURCE,WRITE,Pipeline provenance for raw data and code paths; distinct from observability INPUT_SOURCE column.
INPUT_SOURCE,trustedCanonicalInput and display heuristics,tools/switching_canonical_control_scan.ps1,INFERRED,WRITE,Hard-coded trusted run id; regex _switching_canonical; bundle canonical_entrypoint CSV lines; manifest script_path leaf; not a manifest schema field.
INPUT_SOURCE,TRUSTED_CANONICAL narrative,docs/switching_canonical_definition.md,SOURCE,READ,Declares trusted canonical runs family; documentation truth not machine-enforced in manifest alone.
INPUT_SOURCE,script_path and label,results/switching/runs/*/run_manifest.json,SOURCE,READ,Fingerprint path from resolveCallingScriptPath may not be run_switching_canonical.m (known stack artifact risk).
FINGERPRINT,computeRunFingerprint and writeManifest fields,Aging/utils/createRunContext.m,SOURCE,WRITE,"git_commit script_hash script_path matlab_version host user embedded in manifest."
FINGERPRINT,manifest JSON fields,results/switching/runs/*/run_manifest.json,SOURCE,READ,Single persisted execution fingerprint record per run root.
FINGERPRINT,run_fingerprint.csv output,tools/switching_canonical_control_scan.ps1,INFERRED,WRITE,"Name suggests fingerprint; rows are RUN_ID PARENT TIMESTAMP INPUT_SOURCE HAS_EXECUTION_STATUS without script_hash or git_commit."
FINGERPRINT,N/A,tools/run_matlab_safe.bat,N/A,READ,No fingerprint.
FINGERPRINT,N/A,tools/validate_matlab_runnable.ps1,N/A,READ,No fingerprint fields.
EXECUTION_STATUS,writetable to execution_status.csv,Switching/analysis/run_switching_canonical.m,SOURCE,WRITE,"Columns statusCols EXECUTION_STATUS INPUT_FOUND ERROR_MESSAGE N_T MAIN_RESULT_SUMMARY; PARTIAL and final rows."
EXECUTION_STATUS,catch-path writetable,Switching/analysis/run_switching_canonical.m,SOURCE,WRITE,Failure branches write execution_status.csv under run dir from failure createRunContext.
EXECUTION_STATUS,static content checks,tools/validate_matlab_runnable.ps1,INFERRED,READ,Regex for execution_status string and required outputs; warns only; does not parse CSV.
EXECUTION_STATUS,HAS_EXECUTION_STATUS file existence,tools/switching_canonical_control_scan.ps1,DERIVED,READ,Test-Path only; does not read EXECUTION_STATUS column values.
EXECUTION_STATUS,N/A,tools/run_matlab_safe.bat,N/A,READ,No execution_status artifact.
