date,source,issue_or_report,finding_key,rule_id,module,severity,triage_decision,review_timing,owner_note,next_action
2026_04_25,repository_drift_guard,GitHub Issue #17,UNKNOWN,RS_OUT_001,Switching,HIGH,INVESTIGATE_LATER,weekly,canonical Switching root-table mirror may be compatibility behavior; do not fix blindly,Re-evaluate with canonical Switching owner during weekly maintenance review before any code change
2026_04_25,repository_drift_guard,GitHub Issue #17,UNKNOWN,RS_GIT_005,multi_module,MEDIUM,DEFER,cleanup_window,tracked generated artifacts need cleanup plan not immediate deletion,Prepare bounded cleanup plan in designated cleanup window with preservation-first review
2026_04_25,repository_drift_guard,GitHub Issue #17,UNKNOWN,RS_HELPER_003,Switching,MEDIUM,DEFER,weekly_or_refactor_window,safeCorr duplication is a real maintainability signal but not urgent,Track for weekly review and include in future refactor window scoping
2026_04_25,repository_drift_guard,GitHub Issue #17,UNKNOWN,RS_LEGACY_004,Switching,MEDIUM,WATCH,weekly,legacy flat outputs are migration risk; preserve history avoid deletion,Monitor drift weekly and defer migration changes to approved maintenance windows
2026_04_25,repository_drift_guard,GitHub Issue #17,UNKNOWN,RS_MOD_002,Aging,MEDIUM,WATCH,module_canonicalization,Aging is NOT_CANONICAL; treat as WIP risk not canonical failure,Keep under module canonicalization tracking and avoid hard-failure framing
2026_04_25,switching_analysis_steward,Issue #18,304048f8f1e38869d144ede37d5085fe7d25a72c,SAS_OUTPUT_003,Switching,HIGH,INVESTIGATE_LATER,weekly,Repo-root Switching mirrors may create source-of-truth confusion with run-scoped outputs; inspect whether mirror copies are compatibility/reference-only or still treated as canonical latest.,No code change now; prepare a narrow owner-decision audit for switchingWriteTableBothPaths and root mirror consumers.
2026_04_25,switching_analysis_steward,Issue #18,65986a413c1b3fd6ea61648a7fb6ee9446c49c93,SAS_SOURCE_009,Switching,HIGH,INVESTIGATE_LATER,weekly,Switching latest/canonical identity appears split between mtime-based resolver; deprecated pointer behavior; and missing/downgraded identity table.,No code change now; schedule narrow identity-route review before adding more canonical Switching consumers.
2026_04_25,switching_analysis_steward,Issue #18,4fd7c22ddd43e5b2891aea44622481ae2986f39f,SAS_CROSS_006,Switching,MEDIUM,WATCH,module_boundary_review,Switching scripts create and consume relaxation_full_dataset artifacts; creating a Switching-Relaxation boundary ownership ambiguity.,Add explicit owner/status labeling later; do not move or rewrite shared dataset artifacts now.
2026_04_26,maintenance_issue_consolidator,Issue #18/#19/#21,CONSOLIDATED_SWITCHING_OUTPUT_SOURCE_OF_TRUTH_2026_04_26,TRIAGE_CONSOLIDATED,Switching,HIGH,INVESTIGATE_LATER,near_term,Consolidated duplicate source-of-truth/output-path findings across steward and drift guards into one owner decision track.,Prepare narrow owner-decision audit for Switching root mirrors flat fallback paths and run-root-only policy.
2026_04_26,maintenance_issue_consolidator,Issue #18/#21,CONSOLIDATED_SWITCHING_IDENTITY_ROUTE_2026_04_26,TRIAGE_CONSOLIDATED,Switching,HIGH,INVESTIGATE_LATER,near_term,Consolidated canonical identity routing split to avoid duplicate triage rows for the same locator ambiguity.,Prepare narrow owner-decision audit to choose one authoritative Switching canonical identity locator.
2026_04_26,maintenance_issue_consolidator,Issue #22,CONSOLIDATED_AGING_RELAXATION_STATUS_CONTRADICTION_2026_04_26,TRIAGE_CONSOLIDATED,Aging_Relaxation,HIGH,ACTION_NOW,next_cleanup_session,Workstream canonical_code_status equals YES while module status remains NOT_CANONICAL for Aging and Relaxation creating governance contradiction risk.,Align governance wording only: clarify that canonical_code_status=YES does not mean module canonical closure or downgrade that field to explicit WIP/advisory wording.
2026_04_26,maintenance_issue_consolidator,Issue #23,CONSOLIDATED_SWITCHING_HELPER_DUPLICATION_2026_04_26,TRIAGE_CONSOLIDATED,Switching,MEDIUM,DEFER,after_source_of_truth_cleanup,Consolidated helper duplication triage to single high-value scope rather than broad helper refactor pressure.,Do not refactor now; later run a single-helper migration audit for buildSwitchingMapRounded only.
2026_04_26,maintenance_issue_consolidator,Issue #20,CONSOLIDATED_RUN_OUTPUT_COVERAGE_LIMITATION_2026_04_26,TRIAGE_CONSOLIDATED,multi_module,MEDIUM,WATCH,local_runner_review,Cloud workspace audit showed no accessible run roots so findings are coverage-limited and not definitive for local run completeness.,Do not treat cloud run-output audit as authoritative for local run roots; rely on local Windows runner for truth until a published run-root listing exists.
