status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
NEW_MODELS_RUN,NO
FIGURES_CREATED,NO
FIGURES_MODIFIED,NO
INDEX_FOUND,YES
INDEX_CREATED,NO
INDEX_UPDATED,YES
AX20A_REGISTERED,YES
AX17B_LINKED,YES
XEFF_WIDTH_AUDIT_18_LINKED,YES
AX18B_LINKED,YES
AX18C_LINKED,YES
AX18D_LINKED,YES
AX19A_LINKED,YES
MANUSCRIPT_BOUNDARY_RECORDED,YES
PHYSICAL_SCALING_LAW_FORBIDDEN,YES
UNIVERSAL_EXPONENT_FORBIDDEN,YES
MECHANISM_PROOF_FORBIDDEN,YES
INVD_REPLACES_XEFF_FORBIDDEN,YES
SAFE_TO_COMMIT_INDEX_REGISTRATION_PACKAGE,YES
