status_key,status_value
TASK_COMPLETED,YES
AUDIT_ONLY,YES
MATLAB_RUN,NO
PYTHON_RUN,NO
NODE_RUN,NO
SCRIPT_RUN,NO
SCRIPT_EXISTS,YES
SCRIPT_GIT_STATUS,UNTRACKED
ACTUAL_AX18C_PRODUCER,YES
TEMP_DEBUG_SCRATCH_SCRIPT,NO
USES_EXPECTED_INPUTS_ONLY,YES
WRITES_EXPECTED_AX18C_OUTPUTS_ONLY,YES
NO_DESTRUCTIVE_COMMANDS,YES
NO_GIT_COMMANDS,YES
NO_ABSOLUTE_LOCAL_PATHS,YES
NO_INTERACTIVE_PROMPTS,YES
NO_UNRELATED_MODULES,YES
REPRODUCIBILITY_VALUE,HIGH
INCLUDE_SCRIPT_IN_COMMIT,YES
SAFE_TO_STAGE_SCRIPT,YES
SAFE_TO_COMMIT_SCRIPT,YES
