verdict_key,value
AX_ORGANIZATION_PLAN_COMPLETE,YES
CURRENT_ARTIFACT_INVENTORY_DONE,PARTIAL_SCRIPT_AND_PATH_SURVEY_COMMITTED_ARTIFACTS_OFTEN_RUN_SCOPED_OR_IGNORED
CROSS_MODULE_ARTIFACTS_FOUND_UNDER_RELAXATION,YES
PHYSICAL_FILE_MOVE_RECOMMENDED_NOW,NO
CROSS_MODULE_INDEX_RECOMMENDED,YES
CLAIM_BOUNDARY_PLAN_WRITTEN,YES
COMPLETION_ORDER_WRITTEN,YES
SAFE_TO_CONTINUE_TO_OLD_AX_ARCHAEOLOGY,YES
SAFE_TO_CONTINUE_TO_FINAL_CANONICAL_AX_SUMMARY,PARTIAL_AFTER_INDEX_ACCEPTANCE
SAFE_TO_RUN_NEW_SCIENTIFIC_ANALYSIS_NOW,NO
NO_FILES_MOVED,YES
NO_FILES_RENAMED,YES
NO_MATLAB_RUN,YES
NO_PYTHON_RUN,YES
NO_FIGURES_CREATED,YES
NO_FILES_STAGED,YES
NO_COMMITS_CREATED,YES
NO_PUSH,YES
