check,result,evidence,severity,recommendation,notes
File exists,PASS,Test-Path / read succeeded at scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,INFO,Include if committing AX package,
Git status recorded,PASS,git status --short showed ?? scripts/run_cm_sw_rlx_ax_18c_t_scaling_baseline.mjs,INFO,Untracked until staged,
Filename and header identify AX-18C,PASS,"Lines 1–6: CM-SW-RLX-AX-18C — T-function and empirical scaling baseline control",INFO,Confirms audit intent not scratch,
Logic limited to AX-18C baseline/scaling,PASS,"OLS/LOOCV; T models; coord linear; scaling templates; combined; residual; judgement; status; report md",INFO,No other AX families executed,
Reads expected AX inputs,PASS,"dsPath = tables/..._AX_17B_visual_dataset.csv (line 151–152); filter relaxation_T_K < 31.5",INFO,Primary data source matches AX-17B ladder,
Optional XEFF audit paths,PASS,"auditMd/auditSt fs.existsSync only (lines 610–611; 646) — no content ingestion",LOW,"USED_XEFF_WIDTH_AUDIT_18 flag only; still Switching–Relaxation audit metadata",
No Aging/tau/KWW sources read,PASS,"No imports/paths to Aging; TAU_KWW_USED appears only as status output literal NO",INFO,
Writes only expected AX-18C outputs,PASS,"writeCsv/writeFileSync targets only cross_module_switching_relaxation_CM_SW_RLX_AX_18C_* under tables/ and reports/",INFO,Seven paths match task list,
No git/stage/commit/push/clean,PASS,Grep: no git subprocess or child_process,INFO,
No delete/clean utilities,PASS,"No unlink/rmSync/rmdir; only fs.writeFileSync",INFO,Running overwrites outputs — normal producer behavior,
No hardcoded absolute OS paths,PASS,"REPO = path.resolve(__dirname, '..') (lines 12–13)",INFO,Portable repo-relative layout,
No interactive prompts,PASS,"No readline; no stdin handlers",INFO,
Provenance / structure adequate,PASS,"Top banner + domain/report template + console JSON summary",LOW,"Small inline CSV parser — acceptable for fixed dataset",
Actual AX-18C producer,PASS,"Emits all 7 artifacts including report md (696–750) and status (690–694)",INFO,
Not temporary/debug/scratch,PASS,"Deterministic audit naming; full pipeline",INFO,
Destructive commands absent,PASS,"No shell exec; file ops limited to writes",INFO,
Unrelated side effects absent,PASS,"No network; no env mutation beyond Node fs",INFO,
