decision_id,policy_area,decision,rationale,evidence_sources,affected_paths,risk_level,enforcement_stage,requires_code_update,requires_lineage_check,notes
PAD-001,root_governance,Disallow new root-level artifact outputs,Root is overloaded and causes ownership ambiguity,"root_folder_declutter_audit; repo_structure_governance_audit",.,HIGH,Phase 1,YES,YES,"Bare-stem MATLAB invocation risk blocks blind moves"
PAD-002,run_contract,Standardize new outputs into results/<module>/runs/<run_id>,Preserves lineage and separates transient outputs from durable promotions,"repo_artifact_organization_atlas; repo_structure_governance_proposal",results/,HIGH,Phase 0,YES,YES,"No historical moves implied"
PAD-003,durable_tables,Use tables/<module>/ for durable module tables,Reduces root and mixed-role scatter,"repo_structure_governance_audit; switching/relaxation/aging audits",tables/; tables/<module>/,HIGH,Phase 2,YES,YES,"Maintenance tables remain tables/maintenance_*.csv"
PAD-004,durable_reports,Use reports/<module>/ for durable module reports,Aligns narrative artifacts with module ownership,"repo_structure_governance_audit; module audits",reports/; reports/<module>/,HIGH,Phase 2,YES,YES,"No bulk relocation"
PAD-005,durable_figures,Use figures/<module>/ only for promoted durable figures,Prevents unindexed figure scatter,"repo_structure_governance_audit; relaxation audit",figures/; results/*/figures/,HIGH,Phase 3,YES,YES,"Promotion requires lineage backlink"
PAD-006,legacy_freeze,Freeze legacy namespaces as write-closed,Prevents further disorder and lineage loss,"repo_structure_governance_proposal; root declutter audit",results_old/; tables_old/; archive/; _legacy/; Aging old/,HIGH,Phase 0,NO,YES,"No deletion policy in this cycle"
PAD-007,switching_family_separation,Preserve switching family partition without merges,Families are semantically distinct and cleanup-sensitive,"switching_artifact_organization_audit; switching_artifact_family_map",Switching/; results/switching/; tables/switching/,BLOCKER,Phase 0,NO,YES,"Do not introduce forbidden geocanon aliases"
PAD-008,relaxation_family_separation,Preserve RF3R vs RF3R2 and view-family separations,Downstream consumers are table-driven and path-sensitive,"relaxation_artifact_organization_audit; relaxation_artifact_cleanup_risks",Relaxation ver3/; results/relaxation*/; tables/relaxation/; figures/relaxation/,BLOCKER,Phase 0,NO,YES,"No full canonical-readiness claim"
PAD-009,aging_clean_evidence,Use clean Aging rerun only for Aging-only policy claims,Contaminated Aging evidence was superseded,"reports/aging/aging_artifact_organization_audit.md; aging_artifact_excluded_cross_module_candidates.csv",Aging/; tables/aging/; reports/aging/,BLOCKER,Phase 0,NO,YES,"Cross-module bridges remain excluded"
PAD-010,maintenance_destinations,Route durable governance outputs to reports/maintenance and tables/maintenance_*.csv,Separates governance from scientific artifacts,"repo_structure_governance_proposal; root declutter audit",reports/maintenance/; tables/maintenance_*.csv,MEDIUM,Phase 2,YES,NO,"Force-add allowed only for approved durable governance artifacts"
PAD-011,index_prerequisite,Require module README/index coverage before relocation,Navigation and safe migration require explicit indexes,"all module audits; governance audit",results/*; tables/*; reports/*; figures/*,HIGH,Phase 3,NO,YES,"Blocks phase-4 relocation"
PAD-012,lineage_guard,No relocation based only on exact string no-reference scans,No-reference is insufficient for MATLAB bare-stem invocation safety,"root_folder_declutter_audit",root run_*.m; module scripts,CRITICAL,Phase 1,NO,YES,"Manual ownership/caller review required"
